v1,v2,v3
0,1,2
3,2,4
4,2,1
5,1,6
3,7,8
7,3,4
5,4,1
9,10,7
11,7,12
12,7,4
12,4,5
11,9,7
13,9,14
14,9,11
0,15,1
15,16,1
16,6,1
6,16,17
18,19,3
18,3,8
20,8,10
20,10,21
7,10,8
5,22,12
5,6,23
23,6,17
23,17,24
13,21,9
25,11,12
22,5,23
11,26,14
25,26,11
12,27,25
27,12,22
22,23,28
28,23,24
28,24,29
0,2,30
19,30,2
3,19,2
8,20,18
9,21,10
13,31,21
32,14,26
31,13,33
14,33,13
22,34,27
34,22,28
35,27,34
34,28,36
37,17,16
38,19,18
30,19,38
21,39,20
21,31,40
41,25,27
27,35,41
14,42,33
14,32,42
28,29,36
0,43,15
43,16,15
37,16,43
44,38,18
37,43,45
20,46,18
46,44,18
47,39,21
37,48,17
37,45,48
47,21,49
43,50,51
48,24,17
49,21,40
45,52,53
50,54,41
41,51,50
51,52,45
45,53,48
32,54,55
51,41,35
54,32,26
54,26,25
54,25,41
51,35,52
33,40,31
52,34,53
52,35,34
34,36,29
43,0,30
43,30,56
38,56,30
47,20,39
46,20,47
38,44,56
46,47,44
57,44,47
44,57,50
44,50,56
56,50,43
43,51,45
57,54,50
48,29,24
40,33,55
55,42,32
48,53,29
55,33,42
53,34,29
57,47,49
40,55,49
57,55,54
49,55,57
