L,I,A
0.00025457118,0.005619284,0.038940355
0.0035986016,0.0052496265,0.036425162
0.0018706266,0.0024651987,0.03705943
0.001957072,0.00040783454,0.03468274
0.0028867326,0.002464061,0.03316189
0.0016862679,0.0073485705,0.03229088
0.0011011509,0.009281754,0.033356436
0.0028915498,-0.0047468613,0.030549267
0.0014580075,-0.0062446417,0.03288596
0.002625408,-0.01340178,0.029223632
0.0020318555,-0.011787499,0.032424733
0.0024675343,-0.004225009,0.028270721
0.0021291305,0.0033627723,0.02919432
0.0021853445,-0.013252657,0.02627308
0.0012663469,-0.008289842,0.026518667
0.00021866162,0.0066734324,0.03871135
0.0003383288,0.00886069,0.037217032
0.00023620194,0.009941992,0.033526823
-0.00021924487,-0.0059623723,0.033831153
0.0006819937,-0.0006647496,0.0350616
-0.00054100837,-0.010801981,0.03589199
-0.00045083044,-0.018438092,0.031130614
0.0014775774,0.008247016,0.027014483
0.002095049,0.013091588,0.028369404
0.0005311677,0.014871469,0.029146733
0.0005149691,0.0018567379,0.026799457
0.00021531488,-0.0010672839,0.026177572
0.0010402573,0.004598062,0.026560163
0.0019179764,0.014230372,0.024969883
-0.0012585665,0.015660187,0.025344005
-0.0016289201,0.0021990496,0.037213746
0.00043969922,-0.015381638,0.027348459
-0.0006354988,-0.0055339397,0.026560523
-0.0006885635,-0.013996463,0.023754358
-0.00036201673,0.010464007,0.023912577
-0.0006308872,0.0064841956,0.024983307
-0.00015977814,0.013505323,0.02428554
-0.0008060547,0.009779977,0.033122983
-0.0014603824,0.00014899523,0.034784716
-0.0012298505,-0.013596311,0.0340279
-0.0018624301,-0.015451425,0.028528936
-0.0008681235,0.0033658806,0.02692428
-0.0013113916,-0.009863575,0.025678413
-0.0025424662,0.005793106,0.03612549
-0.002234088,-0.004573168,0.032740954
-0.0012634605,0.009333408,0.031648982
-0.0020061994,-0.008361366,0.0336721
-0.0028317831,-0.013823117,0.032186974
-0.0019430997,0.014680353,0.027370967
-0.003578096,-0.013202619,0.029700123
-0.00256088,0.0012824927,0.029817984
-0.0014661348,0.0053679114,0.028020531
-0.0013495259,0.009790018,0.025914704
-0.002401599,0.014004807,0.025999377
-0.0019548386,-0.0029000416,0.027817
-0.0030900382,-0.013325858,0.026498536
-0.0023618655,0.002280611,0.03362606
-0.0028847686,-0.0049931076,0.030069651
