v1,v2,v3
0,1,2
2,1,3
4,2,3
5,0,2
2,6,5
4,6,2
7,8,3
1,7,3
1,9,7
10,9,1
6,4,11
0,10,1
5,12,0
13,8,7
13,7,14
15,3,8
3,15,4
15,11,4
12,5,16
5,17,16
18,5,6
18,17,5
18,6,11
19,20,21
19,21,22
22,21,23
13,24,8
25,8,24
25,15,8
9,14,7
26,9,10
26,10,27
12,27,0
27,10,0
18,11,28
29,18,28
30,29,28
28,31,30
32,21,20
24,21,32
21,24,23
32,25,24
33,23,24
13,33,24
34,15,25
16,27,12
17,35,16
28,11,36
18,29,37
29,38,39
30,38,29
31,40,30
41,20,19
22,41,19
42,32,20
43,32,42
44,32,43
44,25,32
14,33,13
45,15,34
9,46,14
27,35,26
27,16,35
11,15,45
17,47,35
17,48,47
18,48,17
18,37,48
40,28,36
40,31,28
49,30,40
38,30,50
49,50,30
23,51,22
23,52,51
52,23,33
53,25,44
34,25,53
46,33,14
54,46,9
26,54,9
45,36,11
37,55,48
56,55,37
39,37,29
39,56,37
50,57,38
20,41,58
58,42,20
58,43,42
22,51,41
44,58,59
58,44,43
59,51,52
53,44,59
60,34,53
46,52,33
61,54,26
35,61,26
47,48,55
40,36,62
62,63,40
39,64,65
63,49,40
64,39,38
66,49,63
64,38,67
57,67,38
50,68,57
49,68,50
51,59,58
53,59,52
69,70,52
52,70,53
70,60,53
46,69,52
45,34,60
46,54,71
62,36,45
35,47,72
39,65,56
63,73,66
68,67,57
68,49,66
51,58,41
46,71,69
74,45,60
35,75,61
35,72,75
76,47,55
62,77,73
56,76,55
73,63,62
73,78,79
65,64,78
79,66,73
68,79,67
68,66,79
71,70,69
70,74,60
80,71,54
80,54,75
61,75,54
74,62,45
81,75,72
81,72,47
47,82,81
76,82,47
82,77,62
77,82,76
56,83,76
56,65,83
77,78,73
84,78,77
65,78,83
67,79,78
78,64,67
74,70,71
74,85,62
86,75,81
81,62,85
81,82,62
87,84,77
78,84,83
85,71,80
71,85,74
86,81,85
76,88,77
85,80,75
75,86,85
77,88,87
83,89,76
90,84,87
83,84,89
90,91,84
76,89,88
89,84,91
92,90,87
89,93,88
88,93,87
93,92,87
92,91,90
92,89,91
89,92,93
