L,I,A
0.0032257875,-0.027328528,-0.011125054
0.005201181,-0.025509099,-0.00951856
0.005616901,-0.024140447,-0.01018756
0.0036678675,-0.020647824,-0.0047203386
0.0043155863,-0.019267887,-0.009221756
0.004360219,-0.022838406,-0.01160527
0.00389196,-0.019516492,-0.011747955
0.0030298,-0.024046121,-0.004702396
0.002999001,-0.021042725,-0.0008816997
0.0015384641,-0.028081113,-0.0073161246
0.0028485502,-0.029114777,-0.010714367
0.001503143,-0.01829637,-0.0129526835
0.0021866208,-0.025667114,-0.01170398
0.0015699004,-0.022841742,0.0009922505
0.0015451814,-0.025004826,-0.0040413337
0.001849399,-0.018658686,-0.007185456
0.0016934593,-0.022948265,-0.011349466
0.0011485243,-0.020862913,-0.012522439
0.0016299638,-0.018970612,-0.013936505
0.0010161224,-0.023076206,0.013184507
-0.0005598848,-0.020249303,0.013825974
0.0020761262,-0.022891274,0.008970162
-0.00044605366,-0.024151443,0.010018508
-6.663258e-05,-0.023381637,0.0058744885
0.0005203119,-0.021605827,0.0047530592
-0.0005827606,-0.020020496,0.0051002246
-0.00091683195,-0.028020361,-0.008106822
0.00026209664,-0.02760669,-0.009146281
0.0013247628,-0.017103108,-0.016861307
0.0011053818,-0.016847614,-0.021896578
0.0011993396,-0.016187096,-0.027039466
0.0008351713,-0.015354852,-0.021640848
0.0010226665,-0.021009611,0.007949123
-0.00022090961,-0.022724515,0.0031988595
-0.001370193,-0.019345714,-0.0011206837
-0.0014913495,-0.022547813,-0.008428534
-0.0010869197,-0.017862894,-0.013166381
-0.0012144293,-0.019698355,-0.01983757
-0.00094364386,-0.01841437,-0.027197221
-0.002711245,-0.019277148,-0.02215881
-0.00063846546,-0.014094437,-0.023310568
-0.0027814964,-0.023268595,0.0127311
-0.00088779617,-0.019807955,0.014462855
-0.0018256642,-0.019706706,0.009696792
-0.0015003786,-0.020492662,0.0067045307
-0.004069817,-0.018414551,-0.006569435
-0.0025906079,-0.02502653,-0.0033354433
-0.0040768636,-0.021767557,-0.012042409
-0.0012474726,-0.021331228,-0.013516686
-0.0013808617,-0.013988239,-0.02784779
-0.0013111322,-0.01627566,-0.028856486
-0.0029525582,-0.023244232,0.0071272226
-0.0022635213,-0.022262642,0.0035057145
-0.0028581095,-0.020188227,0.0033833724
-0.0033826118,-0.028197175,-0.007149191
-0.0026768143,-0.02258074,-0.018422354
-0.0021061602,-0.02194431,-0.020206517
-0.0029234362,-0.018205129,-0.029102726
-0.0040017096,-0.021644324,0.011315553
-0.0026549904,-0.021674477,0.005423056
-0.0040344354,-0.019700712,-0.001910378
-0.00371015,-0.027232764,-0.008686604
-0.0044047413,-0.018194325,-0.014500192
-0.0026639558,-0.014459608,-0.02256751
-0.0034562408,-0.021591807,-0.02591589
-0.004043875,-0.019566476,-0.022221308
-0.0035759173,-0.01439706,-0.025598098
-0.0046370137,-0.019991543,-0.027612757
-0.0033471286,-0.015948728,-0.028216302
-0.004328425,-0.02307441,-0.00083904003
-0.005295804,-0.021091998,-0.0016826044
-0.0056140833,-0.023450917,-0.0052595916
-0.004678196,-0.022436991,-0.010950822
-0.0044666636,-0.017288428,-0.019502515
-0.0060264245,-0.019305766,-0.005375891
-0.006406406,-0.027983643,-0.010931372
-0.0062860837,-0.02032407,-0.016971957
-0.006649581,-0.019393949,-0.01631397
-0.0057098465,-0.018855229,-0.022586657
-0.0054886476,-0.017740747,-0.025076736
-0.007033032,-0.025803072,-0.009021389
-0.0062828823,-0.02057123,-0.011851591
-0.0058493586,-0.019910287,-0.014259586
-0.006582704,-0.020103598,-0.019313162
-0.007107087,-0.018672448,-0.021252306
-0.008219894,-0.021649878,-0.010524255
-0.008075884,-0.021268923,-0.01133087
-0.008346836,-0.018501459,-0.017988505
-0.009996433,-0.019846782,-0.017127777
-0.011982547,-0.020823851,-0.019183192
-0.009787801,-0.017826738,-0.022569016
-0.01035243,-0.018803326,-0.022206418
-0.013978227,-0.017382523,-0.017131997
-0.01196703,-0.018966278,-0.01599329
