L,I,A
0.017810239,-0.0054919804,-0.00023317315
0.019194493,-0.006547942,-0.0005145845
0.01681344,-0.007398453,2.4304632e-05
0.015745917,-0.008266843,-0.0014385029
0.01639108,-0.0071117226,-0.0038511837
0.015190106,-0.0053173797,0.0012361505
0.015462524,-0.007812493,0.0015819616
0.014330945,-0.0119096,0.018073382
0.016986491,-0.012400332,0.018613271
0.015961427,-0.013276823,0.019133884
0.015377343,-0.011878683,0.016618198
0.014968823,-0.011860427,0.014559464
0.015239947,-0.009315389,0.014358556
0.012885446,-0.002886906,-0.0016366359
0.015150885,-0.0054099625,-0.004415518
0.014531852,-0.006573021,-0.0046140132
0.012250499,-0.0060152314,-0.010842685
0.012120772,-0.014196508,0.018031836
0.012391975,-0.013463166,0.018902719
0.012786098,-0.010960887,0.012920474
0.012039981,-0.008614203,0.0132085765
0.012162632,-0.011786282,0.0061461804
0.01541996,-0.008587316,0.0053574913
0.0142223295,-0.0045058797,0.003221087
0.013614727,-0.0019631505,0.006325282
0.013399646,-0.009862483,-0.00050128315
0.0111481035,-0.01437209,0.015669096
0.011962453,-0.010286265,0.0089285765
0.012041705,-0.0051562716,0.009178855
0.012328655,-0.001983266,0.009418467
0.013251472,-0.0008637179,0.00427028
0.013014459,-0.009201014,-0.0029468038
0.013281918,-0.011423789,-0.0055075106
0.012302504,-0.007867031,-0.00407924
0.011897749,-0.01632379,0.021186132
0.011364636,-0.0104031665,0.019043699
0.011220039,-0.008911418,0.017025834
0.009992617,-0.00788803,0.013739815
0.012125577,-0.00028263804,0.009829912
0.010531475,-0.015050211,0.007334981
0.011982211,0.00020586359,0.0006252382
0.012348307,-0.016886836,-0.0070312074
0.011728468,-0.01809201,-0.0042172815
0.0115518365,-0.0077080005,-0.006179441
0.010008529,-0.0034936038,-0.008343497
0.011360224,-0.009110328,-0.0058405753
0.011468599,-0.011742914,-0.00851684
0.01249191,-0.0136576155,-0.008318238
0.011076541,-0.017269822,0.023724409
0.011658645,-0.018076094,0.021029599
0.008924787,-0.019267997,0.017486818
0.011390276,-0.012154567,0.012030485
0.010164731,-0.0064152973,0.013159525
0.011978537,-0.0035977236,0.0129139135
0.011380271,-0.0057961727,0.011820911
0.011719282,-0.00903388,0.01105907
0.010592348,8.987277e-05,0.014205706
0.011110145,0.002376607,0.010810024
0.009881712,0.002270517,0.013071286
0.011075468,-0.017672213,0.0018971093
0.0105973715,0.0028890804,0.0043894234
0.010995745,-0.020137228,-0.0073352777
0.007998061,-0.007504804,-0.011237695
0.010830136,-0.014786843,-0.01292764
0.010249174,-0.012919804,-0.015585467
0.008679005,-0.017081907,0.026044255
0.009618908,-0.016047731,0.021502303
0.009908238,-0.015044623,0.013736064
0.008156271,0.0043669115,0.0024449816
0.007851139,-0.020306097,-0.002269399
0.008226917,-0.019510586,0.005223377
0.010557513,-0.020259866,-0.005059712
0.010157287,-0.023814734,-0.0057678707
0.008536112,-0.009289689,-0.0075219544
0.010505547,-0.021708013,-0.010139083
0.008642473,-0.0049983026,-0.011854183
0.0102203265,-0.02203631,-0.014461537
0.010842505,-0.01908435,-0.014437523
0.010984881,-0.014262718,-0.020693107
0.010260787,-0.017566733,-0.016462112
0.010128532,-0.012396107,-0.021691749
0.0102235265,-0.016160402,-0.021338632
0.00873594,-0.018343095,0.02636364
0.010040549,-0.019253593,0.022370832
