L,I,A
-0.0037954515,0.020393178,0.039385088
-0.0034813448,0.017201891,0.03743463
-0.0045970445,0.020681819,0.041435238
-0.0032781372,0.018338848,0.035320677
-0.0056359894,0.014750101,0.03730176
-0.0053521455,0.015381894,0.03379343
-0.005371314,0.019586304,0.036491405
-0.0048932214,0.018301412,0.034362264
-0.00571198,0.017659614,0.03874625
-0.006205885,0.020876123,0.039404295
-0.006489715,0.016904457,0.03484087
-0.00623207,0.02011654,0.035011593
-0.0058390847,0.015922967,0.030648084
-0.006281073,0.020950846,0.03354283
-0.00629961,0.018541465,0.02983127
-0.006924747,0.021767074,0.03657535
-0.0073104193,0.023756504,0.037364833
-0.006812111,0.024668733,0.033592567
-0.009921456,0.020094138,0.033659045
-0.008181886,0.020827567,0.031109797
-0.00785741,0.025041442,0.038231082
-0.009334026,0.015769906,0.033003837
-0.009625514,0.0153320525,0.029196238
-0.010762292,0.02673815,0.035191923
-0.010924518,0.024364809,0.031668935
-0.009705517,0.017859844,0.027494628
-0.0135908,0.024878401,0.036419883
-0.010405132,0.020886604,0.031134132
-0.010875655,0.020523867,0.032246597
-0.013991886,0.023319475,0.03254863
-0.013818414,0.025843434,0.034103
