v1,v2,v3
0,1,2
3,0,2
4,3,2
1,5,2
5,6,2
4,2,6
7,3,4
7,4,8
9,8,4
10,7,8
7,10,11
5,1,12
6,9,4
13,14,12
15,13,1
13,12,1
15,1,0
8,9,16
17,8,16
18,8,17
10,19,11
8,18,10
18,19,10
11,19,20
14,21,12
12,21,22
5,12,22
5,22,6
0,23,15
0,3,24
3,7,25
11,25,7
26,21,14
27,9,6
28,17,16
21,29,22
6,22,27
13,30,14
15,30,13
9,27,16
16,27,28
23,0,24
3,25,24
31,17,28
25,11,32
11,20,32
17,33,18
34,20,19
34,19,18
35,21,26
30,35,26
30,26,14
31,28,36
33,17,31
20,37,32
37,34,38
37,20,34
18,39,34
33,39,18
21,40,29
27,22,41
42,23,24
31,43,33
34,39,38
35,44,21
21,44,40
41,22,29
35,30,45
41,28,27
30,15,23
36,43,31
46,39,33
41,29,40
41,36,28
43,46,33
39,47,38
47,39,48
46,48,39
44,35,45
41,40,49
30,50,45
30,23,50
51,42,24
25,51,24
36,52,43
32,53,25
47,32,38
32,37,38
50,44,45
54,55,23
54,23,42
41,52,36
54,42,51
51,25,53
43,56,46
57,32,47
44,58,40
58,49,40
23,55,50
51,53,54
32,57,53
52,56,43
59,57,48
57,47,48
56,48,46
58,44,60
44,50,60
41,49,61
62,50,55
61,52,41
63,53,57
57,59,63
60,64,58
58,65,49
50,66,60
50,62,66
66,64,60
58,64,65
62,55,66
55,54,67
54,53,63
52,68,56
69,48,68
48,56,68
59,48,69
65,61,49
52,61,70
63,67,54
70,61,65
67,66,55
66,71,64
71,65,64
70,65,71
72,63,69
63,59,69
69,68,73
66,67,71
74,52,70
72,67,63
68,74,73
68,52,74
67,72,71
72,70,71
70,72,74
72,73,74
73,72,69
