L,I,A
-0.00608199,0.016423523,0.03608601
-0.0051463475,0.019985668,0.04130578
-0.0057148943,0.019600522,0.03916459
-0.0069445,0.018050434,0.04472676
-0.0057591097,0.022038637,0.042956185
-0.0075103613,0.014651262,0.040892754
-0.0075614443,0.024385305,0.04007718
-0.007633904,0.025512004,0.04289804
-0.0069954875,0.015260572,0.039071552
-0.0082620345,0.023963192,0.03820729
-0.0072633126,0.015729127,0.03395609
-0.006116199,0.01850105,0.034860358
-0.0069893626,0.020582624,0.03504048
-0.007816284,0.018759653,0.033461742
-0.008372846,0.012684067,0.05119913
-0.007621939,0.018842092,0.048128843
-0.007844438,0.012503385,0.049544934
-0.008615285,0.023090044,0.04852
-0.008824284,0.025337432,0.047503866
-0.008200831,0.005793475,0.043065693
-0.0074326573,0.0030243422,0.044247817
-0.0076580998,0.00408603,0.04497146
-0.007742199,0.0068172337,0.04201697
-0.0077250665,0.009431173,0.041386385
-0.0072640316,0.010712965,0.040138878
-0.008053988,0.013784359,0.040208966
-0.009761307,0.020664807,0.05123858
-0.010036154,0.0014790724,0.047308404
-0.009842898,0.0066733863,0.048649084
-0.008428477,0.0108317,0.04535021
-0.0099950135,0.0039120354,0.048331805
-0.009927099,0.027382419,0.046120755
-0.009387974,0.028556159,0.043580145
-0.0094713,0.0030272782,0.044267233
-0.008054444,0.027565451,0.041699667
-0.009141673,0.010675458,0.04149465
-0.010013472,0.01578856,0.041021526
-0.008432459,0.027634723,0.038427968
-0.008790052,0.01573917,0.038819697
-0.009725529,0.017507285,0.03453925
-0.010555435,0.024622664,0.036582645
-0.009753608,0.021685742,0.034379162
-0.010805109,0.015800998,0.053371087
-0.011484445,0.00088069635,0.047381073
-0.009932088,0.007138806,0.043061994
-0.011848107,0.031694964,0.040969133
-0.009999198,0.017170705,0.038949672
-0.011491031,0.0280999,0.03472578
-0.010643804,0.020587055,0.03475589
-0.011027959,0.004165198,0.053415496
-0.012238963,0.0077424645,0.055071376
-0.01091863,-0.0004929669,0.047901038
-0.011300097,-0.0009264052,0.04996865
-0.010527942,0.009470334,0.04325799
-0.011643032,0.013128495,0.045995004
-0.01083457,0.017292134,0.04452507
-0.010500302,0.020110613,0.041440476
-0.011101571,0.020400863,0.036805373
-0.0118587995,0.022169242,0.034387227
-0.013029727,0.0005384348,0.054687425
-0.010732404,-0.006526334,0.048028152
-0.01490416,0.027292002,0.050278608
-0.012613709,-0.0036255924,0.047552295
-0.012213632,0.018229838,0.046119016
-0.012954263,0.004059624,0.04750907
-0.011699277,0.009686881,0.047348894
-0.011962362,0.020296652,0.044129837
-0.013868977,0.022984875,0.035244253
-0.012882905,0.025087615,0.03605645
-0.015138824,0.0072262837,0.05816089
-0.014200763,-0.0023019053,0.055711452
-0.013349213,-0.005423518,0.05240606
