v1,v2,v3
0,1,2
2,3,0
2,1,4
5,6,7
6,8,7
7,8,9
10,5,7
11,5,10
7,9,10
12,13,14
14,15,16
17,14,16
18,14,17
19,20,21
22,23,24
25,22,24
25,26,22
27,22,26
28,26,25
0,29,1
26,30,27
31,26,32
30,26,31
26,33,32
34,6,35
5,35,6
2,4,36
37,38,39
3,40,41
36,3,2
42,43,37
40,3,36
44,36,4
4,45,44
46,35,5
47,48,49
49,50,47
37,51,42
37,39,51
40,36,52
52,36,44
11,46,5
53,54,55
56,53,55
57,58,59
60,15,61
62,53,56
55,63,56
64,58,57
65,15,60
66,67,58
66,58,64
68,64,57
69,62,56
70,56,63
69,56,70
71,72,67
71,67,66
73,64,68
74,72,75
61,15,76
75,72,71
71,66,77
73,77,64
15,65,78
79,80,81
71,77,82
73,83,77
13,84,76
15,13,76
85,75,86
87,75,71
82,77,83
14,13,15
86,75,87
87,71,82
15,88,16
86,89,85
20,82,83
90,91,92
89,86,87
87,82,93
19,82,20
89,90,92
20,83,94
95,16,88
90,89,96
21,20,97
97,20,94
18,98,14
17,16,95
96,89,87
87,93,99
21,100,19
101,102,17
17,95,101
103,104,105
106,107,24
108,109,29
25,24,107
107,106,34
28,25,110
1,29,109
111,109,31
31,109,108
30,31,108
28,33,26
110,25,112
112,25,107
112,107,113
107,114,113
114,107,34
106,115,34
111,1,109
114,34,116
115,6,34
111,4,1
31,117,111
31,32,117
50,33,28
35,116,34
118,0,3
33,119,32
43,110,112
112,113,38
4,111,120
111,121,120
117,32,119
50,119,33
43,112,37
38,37,112
6,115,8
3,41,118
42,110,43
45,4,120
117,119,48
48,119,49
50,49,119
122,47,50
42,51,123
40,52,124
45,125,126
11,10,127
128,129,9
129,10,9
54,130,126
61,131,60
132,131,61
130,54,53
65,60,133
54,134,55
63,55,134
135,132,61
62,130,53
68,57,136
137,135,138
135,61,138
139,65,62
78,65,139
69,139,62
64,77,66
139,69,80
69,140,80
68,141,73
80,140,81
142,73,141
143,139,80
78,139,143
91,79,81
79,143,80
85,74,75
88,15,78
88,78,144
144,78,143
79,91,90
90,143,79
83,73,142
14,98,12
145,12,98
144,143,90
89,92,85
146,88,144
88,146,95
96,144,90
147,98,18
146,144,96
19,93,82
146,101,95
99,96,87
148,149,147
101,146,96
94,150,97
102,18,17
100,99,19
19,99,93
151,148,147
151,147,18
151,18,102
152,101,96
153,100,21
150,153,21
97,150,21
152,96,154
154,96,99
102,103,151
103,102,104
105,104,155
152,156,101
157,154,99
22,158,23
159,23,158
27,158,22
23,160,24
160,106,24
108,29,161
162,108,163
106,160,164
162,30,108
110,165,28
164,166,106
30,167,27
116,115,106
165,50,28
168,29,0
169,50,165
170,168,118
168,0,118
171,35,46
116,35,171
172,39,38
173,117,48
118,41,40
174,123,51
40,124,118
120,125,45
47,173,48
11,127,46
175,10,129
52,176,124
44,176,52
177,178,45
126,177,45
179,126,125
177,126,179
130,178,177
130,177,180
133,60,181
133,130,62
130,180,126
126,180,54
135,182,132
62,65,133
182,135,183
184,59,58
185,57,59
137,183,135
186,187,63
188,138,189
138,188,137
70,63,187
190,70,187
189,138,84
189,84,191
84,138,61
76,84,61
190,140,69
69,70,190
192,67,72
140,193,81
194,191,84
193,91,81
195,194,84
195,84,13
12,195,13
196,92,91
83,142,197
83,197,94
98,149,145
147,149,98
198,199,200
200,149,148
201,150,94
202,200,148
101,203,102
153,204,99
153,99,100
102,203,104
156,203,101
204,157,99
103,205,151
203,155,104
206,154,157
105,207,103
155,207,105
208,152,154
209,160,23
167,30,162
167,158,27
166,116,106
121,111,117
210,114,116
210,113,114
42,123,211
42,211,110
116,171,210
122,50,169
39,172,174
212,8,115
125,120,121
173,213,117
174,51,39
9,8,212
173,47,122
123,174,214
174,215,214
46,127,171
212,216,9
128,9,216
175,127,10
176,44,178
45,178,44
217,60,131
217,131,218
217,181,60
178,181,176
181,178,133
130,133,178
131,132,218
54,180,134
63,134,186
183,219,182
59,184,220
185,59,220
221,185,220
219,137,188
222,184,58
185,221,223
185,223,224
185,224,57
224,136,57
67,222,58
136,141,68
225,141,136
192,72,74
67,192,222
140,226,227
196,91,193
85,228,74
141,197,142
229,200,199
229,199,230
197,231,94
198,230,199
232,94,231
149,200,229
232,201,94
200,202,198
233,198,202
202,205,233
148,151,202
205,202,151
207,203,156
152,234,156
235,236,150
237,205,103
207,237,103
155,203,207
236,153,150
208,234,152
238,239,204
238,204,153
238,153,236
159,209,23
162,240,241
159,241,240
159,158,241
167,162,241
209,164,160
161,163,108
29,168,161
166,164,242
158,167,241
110,211,165
166,243,116
116,243,115
244,165,211
244,169,165
212,115,243
121,117,245
113,172,38
113,210,172
123,244,211
123,214,244
117,213,245
246,172,210
174,172,246
171,246,210
121,213,125
122,213,173
246,171,247
118,124,170
215,174,246
170,124,248
127,247,171
124,176,248
129,128,216
249,177,179
176,181,248
177,249,180
249,134,180
218,132,182
182,219,188
250,221,220
222,251,184
189,252,188
219,183,137
253,223,221
254,252,189
255,256,226
191,257,254
254,189,191
226,140,190
187,226,190
258,257,191
256,259,260
140,227,193
228,192,74
191,194,258
