L,I,A
-0.0012595741,-0.049493976,0.006842221
-0.0008302268,-0.047178205,0.008102421
-0.00039044122,-0.04929212,0.0046100067
-0.0012417685,-0.05090843,0.0037575243
-0.0007946815,-0.0458922,0.00404488
-0.0005048775,-0.027253395,6.844572e-05
-0.00074525835,-0.025786126,0.006901076
-0.0002816865,-0.02543555,0.00021590112
-0.0017389222,-0.024780128,0.0026593006
-0.0018344803,-0.023651375,-0.00014914242
-0.0007613686,-0.025984786,-0.0036266095
-0.00146843,-0.027636506,-0.0021409045
-0.0018931102,-0.0524707,-0.018280823
-0.0011281061,-0.05274199,-0.01762969
-0.00048356096,-0.05215819,-0.020484198
-0.00088192796,-0.05136487,-0.016197097
-0.0008681408,-0.04810387,-0.022688625
-0.00089412404,-0.04578235,-0.025567962
-0.001545941,-0.048369102,-0.025145879
-0.0007151753,-0.026700584,-0.023705218
-0.00033929394,-0.025737982,-0.020951075
-0.00077510555,-0.02463081,-0.02506529
-0.00054417836,-0.039207395,0.012857297
-0.0019668455,-0.037609883,0.0144830225
-0.0026297164,-0.03370644,0.011313225
-0.0023131003,-0.035063952,0.010411677
-0.00096530345,-0.038450547,0.007272159
-0.0021792569,-0.03900433,0.008767063
-0.0024532627,-0.036501322,0.009123426
-0.0033022794,-0.046477262,0.008587714
-0.001748074,-0.040100425,0.008712404
-0.002147416,-0.042492032,0.007943954
-0.0013558958,-0.040269263,0.0054538967
-0.0010408213,-0.037855536,0.005347798
-0.0023498756,-0.027391896,0.008121133
-0.0013468203,-0.02693384,0.0053887693
-0.001165604,-0.049862463,0.00078539795
-0.0009837163,-0.03185381,0.002893492
-0.0032034114,-0.031733733,0.006048002
-0.0019417811,-0.03090346,0.0030828652
-0.0017939557,-0.053416487,0.00027113603
-0.0025212707,-0.05317144,0.0021240888
-0.0019923428,-0.03405787,-9.40589e-05
-0.0013025197,-0.033490278,0.003631123
-0.0030293656,-0.048378456,-0.0011908566
-0.0029856048,-0.043818858,0.0007787741
-0.0019263905,-0.02871404,0.0005758726
-0.0026882607,-0.037638966,-0.0014065207
-0.0019345955,-0.038393855,0.0021320146
-0.0009839167,-0.03779984,0.0008207973
-0.0030807941,-0.036982875,0.003870817
-0.0018628722,-0.03134229,-0.00011888025
