v1,v2,v3
0,1,2
0,2,3
2,4,3
4,2,5
2,1,5
0,6,1
7,6,0
5,1,8
8,1,9
10,7,0
6,9,1
10,0,3
11,10,3
12,5,8
5,13,4
3,4,13
13,11,3
14,10,11
15,16,17
18,12,8
16,19,17
20,17,19
18,8,21
22,5,12
9,21,8
21,9,23
6,23,9
6,7,23
24,10,14
24,23,7
24,7,10
25,26,27
17,28,15
29,18,21
22,30,5
13,5,30
20,28,17
31,20,32
33,21,34
34,21,23
24,35,23
25,36,26
25,37,36
18,38,12
38,22,12
20,39,32
32,40,41
42,11,13
21,33,29
43,14,11
43,44,14
44,24,14
45,35,24
46,25,27
47,38,18
37,25,46
46,16,15
15,28,46
39,19,16
31,28,20
39,20,19
40,32,39
30,48,13
42,13,48
49,31,32
49,32,41
40,50,41
41,50,49
43,11,42
35,34,23
51,34,35
45,24,52
36,27,26
37,53,36
28,37,46
29,54,18
22,48,30
55,56,40
57,31,49
50,40,56
58,59,56
33,60,29
49,50,61
50,56,59
62,43,42
63,50,59
64,59,58
64,58,65
50,63,66
64,63,59
34,58,33
65,58,34
67,65,34
51,67,34
52,24,44
68,35,45
53,69,70
36,53,70
36,70,27
46,27,70
46,70,16
18,71,47
53,37,72
39,16,73
71,38,47
72,37,74
37,28,74
18,54,71
38,71,75
75,22,38
39,76,40
76,55,40
54,29,77
77,29,60
56,60,58
50,66,61
58,60,33
63,64,66
65,78,64
65,67,78
68,51,35
72,69,53
79,80,55
22,81,48
55,80,56
74,28,57
31,57,28
56,80,60
82,57,49
82,49,61
45,52,83
83,52,44
84,85,69
69,85,86
70,69,86
72,84,69
16,70,73
74,87,72
54,75,71
54,77,75
39,73,76
77,60,80
81,88,48
48,88,42
78,66,64
78,67,89
51,89,67
90,44,43
91,51,68
68,45,83
90,83,44
86,92,70
92,73,70
80,79,93
94,77,80
93,94,80
73,95,76
95,55,76
81,22,96
74,57,97
42,88,62
98,61,66
99,98,66
99,66,78
62,88,100
43,62,100
101,89,51
84,72,102
87,102,72
94,96,75
22,75,96
97,87,74
57,82,103
98,82,61
43,100,104
105,99,78
101,78,89
104,90,43
106,101,51
51,91,106
107,91,68
107,68,83
85,92,86
85,84,102
108,73,92
77,94,75
87,109,102
55,95,79
87,97,110
96,111,81
111,88,81
57,103,97
103,82,98
101,105,78
112,90,104
112,83,90
112,107,83
113,92,85
113,85,102
114,92,113
102,109,113
108,115,73
115,95,73
87,110,109
88,111,116
116,100,88
99,105,98
117,105,101
112,91,107
114,113,109
114,108,92
118,94,119
120,96,94
93,79,121
93,119,94
122,121,95
79,95,121
111,96,120
115,122,95
123,124,110
97,123,110
98,105,125
117,101,106
126,106,91
126,91,112
118,120,94
109,127,114
127,108,114
127,128,108
109,110,127
110,124,127
103,129,97
125,129,103
125,103,98
130,125,105
130,105,117
131,126,112
132,119,93
108,128,115
93,121,132
124,123,127
127,123,128
129,133,97
97,133,123
134,111,135
134,116,111
136,129,125
130,136,125
134,131,116
131,100,116
137,130,117
104,100,131
104,131,112
120,118,135
122,115,138
122,139,121
139,132,121
135,118,140
135,111,120
136,130,141
137,117,106
126,137,106
137,126,131
138,139,122
132,142,119
119,142,118
128,143,115
115,143,138
142,140,118
133,128,123
136,141,142
140,142,141
144,145,129
144,129,136
134,135,146
141,130,147
137,147,130
134,137,131
148,142,132
133,143,128
148,144,136
136,142,148
141,146,140
135,140,146
149,133,129
145,149,129
150,148,139
139,148,132
149,151,133
141,147,146
146,147,134
147,137,134
138,150,139
150,152,144
150,144,148
133,151,143
149,145,144
152,150,138
138,143,151
152,138,151
151,149,152
152,149,144
