L,I,A
-0.009311145,0.009686089,0.015086822
-0.009702987,0.0073751025,0.016851606
-0.008426153,0.00941853,0.017172165
-0.009048199,0.011097363,0.017246187
-0.010204064,0.0105345,0.019250048
-0.012123158,0.006010869,0.021434693
-0.013031184,0.0060215592,0.015315363
-0.013192859,0.008467156,0.014084859
-0.013411018,0.004332564,0.020113846
-0.012975066,0.004979,0.01622604
-0.012922581,0.010622359,0.014323079
-0.01396574,0.011740337,0.016364051
-0.0154451085,0.003922674,0.021002134
-0.015340206,0.0108777275,0.018356154
-0.0148609355,0.012532977,0.013305479
-0.016507583,-0.023027504,0.020038528
-0.018191539,-0.021952292,0.020792793
-0.012868665,-0.022489572,0.019526549
-0.017317686,0.0012181301,0.020967893
-0.017116427,-0.020384414,0.019698404
-0.01586396,-0.02120784,0.018513117
-0.014576374,0.0010133407,0.016968716
-0.01994377,0.0047494466,0.018489962
-0.015019934,0.004152651,0.012879665
-0.015370942,0.011070168,0.011098468
-0.016614197,-0.02591198,0.022193508
-0.015897613,-0.025831837,0.026438935
-0.017937336,-0.025494153,0.023484299
-0.018105648,-0.023250898,0.017709019
-0.017606983,-0.0004840505,0.018748216
-0.016361142,0.008874957,0.019105706
-0.016275648,-0.0203284,0.01737646
-0.013464629,-0.01872539,0.017582655
-0.017759036,-0.00033650154,0.014369906
-0.018281564,0.00076013076,0.011990731
-0.01674057,0.0053496244,0.011445978
-0.019435184,-0.02596071,0.023996007
-0.017556239,-0.026128089,0.022130553
-0.016625747,0.0037352399,0.02110254
-0.018803261,-0.019706888,0.019976443
-0.017796384,-0.014119005,0.0180739
-0.016687145,-0.015183674,0.017131133
-0.019394154,0.011436363,0.017394407
-0.021164866,0.014247043,0.012513835
-0.020027788,0.014125673,0.011067014
-0.019915732,0.011137823,0.009333261
-0.016886828,-0.024066927,0.021130538
-0.019037215,0.002687992,0.023491422
-0.019281099,0.0099787675,0.018476281
-0.017906914,-0.0150065925,0.016174529
-0.016996486,-0.012788218,0.015025639
-0.021244247,0.0030891432,0.010047379
-0.01952344,0.012921158,0.010044729
-0.019514393,-0.026873866,0.023299845
-0.018171417,-0.0017942606,0.02053826
-0.02091198,-0.010545911,0.01849086
-0.019214474,-0.009398367,0.01714849
-0.021005316,-0.02109882,0.015726492
-0.018625848,-0.002596241,0.013606181
-0.018580757,-0.007807071,0.014697943
-0.020527938,-0.00338544,0.01830038
-0.021835713,-0.014237966,0.013660625
-0.020568704,0.012850766,0.014497745
-0.017758194,-0.009710878,0.013240068
-0.01930509,-0.006836504,0.01353331
-0.018348427,-0.0052829143,0.011950447
-0.02002265,-0.0114596365,0.01363589
-0.01956651,-0.001377962,0.0119456565
-0.022393892,0.0089823725,0.009122472
-0.01975402,-0.028075343,0.026052993
-0.020873554,-0.025509467,0.024467617
-0.02092039,0.0025114783,0.022543523
-0.022106895,-0.028639523,0.022887025
-0.022938358,-0.019916618,0.019437721
-0.02067297,-0.025660452,0.017787568
-0.02220815,0.0023648138,0.021007191
-0.021007773,-0.013258985,0.018590368
-0.020460512,-0.0026763366,0.019539464
-0.021731729,-0.0054217717,0.013066429
-0.022517506,-0.0062701553,0.020010164
-0.021342345,-0.004021393,0.019290188
-0.022512013,0.007819849,0.017853059
-0.022697214,-0.01860255,0.013794786
-0.021787943,0.013064954,0.00796501
-0.023692839,-0.0291533,0.02349264
-0.023913817,-0.0273964,0.024693768
-0.023008158,-0.025433837,0.025118824
-0.023231147,-0.026046943,0.01813603
-0.023432145,0.009544674,0.0168386
-0.022384962,-0.00083285174,0.012137385
-0.022033015,0.014232336,0.010821049
-0.024387794,0.0061628274,0.008247807
-0.024574146,-0.024012817,0.023354908
-0.025380814,-0.003704507,0.020627629
-0.024157954,0.0028164973,0.021595461
-0.024721151,-0.012228332,0.018503783
-0.024576487,0.0058800094,0.018546898
-0.025757834,-0.019479567,0.014985218
-0.025297811,-0.010125593,0.01330485
-0.023479283,-0.00917182,0.013008763
-0.026728049,0.011543328,0.012630353
-0.024815971,0.00076555635,0.01162888
-0.024389839,-0.027443612,0.022106988
-0.024797918,-0.018487142,0.0138545865
-0.02717552,0.011781132,0.011098518
-0.025822353,-0.0036339385,0.010831486
-0.026239343,0.0040422273,0.0088557955
-0.024278123,0.011640328,0.008664078
-0.026507633,-0.019801,0.020052286
-0.027899489,-0.025021939,0.019274304
-0.02596308,-0.023873817,0.017652152
-0.027461182,0.0061821686,0.017989093
-0.026503136,0.011621885,0.009320991
-0.025960319,-0.025449611,0.021819595
-0.02624447,-0.023234636,0.0222672
-0.027995534,-0.018050555,0.019400235
-0.02682062,0.008539466,0.016573492
-0.02664329,0.0009001792,0.011921165
-0.02896136,0.0021577554,0.021691026
-0.028443519,-0.0007198675,0.02146103
-0.028530639,0.0043618674,0.021261292
-0.028190872,-0.008260313,0.020236613
-0.029348057,-0.013471131,0.019280734
-0.02930305,-0.020805119,0.017037699
-0.027483834,-0.022744887,0.018281149
-0.027652957,-0.0077811815,0.014166349
-0.02740778,0.0060443496,0.009018025
-0.027561806,-0.022088416,0.019588593
-0.029758045,-0.018877313,0.018165506
-0.028882368,-0.0116590215,0.01556751
