v1,v2,v3
0,1,2
3,4,5
2,6,0
7,6,2
7,2,1
8,4,3
9,3,5
10,1,0
11,4,8
12,13,4
11,12,4
5,4,13
9,5,13
1,10,14
15,8,3
0,16,10
17,0,6
1,14,7
14,6,7
17,16,0
6,18,17
15,11,8
11,19,12
9,15,3
19,9,13
13,12,19
16,14,10
14,16,18
18,6,14
15,19,11
15,9,19
20,17,21
18,16,17
18,21,17
22,23,24
25,24,23
23,22,26
27,25,23
27,23,26
28,29,30
31,30,20
30,29,20
21,31,20
32,18,17
22,24,33
26,22,34
30,35,28
29,28,36
31,35,30
20,29,32
21,37,31
32,17,20
38,39,21
18,38,21
33,24,40
33,34,22
25,40,24
35,36,28
41,25,27
31,37,35
32,38,18
33,42,34
26,34,43
40,25,41
43,27,26
44,35,37
45,29,36
32,29,45
39,37,21
33,40,42
42,43,34
40,41,46
43,41,27
36,35,44
45,44,37
39,45,37
38,45,39
38,32,45
40,46,42
43,46,41
45,36,44
46,43,42
