v1,v2,v3
0,1,2
2,3,4
5,3,2
6,2,1
6,1,7
3,8,9
8,3,5
5,2,6
10,6,7
8,11,9
8,5,12
12,5,6
12,6,13
13,6,10
14,9,11
15,11,8
15,8,12
16,15,12
17,16,12
17,12,18
11,15,19
19,15,16
20,2,4
2,20,0
0,7,1
7,0,21
21,22,7
23,22,21
3,9,24
25,7,22
25,10,7
25,22,26
18,12,13
27,28,16
27,16,17
29,17,18
30,10,25
11,31,14
18,13,32
33,13,10
33,10,30
34,31,11
34,11,19
13,33,32
25,35,30
33,30,35
36,33,35
20,37,0
37,21,0
3,24,4
23,38,22
26,22,38
39,26,38
14,24,9
40,26,39
40,25,26
31,41,14
41,31,42
19,16,28
18,43,29
35,25,40
44,19,28
43,45,29
34,42,31
44,34,19
33,46,32
46,33,36
20,4,47
24,47,4
23,48,38
39,38,48
49,14,50
24,14,49
27,51,28
52,17,29
18,32,43
53,35,40
54,42,55
34,56,42
42,56,55
57,56,34
57,34,44
32,46,58
35,59,36
46,36,59
20,60,37
20,47,61
23,21,62
47,24,49
48,63,39
64,50,41
14,41,50
52,51,27
52,27,17
29,45,52
39,65,40
28,51,66
53,40,65
54,64,42
41,42,64
57,44,66
66,44,28
45,43,67
53,68,35
54,55,69
70,67,43
70,43,32
35,68,71
69,55,56
58,70,32
58,46,72
72,46,59
59,73,72
71,59,35
61,60,20
37,60,21
60,62,21
62,74,23
48,75,63
51,76,66
57,66,77
67,78,45
79,57,77
57,79,56
56,80,69
56,79,80
81,58,72
59,71,82
82,73,59
83,47,84
47,49,84
74,48,23
75,48,85
86,51,52
52,45,87
88,87,45
77,66,89
78,88,45
90,53,65
67,70,91
92,71,68
93,68,53
92,68,93
54,69,94
58,91,70
81,95,58
96,94,69
69,80,96
80,79,97
72,98,81
99,60,61
100,49,50
85,48,74
65,39,63
65,63,90
89,66,76
92,93,101
54,102,64
94,102,54
93,53,90
91,78,67
101,71,92
91,58,95
101,103,82
82,71,101
98,95,81
98,72,73
98,73,82
84,49,104
49,100,105
100,50,64
86,106,51
87,86,52
107,93,108
93,109,108
106,89,76
76,51,106
107,101,93
107,110,103
