L,I,A
5.1823292e-05,0.007351542,0.05613082
0.00059455785,0.0094066635,0.05481395
0.0004529495,0.002147236,0.054476764
1.864169e-05,-0.004904363,0.053774286
-0.00079641206,-0.0027157725,0.05501267
0.00093829195,-0.0021939615,0.051909335
0.0007941286,0.0075528626,0.05309245
-0.000113901486,0.013613839,0.053844623
0.00100896,-0.008033775,0.050967406
-2.334516e-05,-0.0113831395,0.05123428
-0.00016863472,0.011324122,0.049773593
0.0004955702,-0.014493498,0.047400527
0.0005794477,0.00014166349,0.048750326
-0.0005131229,0.007869798,0.048471212
-0.0002858938,-0.01644809,0.048508357
0.00070193404,-0.009101544,0.048464924
0.0001206697,-0.007268769,0.047934573
-0.00062492717,-0.0035834953,0.047106396
-0.0011199673,0.0040126718,0.046211753
-0.00044777786,-0.012069063,0.045729853
-0.00124435,0.006261768,0.05706041
-0.0014709469,0.018045958,0.05527261
-0.00033440185,0.019207314,0.053098347
-0.0024662656,0.02293149,0.054086052
-0.0012662768,-0.010141638,0.0530308
-0.0005113833,0.018152583,0.047539275
-0.0006624191,0.020870768,0.050838817
-0.0012833787,-0.005795327,0.04741335
-0.0015359996,-0.009547841,0.046773713
-0.0011396683,-0.001051075,0.047074478
-0.00025352955,0.01629629,0.045234703
-0.0010787082,-0.017843863,0.04587017
-0.001655178,0.005938355,0.04452483
-0.00036220523,0.012704429,0.042937607
-0.0015000637,-0.015954234,0.044057813
-0.0013021528,0.017757164,0.042915106
-0.0012378829,0.012038923,0.041041598
-0.0021238688,0.01354379,0.05662948
-0.0017952635,0.024328778,0.052345168
-0.00240745,0.025553944,0.050414033
-0.0016520332,0.021789119,0.048280995
-0.0023925046,-0.018855505,0.04744303
-0.0017567646,-0.020488504,0.045012083
-0.002243216,0.0024682283,0.04543862
-0.0025824064,-0.014709127,0.043681424
-0.0030067756,0.00077622547,0.046296768
-0.002836372,0.007065878,0.04004038
-0.0034039638,-0.003638833,0.05574149
-0.0033735498,0.026592743,0.052813098
-0.0055449572,-0.011427742,0.053822313
-0.0042930897,-0.01514877,0.05096138
-0.0044370065,-0.009494058,0.047562134
-0.0050855596,-0.0018300591,0.047678255
-0.0048892368,0.02266075,0.04419674
-0.004248337,-0.02266868,0.044110302
-0.0029235063,-0.021388803,0.042838197
-0.0031751068,-0.019661732,0.041695077
-0.004047745,-0.016997028,0.042232025
-0.004342517,0.0063772546,0.038874675
-0.004055568,0.014968968,0.038384136
-0.0066720024,0.0154591035,0.057808757
-0.0049491646,0.0054587265,0.058015727
-0.006390576,0.020349598,0.056475036
-0.0065135052,0.029365914,0.049091
-0.0069326432,-0.021877095,0.046632797
-0.0063595586,0.025914507,0.044665027
-0.004230199,-0.014019363,0.04578452
-0.0047389497,0.0037698494,0.042707063
-0.004592717,0.020450942,0.04283102
-0.004047519,-0.023511223,0.040915217
-0.0041617556,0.004894634,0.042205453
-0.0048497166,0.01729358,0.03864984
-0.0041492656,0.009818865,0.0392795
-0.005140639,0.014010878,0.037866376
-0.0077225273,0.026678441,0.055071995
-0.007218845,0.030429836,0.05067424
-0.005893247,-0.013706624,0.04647304
-0.0066709854,-0.017894417,0.045069437
-0.006061578,0.0030072962,0.043379303
-0.0050813304,-0.018654386,0.040833797
-0.005801339,-0.023548767,0.037870754
-0.0053974064,0.009579742,0.03961796
-0.0057287803,0.016310424,0.03818283
-0.008620257,-0.0019996099,0.05847146
-0.006131785,-0.004762718,0.05687411
-0.007320163,0.029403832,0.05301595
-0.009142647,-0.006896868,0.04772295
-0.009158392,-0.00016132256,0.04745985
-0.006913271,0.0018332559,0.04542237
-0.00787774,-0.017009836,0.04620911
-0.007585188,0.027049294,0.044423316
-0.0068192445,0.005841873,0.042587955
-0.0062785405,0.02046078,0.04367069
-0.0066802874,0.022652827,0.04439489
-0.006235507,-0.026309775,0.04066139
-0.0070344973,0.010941649,0.040750656
-0.006120807,-0.026332803,0.038129877
-0.006781169,-0.021760099,0.03912333
-0.006647945,0.014289961,0.03847008
-0.0076299068,0.0063318796,0.059088446
-0.007161214,-0.01609633,0.052179664
-0.0066968403,0.018713994,0.043519706
-0.009091936,-0.026131919,0.043423317
-0.007558509,0.014789276,0.04072924
-0.009775232,-0.010445562,0.056367036
-0.010489148,-0.01571133,0.05383404
-0.008631347,-0.0096097225,0.047087442
-0.007564825,0.01454018,0.049216446
-0.008383954,0.018545754,0.050512094
-0.0073603797,0.024690595,0.04512442
-0.008535116,0.009307175,0.045783862
-0.009541576,0.003869585,0.047531944
-0.008537206,0.026768826,0.044936214
-0.010532387,-0.022091853,0.042798724
-0.008586316,-0.028315958,0.037189078
-0.010039402,-0.022974292,0.0362263
-0.009054747,-0.026775971,0.034854118
-0.010037791,-0.025164977,0.034383096
-0.012218737,0.0064373096,0.061400577
-0.010534108,0.014744467,0.060117144
-0.011239615,-0.007046749,0.05810974
-0.011850193,0.020539578,0.05945796
-0.011009936,-0.021642506,0.05046159
-0.008703911,0.012446972,0.05141686
-0.009931263,0.0083676195,0.052027564
-0.009428433,0.025598494,0.04801072
-0.010766137,0.031251006,0.043225557
-0.011377743,-0.020110687,0.045518655
-0.009418655,0.029072627,0.043936424
-0.010988382,-0.028811164,0.04097485
-0.011780122,0.008710117,0.061549705
-0.011080831,0.025094599,0.05840074
-0.011857247,0.031523988,0.05580315
-0.010664897,0.013241287,0.05378598
-0.010381003,0.019979944,0.05220171
-0.011273309,0.022645345,0.051342692
-0.010959944,0.033709586,0.04709065
-0.010905618,-0.00962525,0.047893822
-0.011204747,5.092384e-05,0.04911652
-0.0117021585,0.030301476,0.043122128
-0.01192126,0.029314673,0.044411615
-0.011576511,-0.023388559,0.039360397
-0.009994325,-0.029555542,0.034338266
-0.010265623,-0.02724696,0.033171695
-0.012014064,0.0015645771,0.060443863
-0.012878616,-0.0035041603,0.060687874
-0.011569343,0.005184945,0.054516375
-0.011913794,0.00085004035,0.053797103
-0.012013256,0.034717582,0.0525912
-0.014255024,0.037708424,0.04728295
-0.01146658,-0.0071002683,0.04896894
-0.010769129,-0.0014324625,0.048124276
-0.011484605,-0.013023442,0.047025774
-0.011427223,-0.025618242,0.04645801
-0.01271564,-0.028905101,0.043919977
-0.0124178445,-0.02579629,0.03369347
-0.01270733,-0.030379118,0.03197298
