v1,v2,v3
0,1,2
3,4,1
3,1,0
4,3,5
6,0,2
3,0,7
0,6,7
8,5,3
9,3,7
8,3,9
10,8,9
11,4,5
12,5,8
10,13,8
2,1,14
4,15,1
2,16,17
6,2,17
18,12,8
8,13,18
11,15,4
1,15,14
16,2,14
7,6,19
12,20,5
7,21,9
7,19,21
10,9,22
23,6,17
19,6,23
5,20,11
9,21,22
13,24,18
25,26,14
15,25,14
16,26,27
14,26,16
27,17,16
20,15,11
19,23,28
21,19,28
12,29,30
20,12,30
10,31,13
23,17,27
32,15,20
18,29,12
24,29,18
10,22,31
24,13,31
33,25,32
34,26,25
35,36,27
35,27,26
15,32,25
36,23,27
21,28,37
22,21,37
33,34,25
38,33,32
20,30,32
39,28,23
40,41,29
42,40,29
24,42,29
33,43,34
33,38,43
35,44,36
38,32,45
39,23,44
44,23,36
30,45,32
28,39,46
41,47,30
41,40,48
29,41,30
37,28,46
22,49,31
50,40,51
51,40,42
31,42,24
34,52,26
35,26,52
48,47,41
50,48,40
50,51,53
54,38,45
54,55,38
38,55,43
43,55,34
44,35,52
47,56,30
30,56,45
39,57,46
58,22,37
58,49,22
31,49,42
52,34,55
52,55,59
60,45,56
61,60,56
45,60,54
62,61,56
44,52,63
64,62,56
44,63,57
64,48,65
64,56,48
47,48,56
57,39,44
66,65,48
66,48,50
53,66,50
42,53,51
59,55,54
60,59,54
62,67,61
61,67,60
63,52,59
57,58,37
57,37,46
49,68,69
49,58,68
53,70,66
69,42,49
71,53,42
69,71,42
64,67,62
60,67,59
57,63,72
65,73,64
73,65,66
70,53,71
74,67,64
67,72,59
57,75,58
70,73,66
76,67,74
67,76,72
63,59,72
64,77,74
73,77,64
75,57,72
77,78,74
70,78,73
69,79,80
68,79,69
68,58,75
80,71,69
74,79,76
76,79,81
76,81,72
78,79,74
81,75,72
77,73,78
81,79,75
78,70,80
78,80,79
79,68,75
70,71,80
