v1,v2,v3
0,1,2
1,0,3
3,4,5
1,3,5
2,1,6
6,1,7
7,1,5
5,8,7
9,10,3
3,10,4
4,8,5
7,11,6
0,12,3
12,9,3
13,4,10
13,8,4
8,14,7
14,15,7
2,16,0
12,0,16
13,14,8
15,11,7
12,17,9
9,17,18
9,18,10
13,10,18
18,19,13
20,14,13
21,17,22
21,18,17
23,22,12
22,17,12
19,24,13
6,16,2
6,25,16
21,26,18
19,18,26
24,19,26
13,24,27
28,15,14
29,26,21
30,24,26
16,23,12
20,13,31
6,11,32
25,6,32
33,34,29
35,34,36
33,29,37
26,34,35
29,34,26
26,35,38
26,38,30
22,37,29
21,22,29
24,30,39
23,37,22
24,39,27
31,13,27
31,14,20
11,15,40
28,14,31
33,41,42
33,42,34
43,41,44
37,41,33
41,45,44
45,41,37
39,30,38
23,45,37
46,45,23
47,27,39
16,46,23
27,48,31
25,46,16
11,40,32
35,49,38
50,51,43
50,43,44
52,39,38
53,39,52
31,48,54
40,28,31
15,28,40
42,55,56
43,55,41
42,41,55
57,58,51
59,57,51
45,60,44
45,61,60
47,39,53
46,61,45
47,48,27
62,54,48
46,25,63
25,32,63
64,58,65
42,56,66
42,66,67
43,64,55
42,67,34
34,67,68
58,64,51
51,64,43
36,34,68
68,35,36
49,35,68
69,70,58
69,58,57
38,71,52
49,71,38
69,57,59
44,60,50
50,60,72
53,52,73
73,47,53
46,74,61
63,75,46
54,40,31
55,76,56
77,76,55
77,55,64
65,77,64
78,67,66
70,65,58
79,49,68
71,49,79
69,80,70
50,59,51
60,81,72
61,81,60
74,81,61
82,48,47
47,73,82
74,75,81
75,74,46
83,40,54
84,85,86
76,66,56
78,68,67
70,87,65
69,88,80
89,88,69
52,71,73
89,69,59
50,72,59
90,59,72
82,62,48
75,91,81
75,63,91
92,40,83
92,63,32
32,40,92
93,94,84
86,93,84
66,76,95
78,66,95
77,65,96
97,96,87
78,79,68
87,96,65
78,98,79
99,87,70
80,99,70
71,98,100
101,99,102
88,99,80
102,99,88
71,100,73
90,89,59
100,82,73
103,90,72
92,104,105
83,54,62
63,106,91
63,105,106
92,83,104
105,63,92
84,107,85
94,108,84
77,109,76
76,109,95
96,110,77
95,98,78
111,87,99
98,71,79
102,112,101
88,113,102
89,90,88
113,88,90
81,103,72
82,114,62
115,112,113
113,112,102
104,83,114
114,83,62
103,81,91
106,116,91
107,84,108
85,107,117
118,85,117
94,119,108
94,93,119
118,86,85
77,110,109
97,110,96
95,120,98
87,121,97
121,87,111
122,111,101
99,101,111
123,122,101
124,100,98
123,101,125
124,82,100
125,101,112
124,114,82
126,125,115
115,125,112
90,103,113
126,115,127
128,113,103
91,129,103
127,115,113
128,127,113
130,128,103
130,103,129
131,106,105
128,132,127
91,133,129
116,133,91
107,128,130
108,128,107
133,117,129
132,128,119
119,128,108
130,117,107
117,130,129
93,86,134
135,120,109
120,95,109
97,136,110
136,97,121
120,124,98
114,124,137
137,104,114
138,127,132
119,93,139
117,140,118
134,139,93
134,86,118
141,109,110
110,136,142
142,141,110
135,109,141
143,136,121
135,141,144
135,145,120
122,121,111
120,145,124
145,137,124
125,146,123
125,126,146
104,137,131
146,126,138
131,105,104
147,116,106
131,147,106
127,138,126
147,133,116
148,138,132
148,132,149
132,119,149
139,149,119
149,139,150
134,118,140
134,151,139
143,152,136
153,144,141
121,122,154
121,154,143
135,144,145
123,154,122
155,154,123
155,123,146
151,140,156
151,134,140
151,150,139
142,136,152
142,153,141
143,157,152
152,158,142
154,157,143
159,137,145
159,145,160
131,137,159
131,159,161
146,138,155
161,147,131
155,138,162
133,147,163
117,133,163
138,148,162
140,117,163
151,164,165
151,156,164
165,166,151
166,149,150
166,150,151
158,153,142
167,153,158
167,144,153
152,157,168
167,158,169
145,167,160
144,167,145
152,168,169
152,169,158
170,154,155
170,157,154
157,170,168
168,171,169
162,172,155
165,172,162
162,166,165
140,163,156
162,148,149
162,149,166
173,167,169
167,173,160
174,171,168
169,175,173
170,172,168
168,172,174
175,161,173
173,161,160
161,159,160
170,155,172
172,165,164
172,164,174
163,147,161
169,171,175
171,176,175
171,174,176
175,176,161
174,164,176
164,156,176
176,163,161
176,156,163
