L,I,A
-0.011263028,0.01609628,0.03202206
-0.010017405,0.016416483,0.030089635
-0.011530716,0.015215619,0.030397207
-0.010569792,0.019906292,0.033476714
-0.011506367,0.021345735,0.031669956
-0.010120797,0.01909745,0.030126944
-0.011124515,0.015519529,0.02884214
-0.0111907,0.018249534,0.027148692
-0.0112637,0.019819506,0.028236317
-0.013028018,0.019924307,0.0342643
-0.012886986,0.021908278,0.03334839
-0.013679656,0.016440503,0.027336232
-0.014600026,0.01740613,0.03392288
-0.014036407,0.022705877,0.031300988
-0.014450358,0.019899389,0.026781717
-0.015099394,0.017454479,0.026740115
-0.017872278,0.015455681,0.031024043
-0.015271665,0.019521683,0.036828015
-0.014336771,0.024204604,0.03536103
-0.014766319,0.026807811,0.03580614
-0.016451886,0.021795543,0.030212598
-0.017201433,0.020551477,0.038387764
-0.017732915,0.018029554,0.037384324
-0.017915094,0.016495658,0.034885425
-0.01562864,0.027146138,0.03464779
-0.019461576,0.015422038,0.029285962
-0.01751295,0.026700033,0.03843101
-0.01867565,0.026661845,0.03287919
-0.019011859,0.018468147,0.027844105
-0.017942239,0.021933626,0.039898723
-0.018045383,0.028212378,0.03799105
-0.019260762,0.020240337,0.030020304
-0.021852842,0.01599924,0.028231427
-0.019232709,0.0184396,0.043568756
-0.018560117,0.022815559,0.043564986
-0.019148516,0.026059786,0.042324666
-0.019192755,0.024528487,0.043621078
-0.01889903,0.01655783,0.03808734
-0.019248458,0.0286981,0.041023742
-0.020070089,0.029464653,0.03670718
-0.022450777,0.017777288,0.027526427
-0.019156173,0.0129241515,0.04329281
-0.020030838,0.017194614,0.04516266
-0.020658072,0.009732639,0.04261927
-0.020516964,0.010962576,0.042087846
-0.019871902,0.014739832,0.03663041
-0.020583017,0.014243994,0.031054854
-0.021097664,0.02777399,0.03441986
-0.022387434,0.024508277,0.03253202
-0.022054555,0.02649907,0.04252236
-0.022958461,0.006406686,0.039037902
-0.020896254,0.007326414,0.04173201
-0.022203619,0.028849518,0.039590374
-0.021441765,0.029325888,0.037826065
-0.023091761,0.01980151,0.030604295
-0.02275759,0.01065629,0.049661007
-0.023078112,0.013268592,0.04999833
-0.021763517,0.0028468838,0.04229638
-0.021745848,0.0009511813,0.04410813
-0.023134375,0.0031878506,0.039344326
-0.02308487,0.011063297,0.040190097
-0.02319403,0.012047914,0.038187332
-0.024535613,0.023231087,0.03217523
-0.024404807,0.012465954,0.02885225
-0.022919292,0.007351698,0.048104096
-0.023628326,0.0035239982,0.04777497
-0.023548614,0.017498562,0.0492318
-0.023297234,0.019897245,0.047562636
-0.023888534,0.02397527,0.047340196
-0.022639273,-0.0013066053,0.039576218
-0.02275257,-0.0018617357,0.043002926
-0.025147334,0.025660813,0.041889865
-0.023967847,0.008171164,0.03671081
-0.024079215,0.027047627,0.037731532
-0.023116441,0.011742481,0.032899223
-0.023812616,0.0118360575,0.029584624
-0.024633436,0.010924963,0.050753154
-0.025080519,0.0070358384,0.04916154
-0.025180291,0.020193398,0.047337186
-0.02505949,0.024303835,0.045482494
-0.024727883,-0.004033569,0.04104689
-0.023957388,0.010089657,0.034973986
-0.026560323,0.022921482,0.035778347
-0.024816824,0.018941026,0.0313045
-0.022565352,0.0041719126,0.02565415
-0.02385289,0.0060780253,0.026567342
-0.026967617,0.005489972,0.023867954
-0.026425108,-0.0042819604,0.044784535
-0.025147364,-0.0034893495,0.038134113
-0.025163934,-0.0021229188,0.037469674
-0.026445607,0.0032029985,0.036126345
-0.02591239,0.011018257,0.03038273
-0.024383932,0.016840704,0.02930247
-0.02698701,0.0036808029,0.023618044
-0.025706992,0.0031674253,0.025308399
-0.026211355,0.016090257,0.04873787
-0.026711931,0.0016626822,0.048008215
-0.026891928,-0.0013196019,0.04585183
-0.02685496,0.020297904,0.044809535
-0.02601836,-0.006123435,0.04136199
-0.025937624,0.023809373,0.037854042
-0.026898814,-0.009206391,0.039262537
-0.025513042,-0.006888431,0.03759042
-0.027305672,0.006984318,0.033687312
-0.026795574,0.016860282,0.03357279
-0.026177177,0.014968383,0.030456437
-0.028697234,0.013009225,0.031299844
-0.026535941,0.004816993,0.028053485
-0.02661569,0.0023665105,0.026836958
-0.027364941,0.010642756,0.048621476
-0.028023958,0.0038951198,0.047984373
-0.027298927,-0.0060551576,0.042048883
-0.026223928,-0.00879601,0.036827244
-0.026487133,-0.007902095,0.03160299
-0.027705513,0.020735413,0.035463706
-0.027071368,-0.011255913,0.03298106
-0.02743159,0.011379053,0.030216888
-0.028410627,0.006820319,0.027725289
-0.0277365,0.0063129114,0.024921084
-0.026996503,0.0007722052,0.025637139
-0.02912158,0.01711695,0.04458716
-0.027977666,-0.004016065,0.04241223
-0.029079288,-0.008876522,0.03988758
-0.028542824,-0.011902856,0.03726602
-0.029088184,0.019542845,0.03992642
-0.028241837,-0.013476715,0.036229204
-0.028420895,-0.013341593,0.03289838
-0.02774424,-0.010792274,0.029729867
-0.027113862,-0.0027720898,0.029045852
-0.02751662,0.008116255,0.029851394
-0.027338037,0.005685146,0.028916333
-0.030514624,0.014694078,0.031595536
-0.028202787,-0.0056399186,0.028067525
-0.028303035,0.009791806,0.029075135
-0.029001556,0.003758272,0.022931905
-0.029085131,0.012293416,0.044527885
-0.029262297,0.0015494449,0.043878444
-0.029611964,0.017039834,0.03569519
-0.030551448,-0.009972031,0.027965076
-0.028617544,0.00040744108,0.024817236
-0.030164788,0.005610125,0.027159609
-0.029627522,0.009639283,0.045371477
-0.030080935,0.005572493,0.043306824
-0.029529128,-0.0027289677,0.040564775
-0.03072969,0.0134737175,0.040239252
-0.030376459,0.016618848,0.03744339
-0.03008874,-0.011273209,0.033771794
-0.030723982,0.012634262,0.03069539
-0.030457191,-0.007172948,0.027601544
-0.031283233,-0.0044337674,0.024740832
-0.029873364,-0.000110653615,0.024854876
-0.030467326,0.002488254,0.025048506
-0.03196241,0.0012366166,0.040969674
-0.031660583,0.010264367,0.043470666
-0.03143237,-0.0072095785,0.038362354
-0.032945618,-0.0076569403,0.034184977
-0.033094995,0.0045030955,0.028017329
-0.031439334,-0.0016274208,0.03762817
-0.032201815,0.00608561,0.040154137
-0.03222435,0.01451528,0.033607587
-0.032970477,0.014029097,0.036740456
-0.03302749,0.012004504,0.031614944
-0.031948224,-0.0070827254,0.02892539
-0.03304167,0.009281957,0.028958846
-0.033701144,0.0036283615,0.028947752
-0.03247383,0.00011135161,0.026999258
-0.031951733,-0.002217163,0.025460845
-0.032739222,0.010214337,0.041001007
-0.032369938,0.00066094456,0.03601867
-0.032942258,0.0071188887,0.036399364
-0.033516157,-0.0045465794,0.034096748
-0.033382967,0.004412897,0.033267803
-0.034096543,-0.0002974457,0.031917077
-0.03370339,0.010510387,0.03491129
-0.033894084,0.0029875096,0.031419653
-0.035159733,0.008958865,0.033710036
-0.03492849,0.008391388,0.030819232
