v1,v2,v3
0,1,2
3,2,4
4,5,6
0,2,3
4,6,3
7,0,3
8,0,7
4,9,5
2,1,4
10,1,0
8,10,0
11,10,8
12,3,6
12,6,13
14,11,8
15,12,13
8,7,14
12,7,3
14,16,11
17,16,14
18,7,12
7,19,14
20,12,15
19,7,18
18,12,20
18,20,21
9,22,23
23,5,9
1,24,9
1,9,4
1,10,25
5,26,6
13,6,27
28,15,13
19,17,14
16,29,30
29,16,17
31,17,19
29,17,31
19,32,31
32,19,18
32,18,21
22,9,24
5,23,26
24,1,25
6,26,27
10,11,33
34,33,11
16,34,11
35,36,20
20,15,35
37,21,20
37,20,36
32,38,31
39,22,24
24,25,40
25,10,41
26,42,27
43,27,42
43,13,27
28,13,43
44,15,28
15,44,35
34,16,45
30,45,16
21,37,32
46,45,30
46,30,29
38,47,29
38,29,31
39,24,40
23,22,48
41,10,33
28,43,49
50,33,34
44,36,35
37,51,32
52,26,23
25,53,40
52,42,26
25,41,54
49,44,28
33,50,41
44,55,56
56,36,44
34,45,50
37,36,56
57,50,45
32,51,58
59,38,32
58,59,32
29,47,46
40,60,39
39,61,22
60,40,53
52,23,48
53,25,54
62,43,42
49,63,55
55,44,49
64,50,57
64,57,65
45,66,57
65,57,67
67,57,66
59,47,38
66,68,67
69,39,60
69,61,39
48,22,61
41,70,54
50,70,41
70,50,64
71,55,63
71,56,55
56,71,72
72,37,56
73,58,51
72,51,37
45,74,66
75,46,47
61,76,48
53,77,60
52,78,62
62,42,52
78,43,62
78,49,43
49,78,79
63,49,79
80,73,51
51,72,80
65,81,64
73,59,58
46,74,45
74,68,66
74,46,75
47,82,75
75,83,74
77,53,54
76,84,48
48,84,52
85,54,70
79,71,63
86,70,64
87,86,64
88,72,71
87,64,89
81,89,64
73,90,59
90,47,59
91,81,65
65,67,91
92,68,74
91,67,92
92,67,68
77,93,60
93,69,60
84,78,52
86,85,70
88,71,79
80,72,88
94,89,81
90,82,47
83,92,74
95,93,77
96,77,54
96,54,85
97,78,84
79,78,97
98,99,88
98,100,99
99,80,88
94,87,89
101,90,73
73,80,101
102,75,82
103,61,69
104,61,103
104,76,61
96,95,77
104,84,76
104,105,84
84,105,97
86,106,85
97,105,79
98,88,105
105,88,79
107,87,94
80,99,108
101,109,90
101,80,108
109,82,90
109,110,82
83,111,92
102,83,75
112,91,92
113,112,92
93,95,114
103,115,116
116,104,103
104,116,105
98,105,116
86,117,106
116,100,98
87,117,86
100,118,99
118,108,99
94,81,119
91,120,81
111,83,102
102,82,110
112,120,91
69,121,103
114,121,93
69,93,121
122,96,85
121,115,103
94,123,124
109,101,108
81,120,119
125,113,92
125,92,111
102,110,126
85,106,122
127,128,129
127,130,128
130,116,115
106,117,131
132,116,130
132,100,116
87,107,117
100,132,118
118,132,108
94,124,107
110,109,133
108,133,109
123,94,119
133,126,110
111,134,135
102,134,111
102,126,134
96,136,95
136,137,95
137,114,95
129,121,114
128,121,129
136,96,122
137,138,114
129,114,138
128,115,121
138,127,129
115,128,130
106,131,122
132,127,138
132,138,139
132,130,127
139,140,132
140,108,132
124,141,107
133,108,140
142,126,133
135,125,111
143,113,125
113,143,112
138,137,144
131,136,122
117,107,131
142,133,140
142,145,126
126,145,134
135,146,125
112,143,120
144,137,136
144,136,147
147,136,131
144,148,138
139,138,148
149,139,148
107,150,131
149,140,139
142,140,149
135,134,151
151,134,145
152,119,120
143,125,146
120,143,152
144,147,153
147,131,154
144,153,149
144,149,148
153,147,154
131,150,154
150,155,154
154,156,153
153,156,157
153,157,149
158,154,155
154,158,156
107,159,150
156,158,157
157,142,149
157,160,142
158,160,157
107,141,159
158,151,160
160,145,142
141,124,161
160,151,145
124,123,161
123,162,161
146,135,163
119,162,123
152,164,119
165,158,155
158,165,151
141,161,159
165,135,151
166,135,165
162,167,161
163,135,166
119,164,162
168,143,146
163,168,146
152,168,164
152,143,168
150,165,155
165,150,159
161,166,159
159,166,165
167,166,161
166,167,163
164,167,162
167,164,168
168,163,167
