L,I,A
-0.00095206813,-0.00796053,0.03892036
-0.0033304952,-0.007660367,0.042887587
-0.0014015319,-0.0037814374,0.03964155
-0.0015325014,0.00034636355,0.03823279
-0.001506696,-0.00022050642,0.041608393
-0.0027750577,0.0004336942,0.04376311
-0.0025822762,0.003210378,0.03967678
-0.0013950929,-0.007111338,0.034982257
-0.0015401351,-0.011251379,0.036058303
-0.0031516445,-0.0030884608,0.045202684
-0.00328512,-0.014379519,0.039715394
-0.0030012075,-0.0147060305,0.03696102
-0.0022860353,0.0050271978,0.034442443
-0.0027914727,0.006840091,0.03632431
-0.0024148657,-0.012521211,0.033973273
-0.0033176213,0.006436275,0.033240255
-0.0029624766,-0.015592071,0.029834494
-0.0026110895,-0.013863055,0.029777829
-0.0025284507,-0.0038644462,0.0296089
-0.0034797257,-0.0077150953,0.029180378
-0.0034409708,0.0017929295,0.030165387
-0.003217781,-0.0022679684,0.02906523
-0.004860807,-0.002851475,0.0466577
-0.0050887973,-0.0003139581,0.04586767
-0.004442324,-0.007291225,0.04556472
-0.005591959,-0.012475626,0.043319307
-0.005874188,0.002998972,0.043463234
-0.004158449,0.0066061723,0.03889506
-0.004927383,0.0074858065,0.034725983
-0.0037663598,-0.012522553,0.026874986
-0.004049394,-0.015111568,0.02763312
-0.0041931574,-0.008309398,0.02749185
-0.004233017,-0.0052541904,0.028808132
-0.006341849,-0.018304517,0.03602255
-0.0057364674,-0.017655533,0.03155512
-0.004789227,0.005555419,0.031794634
-0.005455136,0.002883645,0.029951936
-0.0068278145,0.0018848621,0.02936354
-0.005555786,-0.008421548,0.026786387
-0.007385885,-0.007893789,0.04673298
-0.007569168,-0.011917957,0.04577255
-0.007787643,-0.018549195,0.038397443
-0.0075933547,0.006510236,0.04254223
-0.008403442,0.007333068,0.04101725
-0.0071574813,0.0070877066,0.032586113
-0.0069942367,-0.017312728,0.02881296
-0.008564219,-0.014763286,0.025676088
-0.007462342,-0.01223566,0.025929863
-0.010151063,-0.0001962482,0.047052138
-0.008539964,0.0069321403,0.03748632
-0.0076150917,-0.021508425,0.031629987
-0.009642528,-0.00015921044,0.029939556
-0.009638248,0.0037680545,0.04417502
-0.010072321,-0.01567963,0.04516142
-0.01070931,-0.016783325,0.044320248
-0.008329486,0.006340491,0.03310448
-0.008505092,0.0036220534,0.03167486
-0.0075219544,-0.021318166,0.028970204
-0.00810832,-0.0044540307,0.029276509
-0.00968539,-0.0067030303,0.027711403
-0.010572337,-0.012117652,0.04729598
-0.012455049,-0.005725085,0.04777189
-0.009759274,0.0060572387,0.042613797
-0.0097882375,0.0054739853,0.037127174
-0.009617241,-0.024292028,0.02971173
-0.009193765,-0.02331542,0.026589066
-0.008359618,-0.018182185,0.027046192
-0.009439522,-0.020749396,0.024682816
-0.009709186,-0.019083897,0.024516696
-0.012446392,-0.008682481,0.048345834
-0.010149571,-0.020371424,0.037734196
-0.010112159,0.0032562888,0.03573181
-0.010008499,0.0016287988,0.031252403
-0.0105158165,-0.0029385302,0.029353645
-0.010708215,-0.017382735,0.025068082
-0.012124887,-0.01512438,0.024056016
-0.012860093,-0.0016290443,0.047148213
-0.012038715,-0.01473128,0.046901695
-0.011257941,0.005485873,0.04165098
-0.013925276,0.0029433966,0.039394367
-0.0126542235,-0.0026870181,0.029749053
-0.012909125,-0.025404982,0.025837475
-0.0132802185,-0.011349527,0.024541792
-0.013099111,-0.01759901,0.024220696
-0.013739413,0.00061438215,0.04550183
-0.015458795,-0.018846245,0.043535583
-0.013554921,-0.023322063,0.03742435
-0.012666885,-0.02402498,0.033304505
-0.013984228,0.0013650018,0.0366208
-0.011456148,-0.025316365,0.029810835
-0.013681086,-0.008491191,0.026264424
-0.012708933,-0.023167793,0.023060936
-0.012557115,-0.019876178,0.023019591
-0.013332167,-0.012021621,0.047308955
-0.01509596,-0.026258996,0.028231328
-0.017179502,-0.015919661,0.045966506
-0.016605351,-0.017233716,0.045724563
-0.014402443,0.0022716608,0.042192653
-0.015449521,-0.0025532646,0.03775267
-0.013097059,-0.0027375915,0.03039411
-0.015409022,-0.0032464517,0.035331536
-0.015296677,-0.00572255,0.027214821
-0.016054548,-0.013193104,0.024282577
-0.014909911,-0.005687125,0.04625086
-0.013911774,-0.0037008103,0.04612277
-0.015321099,-0.00044371205,0.0394957
-0.016072242,-0.02183269,0.040892396
-0.020550957,-0.024080621,0.0326434
-0.017197073,-0.005256859,0.028157335
-0.01584223,-0.0076661473,0.026960813
-0.015975067,-0.009229486,0.026005989
-0.016305441,-0.017388899,0.024802346
-0.016275393,-0.021943355,0.021993818
-0.015883721,-0.020370936,0.022686673
-0.016334431,-0.012250247,0.04530773
-0.017968094,-0.0048005613,0.0423266
-0.015755478,-0.0028704545,0.040510736
-0.017666686,-0.023605086,0.038431495
-0.016565215,-0.0041189883,0.030983396
-0.020690482,-0.02601819,0.024064852
-0.018678099,-0.024673987,0.023165412
-0.017927213,-0.0067297183,0.04570202
-0.017610528,-0.020263186,0.041947387
-0.0201839,-0.02665256,0.026771449
-0.020114651,-0.026235042,0.029032381
-0.017808724,-0.018822022,0.024375472
-0.018023653,-0.01233198,0.025535211
-0.017726945,-0.0076211216,0.039906006
-0.018366978,-0.0066766334,0.043557227
-0.017952332,-0.010040938,0.042686995
-0.017838292,-0.004643441,0.038013548
-0.020302957,-0.022859737,0.038844828
-0.018085215,-0.0049137254,0.03527829
-0.017626321,-0.008163616,0.029715842
-0.019559678,-0.016658163,0.026362544
-0.020562492,-0.018018998,0.026510762
-0.018806582,-0.017246248,0.04281632
-0.0187722,-0.015196555,0.043014042
-0.018822491,-0.010330592,0.04094701
-0.019213594,-0.0077509894,0.036469862
-0.018714512,-0.007738004,0.032398347
-0.020820728,-0.024897464,0.03086265
-0.020929186,-0.009677033,0.030361237
-0.020869298,-0.020265061,0.01957914
-0.020886527,-0.013926659,0.041131217
-0.0206855,-0.012421331,0.027634678
-0.020922909,-0.018650994,0.024719775
-0.02227025,-0.017901333,0.0403228
-0.02088657,-0.010374821,0.039405856
-0.021557678,-0.010385074,0.038086805
-0.021815063,-0.022681652,0.036096435
-0.02121271,-0.017510874,0.029145245
-0.02168353,-0.02265344,0.021514235
-0.021828786,-0.014924089,0.039052133
-0.021430066,-0.02050879,0.037982773
-0.0217743,-0.02041102,0.036097143
-0.020940917,-0.015950577,0.034743425
-0.02149017,-0.011363854,0.03389068
-0.021368701,-0.01709953,0.03215143
-0.022999708,-0.023100369,0.03230454
-0.021667471,-0.012013554,0.030163094
-0.022441607,-0.024411928,0.028770862
-0.022064993,-0.025682319,0.024730723
-0.023144081,-0.019873207,0.023780562
-0.022786884,-0.023713565,0.023045715
-0.023372944,-0.020829393,0.033481576
-0.023343725,-0.021539345,0.028741192
-0.02372582,-0.02249324,0.02490672
-0.022735449,-0.020540698,0.020811634
