v1,v2,v3
0,1,2
3,1,0
4,0,2
0,5,3
4,5,0
6,7,8
6,9,7
1,10,6
9,11,12
2,1,6
2,6,8
9,12,13
14,1,3
15,4,2
5,4,16
11,17,18
19,18,20
19,11,18
20,21,19
9,6,11
12,11,19
1,14,10
12,19,22
22,19,23
24,7,9
25,13,12
12,22,26
9,13,24
15,2,8
5,27,3
20,18,28
18,17,29
17,11,30
30,6,10
6,30,11
14,31,10
21,23,19
23,21,32
33,34,14
14,34,31
26,25,12
3,35,14
36,15,8
27,35,3
37,27,5
15,16,4
29,28,18
38,29,17
30,38,17
21,20,39
14,40,33
14,35,40
24,8,7
24,36,8
25,41,13
42,26,22
13,41,24
22,23,42
15,36,24
43,15,24
16,37,5
44,15,43
16,15,44
45,28,29
38,45,29
28,39,20
46,21,39
47,30,10
10,31,47
34,48,31
32,21,49
42,23,32
50,51,35
35,27,50
24,41,43
16,52,37
44,53,16
38,54,45
48,55,31
55,47,31
40,56,33
33,56,34
49,21,46
35,57,40
58,25,26
58,26,42
35,51,57
42,32,59
43,41,60
50,27,61
53,52,16
43,62,44
45,39,28
45,54,63
39,45,63
38,64,54
63,65,39
63,66,65
38,30,47
63,54,67
66,63,67
65,46,39
40,57,68
56,40,68
56,48,34
58,69,25
69,70,41
69,41,25
49,59,32
51,50,71
61,27,37
60,72,43
53,44,62
47,73,38
38,73,64
64,67,54
64,74,67
65,75,46
75,49,46
64,76,74
43,72,62
55,73,47
77,56,68
64,73,76
78,75,65
48,56,79
77,79,56
42,80,58
70,60,41
71,50,81
37,52,61
60,82,72
55,83,73
78,65,66
79,84,48
84,55,48
83,76,73
83,85,76
76,86,74
80,69,58
57,51,87
85,88,76
70,69,89
42,59,80
71,90,51
82,60,70
91,50,61
91,81,50
61,52,92
52,93,92
53,93,52
66,67,78
67,74,78
86,89,74
69,80,89
75,94,49
86,76,88
59,95,80
49,94,59
51,90,87
96,82,70
71,97,90
97,71,81
98,91,61
61,92,98
82,99,72
62,72,100
100,53,62
101,74,89
101,78,74
87,102,68
87,68,57
103,101,86
101,89,86
80,95,89
77,68,102
104,95,59
94,104,59
89,96,70
99,100,72
93,53,100
75,78,105
83,55,84
105,94,75
77,106,79
106,84,79
107,85,83
108,96,89
95,108,89
109,97,81
81,91,109
110,83,84
105,78,111
103,111,101
78,101,111
94,105,104
106,77,102
83,110,107
103,88,112
86,88,103
107,113,85
113,88,85
82,96,114
115,116,107
107,92,117
118,109,91
118,116,115
107,116,92
99,82,114
116,91,98
118,91,116
92,116,98
93,119,92
120,102,87
113,112,88
108,95,121
121,95,104
113,107,117
115,107,110
92,119,117
122,100,99
103,123,111
123,121,111
111,104,105
84,106,110
121,104,111
124,87,90
110,125,115
126,113,117
108,114,96
124,90,127
97,127,90
127,97,109
115,128,118
118,128,109
119,126,117
119,129,126
130,122,99
119,93,100
131,106,102
103,112,123
121,132,108
128,115,125
128,125,133
134,128,133
135,128,134
135,109,128
136,130,99
136,99,114
122,119,100
123,132,121
102,120,131
137,106,131
110,106,125
87,124,120
138,112,113
139,114,108
140,113,126
133,126,134
109,141,127
135,141,109
129,134,126
135,134,129
135,129,122
122,129,119
106,142,125
137,142,106
143,138,113
139,108,132
125,142,133
140,143,113
114,139,136
127,144,124
145,140,126
141,146,127
126,133,145
135,147,141
136,148,130
122,148,147
147,135,122
148,122,130
112,139,123
123,139,132
131,120,124
131,149,137
144,127,146
147,133,140
145,133,147
140,145,150
145,148,150
145,147,148
150,143,140
139,148,136
141,147,140
151,146,141
138,152,112
139,112,152
124,149,131
149,153,137
142,137,154
155,133,142
154,155,142
143,150,155
148,139,156
144,149,124
140,133,155
140,157,150
155,157,140
157,150,148
150,157,155
144,146,149
157,141,140
158,146,151
153,154,137
143,152,138
152,156,139
148,156,157
141,157,151
159,151,157
143,160,161
155,160,143
146,153,149
160,157,156
153,146,162
159,157,160
162,146,158
161,152,143
154,163,155
163,160,155
156,161,160
151,159,158
164,154,153
153,162,164
164,163,154
164,165,163
163,159,160
164,162,165
163,165,159
162,158,165
165,158,159
156,152,161
