L,I,A
0.00091970357,-0.0076157497,0.019447582
0.00071607425,-0.013619351,0.022486519
0.00067507924,-0.0048964825,0.022475189
0.00017665116,-0.014044679,0.020814287
-0.00013232102,-0.006507506,0.016884431
-0.00033984013,-0.009761466,0.019044083
-0.0012822632,-0.0029818248,0.027256064
-0.000890215,-0.00053320325,0.025388593
-0.00092765974,-0.0028976195,0.024967404
0.0006167683,0.0036034256,0.024354598
-0.0021762482,-0.0061376486,0.027822746
-0.0018147291,0.0030099058,0.029077157
-0.00022898198,0.008568188,0.023959251
-0.0015976926,0.0043071513,0.022037255
-0.0017799084,-0.0138353575,0.025174195
-0.0027501734,-0.0034621009,0.017662922
-0.0010782781,-0.007260356,0.015778001
-0.0024562993,0.005583027,0.032418497
-0.0009153532,0.010725335,0.03280636
-0.0012782548,0.011533866,0.026357697
-0.0018757819,0.012965297,0.031906154
-0.003003118,0.013675423,0.027894868
-0.0012470639,0.011033056,0.022675581
-0.0012755467,0.013036104,0.023292696
-0.004004883,0.0013077788,0.022206973
-0.0034286694,0.0070086904,0.02407593
-0.002645595,0.009064697,0.023525871
-0.0036625236,-0.013241217,0.019501507
-0.0052557606,0.010842237,0.03372433
-0.003149606,0.0068133627,0.03325803
-0.003344808,4.4738634e-05,0.029058674
-0.0028030593,-0.00932478,0.026844338
-0.0033703882,0.014552039,0.024464058
-0.0031958173,-0.015259686,0.027506493
-0.0033406196,-0.012962103,0.026853142
-0.003224365,-0.014818077,0.021048324
-0.0026900785,-0.001969925,0.022140436
-0.0059650233,-0.010127939,0.018796753
-0.0057965443,0.00086018915,0.029586073
-0.006169376,0.01290041,0.03216006
-0.004717213,-0.016252577,0.026709817
-0.005486376,0.0031966027,0.022395382
-0.0056841094,0.012659504,0.023370462
-0.004051646,0.0013830516,0.016465215
-0.004330195,-0.0025503011,0.015641332
-0.0046390085,0.0074802544,0.032746352
-0.0054292176,0.013174368,0.027372096
-0.007004798,-0.0039863577,0.029683989
-0.0071888724,-0.010124352,0.026452884
-0.00694788,0.015246053,0.024402821
-0.006085099,-0.015550266,0.017752517
-0.006135056,-0.018238133,0.021782028
-0.0070514614,-0.008166768,0.015889598
-0.006285453,-0.006560429,0.013815753
-0.0068891235,0.0049081123,0.030988606
-0.009129528,-0.0060484796,0.028242756
-0.0067105247,-0.013817591,0.026162863
-0.0067563034,-0.018648406,0.025822567
-0.0068793087,0.009168117,0.025677642
-0.009070577,0.013189736,0.023051208
-0.0071436036,0.0032763921,0.017430523
-0.008907472,-0.0100033805,0.017005594
-0.008818044,-0.0037705302,0.013138044
-0.00587048,0.0077767246,0.031172028
-0.00686961,0.002284772,0.028838376
-0.0067306575,0.0110753095,0.028030086
-0.0066944775,0.009216946,0.02804867
-0.007533842,0.006648647,0.027401756
-0.008586782,-0.016880037,0.027362673
-0.009479855,0.005861779,0.025243904
-0.009106511,0.004113152,0.022869151
-0.008494356,-0.016387185,0.017015448
-0.008024184,0.0018477708,0.014597354
-0.008879815,-0.0011424635,0.02908996
-0.0082339635,0.004497357,0.026081128
-0.011032131,0.011867655,0.026859883
-0.009235765,0.00069160823,0.024806008
-0.011548471,-0.015598764,0.023974696
-0.012222978,0.009964759,0.028189268
-0.009067252,-0.013164505,0.024666732
-0.0094774235,0.008632916,0.025489992
-0.009661365,-0.014747658,0.016996223
-0.010895223,0.0028285258,0.016781453
-0.009737529,-0.0046489323,0.027782837
-0.013741737,-0.009416704,0.02610759
-0.010056966,-0.0032246006,0.024239315
-0.010232964,0.0029753111,0.025256522
-0.01280164,-0.018550213,0.023777466
-0.010676771,-0.00058020937,0.023485573
-0.010627499,0.00469662,0.02511856
-0.012693504,-0.018113859,0.022268824
-0.012666235,-0.011293996,0.015988257
-0.013908137,-0.007862896,0.01562534
-0.013263374,-0.006940604,0.01263833
-0.011975445,0.012054673,0.024512336
-0.01316267,0.0069618723,0.024177369
-0.013003335,0.003743003,0.022622352
-0.012397255,-0.01685784,0.020766087
-0.011878026,-0.009337189,0.01618743
-0.013247455,0.001141028,0.014541802
-0.013202931,-0.005114842,0.011419106
-0.01222115,0.004326782,0.025814792
-0.01341784,-0.017740874,0.024279157
-0.014799191,0.0021022668,0.02575209
-0.014262702,0.008386767,0.024057997
-0.015274241,0.010406297,0.027335938
-0.015952311,-0.0136945695,0.024185115
-0.014039759,-0.006514719,0.022740642
-0.014353176,0.0044063963,0.023727214
-0.015847037,-0.0127631435,0.019778794
-0.016340882,-0.009950237,0.024912177
-0.015035553,0.0072271507,0.02574109
-0.017992007,-0.0013420029,0.023996742
-0.015408178,-0.0046068504,0.022794029
-0.015654715,0.0010551328,0.021382242
-0.013878225,-0.010505758,0.020653274
-0.01306105,-0.008998622,0.017506823
-0.014343407,-0.006137806,0.021684607
-0.014043216,-0.012021217,0.018266937
-0.015828468,-0.0075907838,0.01500089
-0.017680325,-0.01928005,0.02487771
-0.018230835,0.0058246064,0.025011867
-0.017808644,-0.0054013855,0.017126385
-0.017078757,0.002846304,0.025635805
-0.020815881,-0.019699834,0.021493834
-0.017625436,-0.010991269,0.0232718
-0.01616489,-0.0061653894,0.020651083
-0.017063335,-0.017085962,0.020987129
-0.015728805,-0.011177462,0.019765208
-0.016865572,-0.006841665,0.017583407
-0.017192116,-0.0028784312,0.01751746
-0.019392394,-0.01725544,0.025831807
-0.017782725,0.0040460946,0.024839744
-0.018697297,-0.0082805585,0.020818803
-0.017414581,-0.008065613,0.019201705
-0.017029244,-0.009971424,0.01832438
-0.017473832,-0.0011276837,0.021218505
-0.019970223,-0.013844004,0.023703195
-0.020668026,-0.0030764937,0.02437068
-0.020291302,0.0012507556,0.02334246
