v1,v2,v3
0,1,2
3,0,2
0,3,4
0,4,5
5,4,6
7,8,9
5,10,0
11,9,8
12,8,7
7,10,12
5,12,10
8,12,13
14,11,8
13,12,5
6,15,5
13,5,15
11,14,16
17,18,19
20,18,21
18,22,21
1,23,2
24,3,25
4,3,26
27,28,29
4,26,6
30,31,27
9,32,7
27,31,28
6,26,33
8,34,14
8,13,34
6,33,15
13,15,35
28,31,36
37,16,14
38,39,40
16,37,41
41,37,42
38,43,37
43,38,40
37,44,42
42,44,45
42,45,46
44,43,45
47,45,43
48,49,50
50,49,51
51,49,52
48,17,49
48,53,54
48,54,17
55,51,52
49,17,19
19,52,49
52,20,55
52,19,20
18,17,54
19,18,20
18,56,22
57,58,59
57,59,60
20,21,61
60,62,57
57,62,63
64,61,21
65,61,64
21,22,66
64,21,65
21,66,65
23,1,67
25,68,24
1,0,69
3,24,26
70,30,27
10,69,0
24,68,71
72,69,10
9,11,30
72,10,7
29,28,73
28,74,73
75,31,30
33,71,15
15,71,39
76,39,71
28,36,74
77,31,75
11,16,75
15,39,38
15,38,35
16,77,75
14,34,78
31,77,36
77,16,41
14,78,37
38,37,35
39,76,40
79,40,76
41,42,77
43,40,80
44,37,81
37,43,81
43,80,47
82,42,46
81,43,44
83,47,80
45,47,84
46,45,85
86,48,50
48,86,87
88,50,51
55,89,51
55,20,90
56,91,22
59,92,60
57,63,93
60,92,94
20,61,95
96,22,91
97,60,94
22,96,98
62,99,63
60,97,62
22,98,66
100,25,101
25,100,68
67,98,23
23,99,2
2,99,3
66,102,65
67,1,102
67,102,66
27,103,70
69,102,1
24,71,26
68,104,71
68,100,104
72,7,32
26,71,33
30,11,75
34,13,105
13,35,105
76,71,104
36,106,74
36,107,106
36,77,107
40,79,80
107,77,82
107,82,108
77,42,82
80,109,83
46,110,82
46,85,110
84,85,45
87,86,111
86,50,112
48,87,53
51,89,88
113,88,89
114,88,113
113,115,114
116,55,90
116,89,55
18,54,56
117,59,58
118,59,117
95,90,20
118,119,59
120,58,57
119,92,59
57,93,120
95,61,121
61,122,121
122,61,123
124,123,61
62,25,99
62,97,25
97,101,25
99,23,98
99,25,3
102,124,65
98,67,66
125,103,27
125,27,29
126,70,103
102,69,127
100,128,104
9,127,32
9,30,127
72,32,129
30,70,130
76,104,128
131,73,74
74,132,131
34,105,78
74,106,132
80,79,133
83,84,47
84,83,134
111,86,135
112,135,86
136,87,111
50,88,137
87,138,53
136,139,87
87,139,138
140,138,139
141,54,53
138,140,118
117,138,118
113,89,116
140,119,118
54,142,56
58,143,117
95,121,90
92,119,144
97,94,145
93,96,91
93,63,146
63,99,146
145,101,97
96,93,98
61,65,124
100,101,147
148,149,125
70,126,150
129,127,69
128,100,147
125,29,148
151,148,29
72,129,69
29,73,151
70,150,130
152,153,128
73,154,151
154,73,131
128,153,76
79,153,155
153,79,76
156,157,132
78,105,35
106,156,132
78,35,37
106,107,156
158,156,107
107,108,158
159,160,161
108,82,162
110,162,82
83,109,160
163,160,159
83,160,134
160,163,134
84,134,85
134,163,164
85,134,165
136,111,166
112,50,137
137,88,114
53,138,143
53,143,141
139,167,140
117,143,138
141,142,54
168,140,167
140,168,119
90,169,116
116,170,113
142,91,56
143,58,142
113,170,171
113,171,115
119,168,172
58,120,142
92,144,94
173,119,172
169,90,121
169,121,174
144,119,173
122,175,121
125,176,177
125,149,176
177,103,125
98,146,99
178,179,147
178,147,101
103,180,126
102,181,124
147,179,152
182,150,126
183,152,179
128,147,152
154,148,151
150,181,130
30,130,127
130,181,127
32,127,129
184,152,185
152,184,153
184,155,153
131,186,154
131,132,186
157,156,187
188,157,187
189,133,190
133,79,190
161,133,189
156,158,187
187,158,191
80,161,109
80,133,161
162,158,108
158,162,191
109,161,160
162,110,192
110,85,192
164,163,193
111,194,166
195,136,166
196,197,198
199,136,195
136,199,139
197,200,198
201,167,139
114,115,202
115,203,202
115,171,203
204,143,142
91,142,120
94,144,205
93,91,120
144,173,206
175,174,121
122,123,175
145,178,101
123,124,207
208,209,210
177,211,103
209,208,212
124,181,182
149,148,213
102,127,181
212,208,214
126,180,182
181,150,182
213,148,154
215,132,157
190,79,155
189,216,161
187,217,188
187,191,217
218,217,191
191,162,218
162,192,218
218,192,219
220,163,159
192,85,221
85,165,221
222,223,224
222,225,226
223,222,227
223,227,228
227,222,226
229,230,228
228,227,229
226,229,227
229,226,231
197,196,232
232,233,197
234,235,196
112,236,135
112,137,237
112,237,236
111,135,194
196,198,234
137,238,237
166,239,195
194,239,166
201,139,199
198,200,240
141,143,204
141,204,142
241,169,242
169,241,116
116,241,170
144,206,205
169,174,243
169,243,242
175,123,244
178,145,245
123,207,246
210,209,247
177,248,211
93,146,98
124,182,207
249,209,212
211,180,103
250,149,213
183,179,251
212,252,249
208,253,214
212,214,252
254,252,214
213,255,256
213,154,255
157,188,257
154,186,258
132,259,186
132,215,259
184,190,155
260,159,161
261,262,263
261,263,264
218,219,217
217,219,265
266,261,264
260,267,159
192,221,219
193,163,268
261,266,269
134,270,165
134,164,270
271,272,273
273,274,271
272,271,275
276,275,271
272,275,277
224,223,278
279,226,225
277,275,228
275,280,228
223,228,280
277,228,230
229,231,281
282,231,226
283,232,196
235,283,196
232,284,233
135,285,194
233,286,197
233,287,286
197,286,200
137,114,238
194,288,239
289,199,195
238,114,290
199,291,201
202,290,114
286,292,200
286,293,292
201,294,167
200,292,295
200,295,240
294,168,167
240,295,296
202,203,297
298,94,205
172,299,173
94,298,145
206,300,205
206,173,301
173,299,301
247,302,303
247,303,210
304,248,177
209,305,247
209,249,305
306,208,210
304,177,176
178,307,179
251,179,307
176,149,308
249,309,310
208,311,253
252,312,249
313,250,213
314,253,315
256,313,213
254,312,252
314,214,253
214,314,254
255,154,258
157,257,215
316,257,188
184,317,189
258,186,318
188,217,316
184,189,190
186,259,319
186,319,318
217,320,316
216,260,161
216,321,260
322,323,263
324,263,323
325,263,324
262,322,263
263,325,264
264,325,326
260,327,267
264,326,266
326,325,328
326,328,266
261,269,329
330,266,328
220,268,163
330,269,266
331,219,221
268,164,193
269,330,332
221,165,331
333,334,335
273,272,336
274,334,333
274,333,271
272,337,336
273,338,274
271,333,276
272,339,337
225,222,224
224,340,225
280,275,276
280,278,223
272,277,341
272,341,339
277,230,341
279,282,226
342,230,229
281,342,229
343,281,231
231,282,344
231,344,343
284,232,283
345,235,234
284,346,233
233,346,347
345,234,348
234,198,348
233,347,287
237,349,236
236,349,135
285,350,194
194,350,288
287,351,293
287,293,286
239,289,195
289,352,199
291,199,352
198,240,348
296,348,240
348,296,353
292,354,295
296,295,355
356,171,170
203,357,297
203,171,356
206,301,300
358,243,174
304,358,174
174,175,304
248,304,175
244,248,175
145,298,245
247,305,302
210,359,306
246,211,248
178,245,307
207,211,246
249,310,305
250,308,149
211,207,180
360,310,309
311,208,361
313,308,250
182,180,207
249,312,309
183,362,152
315,253,311
152,362,185
363,309,312
254,363,312
256,255,364
363,254,365
215,257,366
185,317,184
255,318,364
258,318,255
367,259,215
368,189,317
189,368,216
367,319,259
216,369,321
370,371,372
371,373,372
374,324,375
320,217,265
321,327,260
371,370,376
267,371,376
322,262,377
378,377,262
379,267,376
380,379,376
265,219,381
329,269,382
159,379,220
159,267,379
383,220,379
164,268,270
334,274,384
333,335,278
384,274,338
224,278,385
385,340,224
386,337,339
278,276,333
278,280,276
339,387,386
339,341,387
279,388,282
341,230,389
390,391,281
281,343,390
392,393,283
283,394,284
342,389,230
395,396,393
283,235,392
285,135,349
237,238,397
238,290,397
288,398,239
353,399,348
400,353,296
293,401,292
402,290,202
202,297,402
296,403,400
242,404,241
170,241,404
168,405,172
295,406,355
407,203,356
243,358,408
244,123,246
210,303,359
208,306,361
409,361,306
410,409,306
411,176,308
176,411,304
308,412,411
308,313,412
360,309,413
183,414,362
311,415,315
313,256,416
417,185,362
254,314,418
419,254,418
420,418,314
421,422,423
419,365,254
185,424,317
425,372,373
369,216,368
372,425,370
426,370,425
324,374,427
325,324,427
428,318,319
319,367,429
370,430,376
375,324,323
431,327,321
322,432,323
325,433,328
376,434,380
322,377,432
377,378,435
382,436,437
327,431,267
379,380,383
382,437,329
329,378,262
262,261,329
328,438,439
440,381,219
328,439,330
219,331,440
269,441,382
269,332,441
165,270,331
270,268,442
443,335,334
335,443,444
385,335,444
273,445,338
334,384,446
385,278,335
447,340,385
448,384,338
337,386,449
225,450,451
225,340,450
279,225,452
279,452,388
453,341,389
396,283,393
396,454,283
281,455,342
393,456,395
396,457,458
396,395,457
394,459,284
235,345,460
287,461,462
346,284,463
287,462,351
462,464,465
462,465,351
346,463,347
347,461,287
349,466,285
285,467,350
351,465,293
349,237,468
397,468,237
469,285,466
397,290,470
471,470,290
402,471,290
402,297,472
201,473,294
354,474,295
295,474,406
357,472,297
296,355,403
242,243,475
476,475,243
170,477,356
294,405,168
243,408,476
357,203,407
244,246,248
302,305,478
479,478,305
359,480,306
306,480,410
481,310,482
310,481,305
183,251,414
313,416,412
315,415,483
421,423,484
421,484,485
315,486,314
487,419,418
486,420,314
488,366,257
363,365,489
420,486,490
185,417,424
365,419,368
490,486,491
423,492,484
257,316,427
420,425,373
420,373,493
420,490,425
494,422,421
423,429,492
423,422,429
215,366,367
490,495,425
494,428,422
316,320,427
317,489,368
495,426,425
496,373,371
319,422,428
422,319,429
427,433,325
371,369,496
370,426,430
495,430,426
374,375,497
323,432,498
375,323,497
376,430,434
435,432,377
267,431,371
499,380,434
220,500,268
501,330,439
501,332,330
331,270,440
270,442,502
444,503,385
336,445,273
445,504,338
336,337,505
384,448,446
338,504,448
447,506,340
225,451,507
225,507,452
387,508,386
387,341,508
394,283,454
508,341,453
281,391,455
396,509,454
393,392,456
458,509,396
456,392,460
510,462,461
510,461,511
462,510,464
389,342,512
392,235,460
345,513,460
347,463,461
345,348,399
468,397,514
285,469,467
288,350,398
293,465,401
239,398,289
289,515,352
291,473,201
292,401,354
242,475,404
404,477,170
172,405,516
356,517,407
300,298,205
298,307,245
518,303,302
303,518,359
305,481,479
410,519,409
360,413,520
485,484,521
413,309,520
315,522,523
315,483,522
524,421,485
417,362,525
315,523,486
363,489,309
256,526,416
256,364,526
489,525,309
419,487,527
486,523,491
427,488,257
527,368,419
418,420,493
364,318,528
490,491,495
366,529,367
489,317,424
367,529,530
427,320,433
429,367,530
320,265,433
531,498,432
532,323,498
323,532,497
436,533,534
432,435,535
436,534,437
265,381,536
430,537,434
538,435,378
536,328,433
438,328,536
380,499,539
539,383,380
378,329,540
437,540,329
436,382,441
220,383,500
502,440,270
443,503,444
443,541,503
334,542,443
503,543,385
447,385,544
505,337,449
386,508,545
509,546,454
510,547,464
511,461,548
389,512,453
549,342,455
550,344,282
343,344,551
284,459,463
463,552,461
345,399,513
553,513,399
397,470,514
399,353,553
354,401,554
354,554,474
555,404,475
403,355,556
557,556,355
558,405,294
355,406,559
560,559,406
475,476,561
172,516,299
408,562,476
407,563,357
411,408,358
358,304,411
408,411,412
482,564,481
409,519,565
310,360,482
416,566,412
360,520,414
521,484,567
311,361,568
311,568,415
309,525,520
528,526,364
494,421,524
487,418,493
365,368,489
496,493,373
528,318,428
427,374,488
374,569,488
368,570,369
430,495,571
369,371,431
369,431,321
430,572,573
433,265,536
432,535,531
538,535,435
430,573,537
533,436,574
499,434,537
575,438,536
436,576,574
438,575,439
436,441,576
381,440,575
383,539,577
439,575,501
575,440,501
500,578,268
268,578,442
503,541,579
503,579,580
503,580,581
582,581,580
334,446,542
542,446,583
543,544,385
445,336,584
336,505,584
504,445,585
446,448,583
586,584,505
505,587,586
506,450,340
505,449,587
545,449,386
388,452,588
388,588,458
394,454,589
590,508,453
391,390,591
592,546,509
593,459,394
594,459,593
595,453,512
282,458,550
596,597,460
512,342,549
551,390,343
552,548,461
459,594,463
465,464,598
513,599,460
465,598,600
601,398,350
465,600,401
349,602,466
603,469,466
398,601,515
398,515,289
553,353,604
605,474,554
606,402,472
558,294,473
607,406,474
561,555,475
477,517,356
406,607,560
476,562,561
301,299,608
563,609,357
298,300,610
300,301,611
298,610,307
359,518,612
478,479,613
359,612,480
614,410,480
480,615,614
251,307,610
616,565,519
519,410,616
410,614,616
409,565,617
521,567,618
360,414,482
409,617,361
416,526,566
619,567,484
620,523,621
523,620,491
493,496,487
528,428,494
366,488,569
530,492,429
491,620,495
622,496,369
571,495,620
374,497,569
572,430,571
498,531,623
498,623,624
498,624,532
497,532,625
626,533,627
628,533,574
573,629,537
540,538,378
630,628,574
574,576,630
536,381,575
500,383,577
500,577,578
441,332,631
332,501,631
632,633,634
635,632,634
636,541,443
637,580,579
503,581,543
543,581,638
544,543,638
584,639,445
445,639,585
585,640,504
447,544,641
447,641,506
511,642,510
547,510,642
643,464,547
545,508,590
589,454,546
589,593,394
458,588,509
509,588,592
453,595,590
455,391,591
456,460,597
455,644,549
464,643,645
390,551,646
344,550,551
457,551,550
464,645,598
647,648,649
551,457,650
651,650,457
647,649,652
649,648,653
395,654,651
349,468,602
466,602,603
600,655,401
469,603,656
469,656,467
470,471,657
471,402,657
291,658,473
400,403,659
660,401,655
402,606,657
658,291,352
403,556,659
605,661,474
472,662,606
473,663,558
474,664,607
472,357,662
405,558,516
611,610,300
611,301,665
301,608,665
408,412,562
478,613,302
518,302,613
518,666,612
480,612,615
485,521,667
614,668,616
414,251,610
669,618,567
362,414,525
567,619,669
414,520,525
415,568,483
417,525,489
484,492,619
417,489,424
621,670,620
496,527,487
569,529,366
671,620,670
620,671,571
497,625,569
532,672,625
369,570,622
624,673,532
623,531,674
627,533,675
535,674,531
628,675,533
534,676,437
499,537,677
540,678,538
679,680,681
628,630,682
679,683,684
679,684,680
576,441,685
577,686,687
687,578,577
688,442,578
578,687,688
442,688,689
634,633,690
691,635,692
634,693,635
635,694,632
635,691,694
632,694,695
633,632,696
632,695,696
541,636,579
582,580,697
581,582,698
699,504,640
699,448,504
584,586,700
701,700,586
507,451,702
586,587,701
587,449,703
642,511,704
548,704,511
644,455,591
552,705,548
595,512,706
549,644,707
551,650,646
648,708,709
648,709,653
512,549,710
650,711,646
596,460,599
650,651,712
654,712,651
652,600,647
660,600,652
652,649,660
713,649,653
714,350,467
600,660,655
605,660,649
649,713,605
604,353,715
353,400,715
660,605,554
605,713,661
515,716,352
473,658,663
401,660,554
474,661,664
661,717,664
718,404,555
404,718,477
557,355,719
355,559,719
607,717,720
721,720,717
561,562,555
516,722,299
560,607,615
607,720,615
517,723,407
299,722,608
615,612,560
562,412,724
566,724,412
615,720,614
725,667,521
618,725,521
610,564,482
565,616,668
479,481,564
485,667,726
610,482,414
485,726,524
361,617,568
727,483,568
621,523,728
728,523,522
526,528,729
729,494,524
729,528,494
368,496,570
368,527,496
529,569,625
530,730,492
530,529,730
627,731,732
623,674,733
734,532,673
627,675,731
571,573,572
573,571,735
735,736,573
736,735,737
738,533,626
573,739,629
573,736,739
740,736,737
741,533,738
739,736,740
538,742,535
533,741,534
534,741,676
682,675,628
629,743,537
537,743,677
538,678,742
539,499,677
684,683,744
576,685,630
630,685,682
680,684,745
577,539,686
441,631,685
440,502,501
631,501,746
747,746,501
501,502,747
502,442,747
747,442,689
748,634,690
748,749,634
634,749,693
690,633,750
633,696,751
752,751,696
753,636,443
443,542,753
754,637,579
755,637,754
697,580,756
542,583,753
544,638,757
638,581,757
581,698,757
582,697,698
583,448,699
758,585,639
585,758,640
506,759,450
700,701,760
451,761,702
451,450,761
701,587,703
449,545,762
642,704,763
764,642,763
452,507,588
704,548,765
642,764,547
766,547,764
705,765,548
766,643,547
588,767,592
592,767,546
589,546,767
768,593,589
593,768,594
595,769,590
545,590,770
390,646,591
595,706,769
771,647,645
647,771,648
594,772,463
773,705,552
710,706,512
774,711,650
600,598,645
650,712,774
463,772,552
645,647,600
653,709,775
775,713,653
601,350,714
468,776,602
468,514,776
467,656,714
601,777,515
513,553,778
514,470,776
470,657,776
713,779,661
659,715,400
352,716,658
717,661,721
477,718,517
663,553,558
664,717,607
555,562,780
555,780,781
517,718,723
662,357,782
558,553,516
562,724,780
780,724,783
407,723,563
782,357,609
612,719,559
559,560,612
721,784,720
610,611,564
611,665,564
613,785,518
666,518,785
786,614,720
614,786,787
726,667,788
614,787,668
564,665,479
565,668,789
787,789,668
526,790,566
790,526,791
792,791,526
726,729,524
526,729,792
726,792,729
793,483,727
483,793,522
669,619,794
522,795,728
619,492,796
492,730,796
670,797,671
798,623,733
624,623,798
570,496,622
624,799,673
672,532,734
626,627,732
735,800,737
674,535,801
626,732,738
731,675,802
535,742,801
681,803,679
804,803,681
805,806,675
743,807,677
437,676,540
675,682,805
808,683,679
681,680,807
680,809,807
677,686,539
744,745,684
680,745,810
680,810,809
746,747,811
747,689,811
691,692,812
635,693,692
750,633,813
694,691,814
813,633,751
694,814,695
815,696,695
816,817,696
815,816,696
637,755,818
818,580,637
818,756,580
754,579,636
756,819,697
820,639,584
820,584,821
544,822,641
584,700,821
821,700,760
640,758,699
823,761,450
760,701,824
701,825,824
703,449,826
449,762,826
763,704,827
703,825,701
643,766,771
767,828,589
589,828,768
643,771,645
771,766,648
648,766,829
648,829,708
590,769,770
706,710,830
710,549,831
707,831,549
832,654,597
833,834,709
834,775,709
834,833,835
513,778,599
834,836,775
779,713,775
836,834,835
779,775,836
515,777,716
661,779,837
606,662,838
604,516,553
659,556,839
721,661,837
556,557,839
612,666,719
720,784,786
479,840,613
565,789,617
841,618,669
842,841,669
618,843,725
844,725,843
568,845,727
522,793,795
846,728,795
670,621,797
621,847,797
621,728,847
848,799,798
798,799,624
529,625,730
571,671,849
671,800,849
800,671,797
673,799,734
734,730,672
735,849,800
850,737,800
571,849,735
731,802,851
740,737,850
629,852,743
629,739,852
806,802,675
740,853,739
740,854,853
740,855,854
679,803,856
743,804,807
676,857,540
858,857,676
676,741,858
856,808,679
807,804,681
859,744,683
807,809,686
807,686,677
744,859,745
745,860,810
810,860,809
809,688,686
688,687,686
748,861,749
692,693,862
691,812,863
749,864,693
693,865,862
866,813,751
695,814,867
868,869,756
868,755,870
695,871,815
695,867,871
755,868,818
868,756,818
752,817,872
817,752,696
817,816,873
874,697,819
636,753,875
874,698,697
876,753,583
544,757,822
583,699,876
639,820,877
639,877,758
759,823,450
760,824,878
588,507,879
704,765,880
765,881,880
882,764,763
765,705,881
764,829,766
764,882,829
545,770,883
768,884,594
708,829,885
591,646,886
591,886,644
708,885,887
646,711,886
774,888,711
597,596,832
889,835,833
889,890,835
657,606,891
835,892,836
838,893,606
516,604,715
836,894,779
837,779,894
555,895,718
721,837,784
896,784,837
781,895,555
897,784,896
718,898,723
557,719,899
900,780,783
722,901,608
784,897,786
723,902,563
723,898,902
719,666,899
608,840,665
897,787,786
783,724,903
899,666,785
903,724,790
790,791,904
790,724,566
905,792,726
618,841,843
725,844,906
619,907,794
728,908,847
728,846,908
619,796,907
798,733,909
851,910,911
912,913,914
851,802,910
915,804,743
915,743,852
801,742,912
913,912,678
738,732,916
806,910,802
917,910,806
855,740,850
913,678,857
912,742,678
738,916,741
678,540,857
917,806,805
805,918,917
683,808,919
859,683,919
856,920,808
682,685,805
859,921,745
631,922,685
860,745,921
860,688,809
689,688,860
631,746,811
690,750,923
692,862,812
813,923,750
863,924,691
866,925,813
749,926,864
865,693,927
691,924,814
870,928,929
868,870,929
929,869,868
814,924,930
866,751,752
870,755,931
872,817,932
817,873,932
933,754,636
698,874,934
698,934,935
936,820,821
821,760,878
506,641,937
938,699,758
506,937,759
878,824,939
507,702,879
825,703,940
827,941,763
763,942,882
941,942,763
942,943,882
881,705,773
828,944,768
769,945,770
594,884,946
947,833,709
948,947,709
769,706,945
594,946,772
708,887,709
830,710,949
889,833,947
710,831,949
707,603,831
772,950,552
596,599,832
951,952,776
776,949,602
654,832,712
951,776,657
951,657,953
715,659,954
835,890,892
715,954,516
836,892,894
663,778,553
516,954,722
896,837,894
901,722,954
659,839,954
838,662,955
662,782,955
781,780,900
899,839,557
563,902,609
956,957,897
787,897,957
903,900,783
609,958,782
904,903,790
609,902,958
613,840,785
957,959,787
960,726,788
667,725,788
665,840,479
905,726,960
789,787,959
791,792,904
904,792,905
617,789,961
843,962,844
568,617,845
795,793,963
795,963,846
964,848,798
909,964,798
848,794,799
797,847,965
847,966,965
847,908,966
907,796,967
909,733,968
733,674,968
730,625,672
969,800,797
731,851,970
800,969,850
969,971,850
731,970,732
968,801,972
968,674,801
732,970,916
973,915,852
739,853,974
739,974,852
975,741,916
917,918,919
917,919,976
922,918,805
805,685,922
859,918,922
859,922,977
859,977,921
631,811,922
977,922,811
921,977,811
689,921,811
921,689,860
861,748,978
923,748,690
861,979,749
862,980,812
981,812,980
812,981,863
980,929,981
980,982,929
926,749,979
862,865,983
981,929,928
813,925,923
982,869,929
984,869,982
928,870,931
927,693,864
869,985,756
930,867,814
819,756,985
986,755,754
987,985,988
985,987,819
932,873,989
990,989,873
871,991,815
987,988,992
874,819,987
636,993,933
875,993,636
816,994,873
698,935,757
936,995,820
877,820,996
821,878,997
821,997,936
878,939,998
878,998,997
699,938,876
702,761,999
879,702,999
761,823,999
880,1000,704
704,1000,827
826,762,1001
762,545,883
588,879,767
767,879,828
943,942,1002
882,943,829
829,943,885
884,768,944
1003,770,945
948,709,887
945,706,1004
952,1004,706
714,707,644
552,950,773
706,830,952
949,952,830
952,949,776
602,949,831
831,603,602
707,714,603
714,886,601
601,886,777
603,714,656
657,891,953
891,606,893
777,888,716
951,953,1005
658,778,663
892,1006,894
901,954,839
1006,896,894
955,782,1007
895,781,1008
718,895,898
897,896,1009
781,900,1008
901,839,899
897,1009,956
608,901,840
840,899,785
1010,1011,1012
1012,1011,1013
1013,1014,1012
1015,788,725
1011,1016,1013
725,906,1015
1014,1013,1017
961,789,959
841,1018,843
842,669,794
964,1019,848
1020,848,1019
845,1021,727
793,727,1021
963,793,1022
794,848,1020
799,794,967
908,846,1023
799,967,734
966,908,1024
968,1025,909
1025,968,1026
734,967,796
968,1027,1026
734,796,730
797,1028,969
968,972,1027
801,912,972
1029,972,912
855,850,971
914,1029,912
1030,916,970
916,1030,975
1031,915,973
973,852,974
974,1031,973
855,1032,854
1033,857,858
741,975,1034
1031,974,1035
858,741,1034
918,859,919
1035,974,1036
974,1037,1036
974,853,1037
853,854,1037
1037,854,1038
920,1039,808
1040,1041,1036
978,1042,861
748,923,1043
862,983,980
1044,980,983
1045,980,1044
980,1045,982
863,981,1046
982,1045,984
983,865,927
863,1046,924
981,928,1046
1046,928,931
931,755,986
992,988,1047
1048,871,867
754,933,986
989,990,1049
994,990,873
815,991,816
1050,874,987
874,1050,934
1051,816,991
820,995,996
816,1051,994
753,876,875
822,937,641
939,824,1052
824,825,1052
1052,825,1053
