L,I,A
-0.01869188,-0.08780056,0.019041244
-0.016707037,-0.087200776,0.021066135
-0.021596605,-0.08742236,0.022448845
-0.024900839,-0.08691346,0.02155687
-0.022225877,-0.08762277,0.019434074
-0.022027388,-0.08855569,0.013081785
-0.023440573,-0.08786769,0.016039321
-0.016632954,-0.08712966,0.017162751
-0.01506749,-0.08760906,0.015474364
-0.013422938,-0.08684366,0.0171811
-0.019215021,-0.08630972,0.015596161
-0.012393994,-0.08835961,0.013155303
-0.019260285,-0.087679096,0.01414522
-0.01930276,-0.08806812,0.011694833
-0.016692419,-0.08816724,0.010703825
-0.024248898,-0.08646268,0.01085377
-0.014327581,-0.08819256,0.009025221
-0.015604293,-0.08629224,0.034663282
-0.0138765415,-0.08769815,0.030866893
-0.01246993,-0.08640739,0.034685362
-0.007295771,-0.08671701,0.030026441
-0.011940083,-0.08742325,0.024284227
-0.015126631,-0.086150445,0.025540778
-0.01772189,-0.08607184,0.023245033
-0.026568923,-0.086363,0.019360773
-0.027351933,-0.08481187,0.023948248
-0.02463364,-0.08464351,0.015930247
-0.00716847,-0.08567731,0.019549347
-0.0072860667,-0.08668221,0.012424285
-0.005749566,-0.08483909,0.019650871
-0.011733384,-0.08589883,0.015049038
-0.00901527,-0.08774065,0.012433422
-0.016194323,-0.083228394,0.018559406
-0.025301933,-0.085434936,0.0129785985
-0.017658917,-0.08640075,0.011185242
-0.019548137,-0.08484864,0.009845626
-0.0069440696,-0.08483527,0.0066080308
-0.018457875,-0.086290255,0.004340514
-0.020775104,-0.08685112,0.008054702
-0.02431141,-0.08638969,0.007832593
-0.022825936,-0.085983954,0.0058671883
-0.013213779,-0.08718555,0.0054059317
-0.014685206,-0.0863845,0.003354161
-0.021791853,-0.08641589,0.0015511714
-0.017425817,-0.086497754,0.0015748809
-0.017855655,-0.08638193,-0.0021046458
-0.014402913,-0.08495404,-0.00254851
-0.022697344,-0.08501404,-0.002163259
-0.014326302,-0.085989505,0.041441116
-0.011767429,-0.087167814,0.037323944
-0.009710358,-0.08592782,0.04163637
-0.008149964,-0.08584716,0.039080147
-0.007754391,-0.086664036,0.03620085
-0.016942935,-0.08375994,0.039201193
-0.01772664,-0.084604084,0.035143632
-0.004459112,-0.08514381,0.036838252
-0.01582037,-0.08454199,0.032057554
-0.01857882,-0.08663909,0.030163763
-0.01911679,-0.084650554,0.032816082
-0.020812402,-0.086121075,0.032009974
-0.020836327,-0.08658186,0.027574047
-0.008253335,-0.08553055,0.025504945
-0.019695818,-0.0864317,0.026414065
-0.017748917,-0.085224316,0.026936194
-0.010034308,-0.086991094,0.024085911
-0.010737874,-0.085156836,0.020340893
-0.012719791,-0.08542298,0.019941026
-0.014705418,-0.08523249,0.021053532
-0.028567253,-0.08509094,0.01928405
-0.018213805,-0.084847175,0.01821335
-0.009059777,-0.08493939,0.019734746
-0.02788138,-0.08551532,0.013803117
-0.019265698,-0.082117215,0.016382784
-0.0046566054,-0.08284295,0.013414476
-0.0056915036,-0.083614334,0.009279132
-0.011285612,-0.08681576,0.011578325
-0.029578688,-0.08411688,0.009207933
-0.011137568,-0.08617013,0.0064646667
-0.01798974,-0.08522033,0.008776584
-0.026651459,-0.08235737,0.0068252566
-0.027109627,-0.083794,0.004240271
-0.018977787,-0.085391216,0.0022913078
-0.010698702,-0.08252282,-0.00056134805
-0.024443306,-0.08320998,-0.0021998377
-0.019145431,-0.083843485,-0.004655928
-0.017138226,-0.08119139,-0.006974614
-0.009844219,-0.084433116,0.04375942
-0.01798553,-0.08377025,0.042959012
-0.008619908,-0.08303651,0.04023994
-0.0055208565,-0.083503924,0.037545618
-0.004360027,-0.08224015,0.0337386
-0.013914008,-0.08164707,0.02948048
-0.022518383,-0.084220506,0.029592741
-0.016430382,-0.081672974,0.02593343
-0.022097334,-0.08297961,0.028996704
-0.0058525563,-0.08327876,0.027422572
-0.015747799,-0.08356095,0.025473228
-0.02526006,-0.08443019,0.026899412
-0.015548891,-0.08285998,0.022974346
-0.020210413,-0.08424876,0.023918612
-0.029173676,-0.08380409,0.021284515
-0.0283451,-0.08271748,0.025038807
-0.013602848,-0.08413527,0.01819184
-0.006172852,-0.08309328,0.022592297
-0.029669993,-0.08460175,0.014261928
-0.018235566,-0.082533374,0.010158325
-0.0069758347,-0.0825403,0.0047990982
-0.00807382,-0.08284923,0.002970009
-0.009167997,-0.08176294,0.0011637799
-0.026679365,-0.082845874,0.0017751656
-0.014610896,-0.08238756,-0.004274419
-0.011288634,-0.08170369,0.04479034
-0.006265704,-0.08128965,0.042663556
-0.008130165,-0.081467874,0.03755827
-0.010502367,-0.08073913,0.03776362
-0.010381851,-0.08051762,0.03437419
-0.0045086695,-0.07957129,0.035023663
-0.023450894,-0.08352384,0.034029018
-0.025851596,-0.08377292,0.033355832
-0.02953784,-0.08234585,0.030569172
-0.015917603,-0.08150561,0.029414788
-0.00508186,-0.08265632,0.026063185
-0.008451838,-0.08229643,0.024913812
-0.009524206,-0.07870833,0.024760293
-0.0098472,-0.080524355,0.020647464
-0.004108488,-0.08356074,0.0215776
-0.008979586,-0.08196369,0.020721704
-0.015216778,-0.080529355,0.017962096
-0.029506756,-0.081528336,0.013252464
-0.017626137,-0.08130015,0.017911285
-0.012266033,-0.082564056,0.016002879
-0.0052679344,-0.081276126,0.00940337
-0.0080023175,-0.080767244,0.007705808
-0.030122323,-0.0823765,0.00673018
-0.022090062,-0.08215165,-0.0068854196
-0.008090134,-0.07968689,0.04412359
-0.020166542,-0.081111215,0.043128952
-0.0051512425,-0.08042066,0.03994992
-0.02114307,-0.0835974,0.03864626
-0.023993088,-0.081273824,0.040652186
-0.026405577,-0.0825605,0.03681269
-0.017891321,-0.08021417,0.035703257
-0.017397514,-0.08064267,0.032142542
-0.021359555,-0.08167032,0.0348088
-0.026080746,-0.08251844,0.028403783
-0.022857849,-0.07951958,0.028078042
-0.018303158,-0.079480834,0.022913901
-0.028238038,-0.081060156,0.020639924
-0.0028491481,-0.0817694,0.01829152
-0.0022989605,-0.079830594,0.02190983
-0.011858793,-0.08230182,0.018998958
-0.0055578123,-0.08111937,0.015767336
-0.026038937,-0.07839497,0.016131496
-0.028615307,-0.080477044,0.011048673
-0.0041490276,-0.079405814,0.012398123
-0.025806215,-0.08101758,0.0071950075
-0.009852839,-0.08024943,0.0058710705
-0.0119842375,-0.080803744,0.010094797
-0.011584825,-0.07901014,0.0033324196
-0.031478234,-0.08022255,-0.0010055904
-0.026479963,-0.08354144,-0.0021923273
-0.031548217,-0.081436254,0.005299317
-0.014032754,-0.07979932,-0.0005922331
-0.028525539,-0.08154477,-0.0036260865
