v1,v2,v3
0,1,2
3,0,4
4,0,5
6,7,8
9,7,6
0,10,11
12,13,14
12,14,15
10,0,3
11,16,0
12,17,13
16,1,0
10,3,18
19,13,17
0,2,20
13,21,22
13,19,21
23,21,19
24,5,0
0,20,24
5,24,25
26,27,28
29,27,26
26,28,30
29,26,31
26,32,31
26,30,32
33,30,28
30,33,34
33,35,34
6,36,37
38,39,6
6,39,36
36,39,40
6,37,9
8,38,6
41,9,37
9,41,42
9,42,7
43,38,10
43,10,44
38,8,10
8,11,10
8,7,45
11,46,16
44,10,18
14,13,47
2,1,48
18,3,49
4,49,3
17,50,19
48,20,2
13,22,47
51,19,50
52,22,21
51,23,19
53,52,21
21,23,53
52,24,20
24,53,54
24,52,53
25,24,55
27,56,28
27,57,56
58,27,29
59,33,28
59,60,33
29,61,62
63,62,61
29,31,61
64,61,31
31,65,64
32,66,31
67,35,33
30,34,68
30,68,32
35,69,70
35,67,69
71,68,34
34,35,71
70,71,35
32,68,72
70,69,73
64,65,74
61,64,74
61,74,75
36,76,37
37,77,41
38,43,78
43,44,78
11,8,79
42,80,7
46,11,79
45,7,80
15,81,12
15,14,82
44,18,83
14,47,84
85,50,17
86,87,88
47,22,84
22,48,84
49,4,89
4,90,89
22,20,48
4,5,90
20,22,52
91,53,23
23,51,91
54,92,24
54,53,91
91,92,54
92,55,24
93,94,95
93,95,96
58,97,27
28,56,98
98,59,28
62,99,29
29,99,58
66,65,31
33,60,100
32,72,66
63,61,75
101,63,75
70,72,68
68,71,70
73,102,70
103,72,70
70,102,103
104,75,74
105,74,106
105,104,74
36,107,76
36,40,108
76,77,37
38,109,39
78,110,109
78,109,38
111,40,39
79,8,45
78,44,112
45,80,113
15,114,81
15,82,114
81,115,12
17,12,115
116,17,115
46,117,16
17,116,85
16,117,1
84,82,14
86,83,118
1,117,119
1,119,48
86,118,49
86,49,87
48,119,120
118,18,49
83,18,118
121,50,85
50,121,122
51,50,122
123,124,122
125,122,124
51,122,125
126,127,128
126,128,129
130,90,25
5,25,90
129,131,126
51,125,91
132,25,55
55,92,133
134,135,136
137,136,135
138,136,137
137,139,138
137,140,139
141,94,142
143,94,141
94,143,95
96,144,93
95,145,96
27,97,57
58,146,97
99,146,58
62,63,147
33,100,67
100,60,148
65,66,149
106,65,149
65,106,74
103,102,150
102,73,151
152,104,105
109,111,39
41,77,153
109,154,111
42,41,153
155,80,42
44,83,112
46,79,117
86,156,157
113,79,45
83,86,157
156,86,88
84,120,82
84,48,120
88,87,158
87,49,159
89,159,49
160,123,121
121,123,122
124,123,160
161,127,126
129,128,162
124,160,163
130,25,132
129,164,165
166,167,126
126,131,166
129,165,131
131,165,133
92,91,168
91,169,168
165,55,133
165,132,55
170,133,92
171,172,173
134,171,173
135,134,173
173,174,135
135,174,137
140,137,174
140,175,176
140,176,139
142,94,177
141,178,143
179,139,176
138,139,180
139,179,180
94,93,177
93,144,181
143,182,95
144,183,184
185,183,144
144,96,185
186,185,96
96,145,186
187,145,95
56,57,188
56,188,98
146,189,97
99,62,190
62,147,190
100,191,67
192,193,194
195,193,192
72,196,66
197,196,72
103,197,72
73,69,198
73,198,151
101,75,199
101,199,200
201,105,106
102,151,150
105,201,152
104,152,202
36,108,107
108,40,111
203,77,204
78,205,110
110,206,109
157,205,78
154,207,111
42,153,208
112,157,78
208,155,42
208,153,209
210,209,153
157,156,205
82,80,211
81,212,115
113,80,82
114,213,81
157,112,83
114,211,214
114,82,211
114,214,213
158,87,159
89,215,159
89,90,215
216,163,160
161,217,127
163,216,218
129,162,164
124,169,125
126,167,161
163,219,124
169,91,125
219,163,218
219,169,124
167,166,220
131,133,221
165,164,132
92,168,170
133,170,222
223,173,172
172,171,224
173,223,225
173,225,174
171,142,226
171,226,224
171,141,142
171,134,227
174,225,228
141,171,227
178,141,227
175,140,174
175,229,176
226,142,177
136,138,230
177,93,181
183,231,184
184,181,144
95,182,187
97,232,57
233,234,97
98,188,235
236,237,192
59,98,60
98,238,60
236,192,239
240,192,237
233,97,189
239,192,194
191,100,241
67,191,242
148,243,100
195,192,240
241,100,243
67,244,69
194,193,245
66,196,149
69,244,246
149,247,106
198,69,246
193,248,249
193,249,245
193,195,250
106,247,201
248,193,250
248,250,251
75,104,199
252,202,152
203,150,151
151,198,253
151,253,254
108,255,107
107,256,76
204,77,76
257,77,203
109,206,154
77,257,153
155,211,80
258,115,212
205,156,259
258,260,115
113,119,79
81,213,212
115,260,116
156,261,259
262,156,263
262,261,156
156,88,263
85,116,121
159,264,158
88,158,265
263,88,265
215,90,130
127,217,266
216,267,218
161,268,217
130,132,269
167,268,161
166,131,221
218,270,219
167,220,271
219,270,169
220,166,272
172,273,223
225,223,274
227,134,275
276,175,174
276,174,228
275,134,136
277,229,175
177,278,226
279,230,138
138,180,279
280,176,229
278,177,281
181,281,177
143,178,282
180,179,283
284,283,179
282,285,143
281,181,184
281,184,231
231,183,286
143,285,182
287,187,182
186,145,288
289,290,145
145,187,289
57,232,188
236,291,237
97,234,232
292,236,293
236,239,293
294,239,295
60,238,148
239,194,295
296,295,194
147,63,297
67,242,244
63,101,297
194,245,296
101,200,297
247,149,196
243,148,298
299,198,246
245,249,300
245,300,301
249,302,300
197,103,255
103,150,255
248,251,249
255,150,256
303,199,104
104,202,303
108,152,201
107,255,256
254,203,151
254,253,257
152,108,252
108,207,252
254,257,203
253,304,257
76,305,204
76,256,305
207,108,111
110,306,206
206,307,154
154,307,207
308,207,307
153,257,309
304,309,257
205,310,110
306,110,310
311,206,306
206,311,307
210,153,309
258,312,260
259,310,205
212,313,258
119,117,79
313,212,213
260,312,314
315,213,214
213,315,313
82,119,113
116,260,316
260,314,317
116,316,121
317,316,260
316,318,121
263,265,319
265,158,320
216,160,321
121,318,160
216,321,322
160,318,323
160,323,321
318,324,323
127,266,128
325,323,324
321,323,326
325,326,323
268,327,217
328,162,128
162,328,164
269,132,164
218,267,329
218,329,270
221,133,222
270,168,169
271,220,330
272,166,221
331,168,270
222,170,332
170,168,331
170,331,332
220,333,330
220,272,333
224,334,172
224,335,334
175,276,336
336,277,175
224,226,335
275,178,227
228,337,276
335,226,278
338,275,230
275,136,230
339,279,180
283,339,180
278,281,340
176,341,179
176,280,341
231,342,343
231,286,342
182,285,344
231,343,281
186,345,346
186,288,345
185,186,347
145,290,288
292,291,236
188,348,235
235,349,98
239,294,293
238,98,349
99,350,146
147,351,190
146,352,189
189,353,233
240,354,195
296,245,301
195,354,355
196,197,247
302,249,356
199,357,200
255,108,201
150,358,256
299,253,198
150,203,358
253,359,304
202,360,303
202,252,360
204,305,203
306,361,311
155,208,214
208,362,214
208,209,362
363,310,259
315,364,313
364,315,365
366,259,261
119,82,120
317,314,367
368,158,264
368,320,158
317,367,369
370,371,263
263,371,262
215,264,159
316,317,369
370,263,319
320,372,265
318,316,324
369,373,316
373,324,316
374,319,265
130,269,215
268,167,375
268,376,327
377,375,167
269,164,328
167,271,377
378,272,221
221,222,378
379,273,172
379,172,334
336,276,380
336,381,277
335,382,334
274,383,225
225,383,384
228,225,384
228,384,337
385,335,278
278,340,385
179,341,284
281,343,386
281,386,340
285,387,344
286,183,388
183,185,347
346,347,186
389,187,287
292,390,391
291,292,391
288,290,392
289,187,389
390,292,293
390,293,294
349,235,348
291,393,237
291,394,393
232,234,395
295,396,397
397,294,295
237,398,240
349,399,238
240,398,400
99,190,350
350,352,146
234,233,401
295,296,402
296,301,402
147,297,351
403,244,242
195,355,250
403,404,244
244,404,246
405,406,300
405,300,302
298,407,243
197,255,247
356,249,408
249,251,408
251,409,408
201,247,255
299,410,253
411,199,303
358,203,305
252,412,360
252,207,412
413,414,415
414,413,416
309,304,417
310,361,306
209,418,362
258,419,312
313,419,258
313,364,419
312,420,314
259,366,363
367,421,369
368,372,320
422,267,216
369,421,373
372,374,265
423,266,217
325,424,425
426,424,325
327,423,217
215,269,427
325,324,426
373,426,324
128,427,328
268,375,376
267,422,329
271,330,428
378,222,332
272,378,429
330,333,430
272,429,431
272,431,333
432,433,434
435,432,434
434,436,435
434,433,336
381,336,433
437,273,438
273,437,223
436,434,336
379,334,439
223,437,274
436,336,380
436,380,435
440,277,381
276,337,441
440,442,277
337,384,383
229,277,442
338,178,275
178,338,282
279,338,230
229,443,280
387,285,282
339,283,444
340,386,445
446,342,447
342,446,343
344,448,182
388,183,449
347,449,183
392,345,288
450,290,289
294,397,390
232,451,188
188,451,348
452,394,291
398,237,393
401,453,234
349,454,399
295,455,396
455,295,402
148,238,399
301,456,402
189,352,353
400,354,240
457,404,403
299,246,410
405,302,458
409,251,459
200,460,297
302,356,458
356,408,461
253,410,359
461,408,414
303,462,411
