L,I,A
0.014469322,-0.08805569,0.0077331117
0.014510429,-0.085364446,0.010218409
0.012864431,-0.08709556,0.006773644
0.018243471,-0.087670125,0.007773622
0.018453773,-0.086796016,0.0050948453
0.017953161,-0.08686429,0.0016792975
0.015488849,-0.08702069,0.020333238
0.014115015,-0.08611694,0.013214942
0.01965763,-0.08586388,0.016420782
0.01072956,-0.08627948,0.016937025
0.022420183,-0.08609678,0.013545509
0.020697469,-0.08526827,0.014454754
0.0065116556,-0.08561671,0.0134873055
0.007545091,-0.087376975,0.008159473
0.010733643,-0.08606435,0.010819323
0.008059849,-0.0853232,0.014113314
0.017007472,-0.085454024,0.011338956
0.0057228943,-0.085145354,0.010902412
0.023186607,-0.085832015,0.005304051
0.0047668605,-0.085986115,0.0040812306
0.012769255,-0.08691909,0.0022698434
0.009403683,-0.086971186,0.0020611587
0.0115414355,-0.08633341,0.002869545
0.0058016554,-0.085137114,-0.0007349895
0.012719975,-0.08652128,-0.003139835
0.018768996,-0.08515503,-0.0030244356
0.014408377,-0.0861438,0.037980534
0.011296414,-0.08477207,0.039799042
0.008807269,-0.0862006,0.037098344
0.019600598,-0.08579128,0.03731016
0.010580722,-0.08683478,0.03396822
0.018929524,-0.08593645,0.03396794
0.015361732,-0.085960895,0.02993989
0.008388911,-0.0848404,0.033291996
0.0108195925,-0.086519815,0.030562263
0.007818487,-0.08612756,0.031495698
0.013118189,-0.085294954,0.02277761
0.008922106,-0.08505753,0.020878742
0.021625789,-0.08585691,0.020146726
0.017490286,-0.08472565,0.021132138
0.014590795,-0.08375978,0.021487422
0.0065541654,-0.084305435,0.017757142
0.009111236,-0.08418542,0.015605123
0.024806995,-0.08507343,0.017215893
0.023222793,-0.08563498,0.010810566
0.015814012,-0.08476049,0.012438866
0.019467244,-0.08374893,0.013531631
0.010159672,-0.08655584,0.0071626236
0.012465244,-0.08341098,0.0070180525
0.023518162,-0.08516299,0.0027575148
0.004386846,-0.08377846,0.007022338
0.004681357,-0.082395576,-0.00054564694
0.0110242395,-0.08544314,0.00011711362
0.00813787,-0.08477466,-0.0028454654
0.010294295,-0.085223444,-0.0043440727
0.017873025,-0.08395548,-0.0071862456
0.006202686,-0.082749285,0.039264176
0.007450525,-0.081354946,0.04067957
0.018030412,-0.083956525,0.03858604
0.008217323,-0.08437233,0.03584012
0.01019142,-0.08050996,0.033642698
0.023205295,-0.08516498,0.030832114
0.023482595,-0.08402577,0.035438802
0.024702057,-0.083334774,0.030710211
0.0202796,-0.08529979,0.02840317
0.018807678,-0.08407149,0.02925457
0.017741032,-0.083019406,0.030490236
0.0037035653,-0.0823495,0.033586197
0.01138603,-0.085797764,0.028993782
0.0045727747,-0.08332894,0.030960688
0.0082517555,-0.08728715,0.027264101
0.00965618,-0.08713667,0.027996222
0.015171519,-0.08368253,0.027775627
0.006916634,-0.084274605,0.02684737
0.019294664,-0.08587402,0.02459932
0.023850264,-0.08372531,0.025902916
0.010074274,-0.08204653,0.023079958
0.005729887,-0.082410894,0.018912988
0.02714615,-0.08253376,0.0185035
0.019029144,-0.081414774,0.013907531
0.01261099,-0.08296403,0.012145722
0.005622699,-0.081659995,0.01524713
0.0141549045,-0.08085823,0.010860593
0.023785867,-0.08333778,0.00916272
0.011829012,-0.08299461,0.0071973833
0.006605202,-0.082263425,0.009003558
0.026813997,-0.08465978,0.009984442
0.02708374,-0.08339697,0.004423909
0.02946412,-0.08250941,0.008644788
0.02268035,-0.08286667,0.0021685855
0.018574813,-0.082787305,0.0035007007
0.0076277195,-0.08189894,-0.00503657
0.014491344,-0.0820879,-0.00905417
0.02038733,-0.08478393,0.043419253
0.020891441,-0.084392,0.04770299
0.013966588,-0.083795264,0.042926144
0.017396325,-0.08453413,0.04081438
0.012111927,-0.08172088,0.03931942
0.0052555758,-0.0803993,0.036042985
0.022400936,-0.07968751,0.037035555
0.0064388253,-0.08128946,0.034158714
0.02448757,-0.08179362,0.02663827
0.009263564,-0.08429473,0.024729177
0.012605587,-0.082408905,0.024306362
0.024213081,-0.082895406,0.022070516
0.017369619,-0.08363626,0.0225319
0.015843507,-0.08284645,0.02456235
0.012401736,-0.08009876,0.023862181
0.0148844775,-0.0808767,0.02193483
0.02020904,-0.08260531,0.020614782
0.027429478,-0.08054157,0.019277297
0.014986568,-0.0808017,0.017644726
0.025607586,-0.08257269,0.013688781
0.01633076,-0.08111464,0.010580786
0.010044912,-0.08260797,0.013472382
0.0044144117,-0.08093515,0.013837473
0.0053036683,-0.0806724,0.00901265
0.01951056,-0.080076106,0.010523215
0.025120823,-0.08446945,0.0063690897
0.016738804,-0.07944272,0.0087190345
0.014074125,-0.081230804,0.007943775
0.008234448,-0.079634026,0.0057677543
0.0057408973,-0.08148337,0.0034028052
0.009378342,-0.08150286,0.0027219437
0.008592329,-0.07985391,-0.0019073699
0.00642048,-0.08058127,-0.0013359706
0.026807329,-0.083467975,0.00091993716
0.024708137,-0.08086376,0.0027257146
0.023181632,-0.07899536,0.0024903414
0.022189748,-0.08436347,-0.0010867375
0.020507965,-0.079475515,0.0015996497
