v1,v2,v3
0,1,2
0,2,3
3,4,0
0,5,1
6,7,8
7,9,8
10,8,9
11,12,13
11,13,14
15,16,17
16,3,2
1,17,16
16,2,1
13,18,19
5,0,20
19,18,21
22,20,0
23,24,19
19,21,23
20,22,25
26,27,28
28,29,30
28,31,29
26,28,32
28,30,32
32,30,33
34,33,30
33,35,36
7,37,9
9,37,38
39,6,8
38,10,9
40,6,39
8,41,39
40,39,42
10,38,43
39,44,42
8,10,41
45,41,10
42,44,15
46,12,11
15,44,16
42,15,17
12,18,13
14,13,19
14,19,47
17,1,48
1,5,49
1,49,48
4,50,0
51,19,24
52,21,18
5,20,53
0,50,22
54,21,52
21,54,23
25,55,20
22,50,56
22,56,25
28,27,57
27,26,58
58,26,59
58,59,60
59,26,61
26,32,61
59,62,60
35,63,36
62,64,60
32,33,65
66,65,33
33,36,66
66,36,67
7,68,37
6,40,69
6,70,7
71,43,38
40,42,72
39,41,73
42,17,74
11,14,47
11,47,75
76,74,17
16,77,3
78,79,80
3,77,81
12,82,18
3,81,4
19,83,47
17,48,76
78,76,48
19,51,83
4,84,50
84,51,50
48,49,85
24,50,51
53,20,86
24,56,50
24,23,56
20,55,86
56,23,87
54,87,23
25,56,87
55,88,86
89,88,55
55,25,89
90,91,92
31,93,29
30,29,94
27,58,95
33,34,96
33,96,35
35,97,63
59,98,62
99,60,64
65,66,100
66,67,101
102,101,67
100,66,101
103,62,104
64,62,103
68,105,37
6,106,70
7,70,68
38,107,71
72,69,40
39,73,44
43,108,10
41,109,73
11,75,46
110,46,75
44,111,16
80,79,112
113,78,80
78,113,76
81,84,4
48,79,78
84,83,51
79,48,114
48,85,114
85,49,115
5,53,49
116,52,117
54,52,116
118,119,120
118,120,121
121,120,122
87,54,116
123,121,122
122,124,123
86,88,125
25,87,126
89,25,126
127,128,129
128,130,129
128,131,130
132,129,130
91,133,134
133,91,90
133,90,135
133,135,136
137,90,92
135,90,138
139,138,90
90,137,139
28,57,31
29,140,94
29,93,140
60,95,58
27,141,57
94,140,142
34,30,94
35,96,97
143,63,97
59,61,98
36,144,67
36,63,144
98,145,62
62,145,104
146,99,64
64,103,146
147,37,148
37,147,38
38,147,107
72,42,74
149,150,80
45,109,41
149,80,112
80,150,113
111,77,16
47,151,75
12,46,152
12,152,153
46,110,152
12,153,82
112,79,154
79,114,154
82,52,18
155,117,52
155,52,82
117,155,156
119,118,157
156,158,117
118,159,157
118,121,160
122,120,124
116,117,158
124,161,123
126,87,162
161,88,89
161,89,163
128,127,164
133,165,166
134,133,166
130,167,168
169,170,129
129,132,169
130,168,132
171,169,132
171,132,168
168,172,171
173,139,137
57,174,31
97,175,143
63,143,176
177,178,179
61,32,180
32,65,180
144,63,176
60,99,181
182,180,65
183,181,99
100,182,65
101,184,100
185,103,104
101,102,186
187,103,185
102,188,186
6,69,106
189,71,107
69,72,150
69,150,149
190,70,106
191,108,43
150,72,113
74,113,72
111,44,73
45,10,192
193,192,10
151,194,75
149,112,195
113,74,76
149,195,196
197,47,83
153,152,198
77,199,81
82,153,200
81,199,83
81,83,84
114,85,115
155,82,200
155,200,201
202,156,155
53,86,203
202,204,156
86,125,205
118,160,206
158,156,162
158,162,116
207,162,156
162,87,116
124,208,161
161,208,88
123,161,163
209,210,164
128,164,210
209,165,211
164,165,209
164,127,212
127,129,170
130,213,167
165,133,214
168,215,172
214,133,136
134,216,91
217,91,216
218,219,135
219,136,135
217,92,91
92,220,137
218,135,221
138,221,135
138,139,222
223,224,225
226,95,60
57,141,174
227,174,141
228,226,60
223,179,229
60,181,228
95,141,27
177,179,223
223,225,177
34,94,96
61,180,98
96,230,97
231,179,178
97,230,175
231,178,232
67,233,102
232,178,234
185,104,145
233,188,102
101,186,184
146,103,187
105,235,148
105,148,37
147,236,107
237,68,70
107,238,189
149,239,69
240,69,239
69,240,106
241,106,240
70,190,237
242,191,43
43,71,242
111,73,109
10,108,193
243,244,110
239,149,196
75,245,110
110,244,152
111,246,77
151,47,197
77,246,199
152,247,198
152,244,247
248,195,112
112,154,248
153,198,200
196,195,249
197,83,199
196,249,250
114,115,251
115,49,251
155,201,202
251,49,203
53,203,49
159,252,157
86,205,203
121,253,160
254,253,121
121,123,254
163,254,123
254,163,255
208,125,88
256,257,206
206,160,256
126,162,207
126,258,89
210,259,128
165,164,212
165,212,260
213,130,261
260,166,165
127,170,212
128,262,131
130,263,261
211,165,214
131,263,130
169,171,264
134,265,216
136,219,214
266,218,221
217,267,92
222,139,268
137,220,269
221,138,270
270,138,222
139,173,268
271,268,173
269,173,137
31,272,93
93,272,273
274,224,223
31,275,272
93,273,140
174,275,31
179,276,229
181,277,228
143,278,176
182,145,98
98,180,182
233,67,144
231,232,279
280,281,232
234,178,282
184,283,100
280,232,234
284,183,99
188,285,286
99,146,284
287,284,146
146,187,287
187,185,288
105,185,235
235,289,148
186,188,286
148,290,147
185,105,288
147,290,236
105,68,288
238,286,189
68,237,288
106,241,190
71,189,242
243,291,244
193,108,191
243,110,291
151,193,194
194,292,75
75,292,245
246,109,45
45,192,246
151,197,293
197,199,293
195,248,249
294,250,249
200,198,295
198,247,296
249,297,294
202,201,298
201,200,295
249,299,297
202,300,204
298,201,301
201,295,301
295,302,303
157,304,305
157,305,119
303,301,295
119,305,120
306,120,305
252,307,157
120,306,124
308,156,204
206,309,118
159,118,309
208,205,125
156,308,207
256,160,253
257,310,206
207,258,126
255,163,89
89,258,255
311,210,312
312,210,209
313,213,261
213,313,167
212,170,314
212,314,260
315,261,263
316,211,214
265,166,260
166,265,134
169,264,317
318,264,171
215,319,172
320,171,172
214,219,321
219,218,321
92,267,220
173,322,271
274,323,224
223,229,324
174,227,325
95,326,141
175,327,143
276,179,328
225,282,177
177,282,178
329,144,176
181,183,277
145,182,330
230,331,175
144,329,233
281,279,232
145,330,185
283,182,100
233,332,188
280,234,333
185,330,235
184,186,283
334,183,284
188,332,285
289,290,148
187,335,287
288,335,187
186,286,336
107,236,238
286,285,189
240,337,241
110,245,291
244,291,338
196,339,239
111,109,246
194,340,292
151,293,193
341,244,338
196,250,342
154,343,248
154,344,343
293,199,246
244,341,247
114,344,154
345,299,249
248,345,249
251,344,114
198,296,295
202,346,300
297,299,347
299,345,347
205,251,203
298,301,348
296,302,295
307,304,157
305,349,306
204,300,308
309,206,350
306,208,124
258,207,308
310,350,206
254,255,253
351,256,253
253,352,351
255,258,353
354,311,312
354,312,355
356,313,261
209,355,312
211,357,209
128,259,262
262,263,131
167,358,168
170,169,317
170,317,314
216,359,217
217,359,267
274,324,360
173,269,361
274,223,324
362,224,363
364,324,276
229,276,324
364,276,365
224,366,225
227,367,325
143,327,278
276,328,368
179,231,328
94,142,369
94,369,370
94,370,96
282,225,371
96,370,230
279,328,231
372,281,280
277,183,373
280,374,372
235,330,289
336,283,186
288,237,335
285,375,189
191,242,376
191,376,377
240,239,339
240,339,337
338,291,378
340,193,377
193,340,194
245,379,291
192,193,293
380,379,245
293,246,192
292,340,380
292,380,245
196,342,339
247,341,381
251,382,344
247,381,296
202,298,348
296,381,383
384,294,297
205,382,251
297,385,384
302,386,303
347,385,297
205,208,306
309,350,387
350,310,388
389,388,310
310,390,389
253,255,353
253,353,352
310,257,390
351,352,391
257,392,390
257,256,392
256,351,392
356,393,394
393,356,261
395,210,311
210,395,259
261,315,393
357,355,209
211,316,357
313,358,167
260,314,265
314,317,396
168,358,215
318,317,264
318,171,320
214,321,397
265,398,216
398,359,216
266,221,399
221,400,399
401,400,221
221,270,401
360,323,274
360,402,323
403,360,324
323,363,224
364,403,324
174,325,275
224,362,366
368,365,276
141,326,227
327,175,404
175,331,404
278,329,176
405,230,370
230,405,331
281,406,279
234,282,333
407,330,182
233,329,408
281,372,409
280,333,374
183,334,373
182,283,407
233,408,332
332,410,285
411,372,412
336,236,407
336,286,236
238,236,286
372,411,413
411,412,414
285,415,375
413,411,416
189,375,417
413,416,418
411,419,416
420,242,417
242,189,417
377,193,191
421,242,420
291,379,378
421,376,242
418,416,422
423,386,424
250,425,342
302,424,386
426,424,302
384,422,294
423,427,386
302,383,426
202,348,346
345,428,347
296,383,302
429,304,307
385,347,428
385,428,430
205,306,349
159,309,431
159,431,252
307,252,431
309,387,432
433,434,435
434,436,435
437,387,350
350,388,437
388,389,438
388,438,439
435,436,440
258,308,441
389,442,438
258,441,353
352,353,391
353,443,391
353,441,443
392,444,390
351,391,392
445,394,446
447,446,394
448,394,445
449,394,393
394,448,356
356,450,313
313,450,451
452,453,354
354,355,452
393,454,455
393,315,454
315,263,454
313,456,358
316,457,357
316,214,458
459,265,314
214,397,458
265,459,398
215,460,319
461,319,462
319,461,320
319,320,172
397,321,458
463,266,399
266,463,464
266,464,218
465,269,220
466,271,322
402,363,323
361,322,173
272,467,273
363,468,362
403,364,469
362,468,470
226,228,471
364,365,472
364,472,469
226,473,95
474,142,140
95,473,326
475,228,277
369,142,474
476,278,327
225,366,371
278,476,477
278,477,478
278,478,329
328,279,479
