L,I,A
0.014933346,-0.08571286,0.005400756
0.019036572,-0.085277185,0.0064406875
0.017398542,-0.085864656,0.008581461
0.015855135,-0.08465244,0.008812896
0.014274439,-0.08398124,0.006694862
0.017001757,-0.084797,0.0051146746
0.020165274,-0.08346742,0.019109227
0.013773552,-0.08412897,0.019626183
0.017983735,-0.084884785,0.01797681
0.012476664,-0.0846302,0.019784505
0.012441901,-0.0844676,0.01516654
0.00855345,-0.08400543,0.012634069
0.00818643,-0.08389443,0.011277758
0.008058572,-0.0855856,0.008473962
0.010205386,-0.08435989,0.010479767
0.020989569,-0.084534235,0.011462057
0.01915347,-0.08465089,0.010319621
0.021074506,-0.084222995,0.008357278
0.0065030726,-0.08408977,0.006084673
0.008744015,-0.08536517,0.0058100414
0.016248459,-0.08511441,0.0013815111
0.0071680965,-0.08464954,0.00288943
0.014433806,-0.08461037,0.00012856947
0.007780259,-0.08455477,-3.1821596e-06
0.012443716,-0.08383031,0.0023682697
0.013014381,-0.08447749,-0.0025557464
0.01821896,-0.08378155,0.0355327
0.018191313,-0.08232575,0.035819218
0.014047679,-0.083882205,0.03713227
0.009919064,-0.08376401,0.036947384
0.011433522,-0.0844236,0.03513291
0.009521932,-0.08203741,0.038735803
0.015076785,-0.08321483,0.03112211
0.01092382,-0.08416751,0.0320006
0.011365503,-0.08361738,0.034022048
0.007901359,-0.08335004,0.031496093
0.008385987,-0.08419754,0.030396197
0.0119125685,-0.08278961,0.021763839
0.008181347,-0.08312255,0.018115196
0.02003279,-0.08355001,0.016861724
0.023197573,-0.08331226,0.016540913
0.015713077,-0.084115595,0.014669769
0.022997739,-0.08363658,0.012631923
0.010080161,-0.08254061,0.016711703
0.02127826,-0.082862474,0.014150321
0.016033819,-0.080562234,0.011674137
0.006147346,-0.08238162,0.012764768
0.0121437125,-0.08169161,0.010324352
0.022701472,-0.08356578,0.004416346
0.018528538,-0.08096119,0.004512445
0.013817455,-0.08356735,0.0011963353
0.011441263,-0.08328551,0.004741983
0.0071997372,-0.083547264,0.003761212
0.017349074,-0.08211974,0.0025482576
0.0061196988,-0.08245598,-0.00018738526
0.01732092,-0.08386103,-0.0028807335
0.00985675,-0.08362504,-0.0017110694
0.01251117,-0.081907004,0.037153274
