v1,v2,v3
0,1,2
3,0,2
4,3,2
0,5,1
6,2,1
4,7,3
4,2,8
5,9,1
10,8,2
2,6,10
11,5,0
12,0,3
12,3,7
7,13,12
4,13,7
14,13,4
4,8,14
15,1,9
16,9,5
1,15,6
11,0,12
13,17,12
8,18,14
14,17,13
16,19,9
5,11,16
20,6,15
11,12,21
20,10,6
12,22,21
17,22,12
18,8,10
17,14,23
19,15,9
10,24,18
25,23,14
18,25,14
16,26,19
26,16,21
27,26,21
15,19,28
21,16,11
15,28,20
20,24,10
17,29,22
23,29,17
19,30,28
22,31,27
21,22,27
24,28,30
28,24,20
29,32,22
25,29,23
29,25,33
33,25,24
25,18,24
27,34,26
34,30,26
26,30,19
31,22,32
32,29,33
35,27,31
34,27,35
34,35,30
35,31,32
35,33,30
32,33,35
30,33,24
