L,I,A
0.013566542,0.023290519,0.036508054
0.014182387,0.026967512,0.037648033
0.0148384385,0.023433933,0.034288533
0.014265584,0.0198395,0.03443917
0.01216748,0.01934889,0.030834142
0.0128027545,0.024610203,0.038239945
0.011773667,0.027062666,0.035565395
0.0120759625,0.018663846,0.033264093
0.011858111,0.020884398,0.030309636
0.010272263,0.025072735,0.040492173
0.011044619,0.022739574,0.032609977
0.008982051,0.022184266,0.036566272
0.011316274,0.017908914,0.03402266
0.011397658,0.015584658,0.029733973
0.01079987,0.01787458,0.027599305
0.008259766,0.025806434,0.039702628
0.007903151,0.02302971,0.03970781
0.010206423,0.013161142,0.028939925
0.009163633,0.019560248,0.028017677
0.006765637,0.023419665,0.04071747
0.00845579,0.02611509,0.035862498
0.008068059,0.019142063,0.03557123
0.0073767398,0.014517137,0.033380233
0.008869155,0.014629189,0.027894484
0.005474201,0.019718582,0.03210253
0.007558185,0.017369807,0.027974917
0.0061946395,0.020093486,0.04208853
0.006373419,0.017164297,0.03796762
0.0071449624,0.024953693,0.036879443
0.006585155,0.013497363,0.030060032
0.004853663,0.019506073,0.035363603
0.00543529,0.013587099,0.036836673
0.0052462886,0.014577546,0.03269552
0.0046968414,0.016135693,0.031100476
0.0051866225,0.018096598,0.037950106
0.0045355046,0.015248055,0.036041897
