v1,v2,v3
0,1,2
0,2,3
4,0,3
4,5,0
4,6,5
3,7,4
8,4,7
9,4,8
1,10,2
11,12,5
13,5,12
1,0,13
7,3,2
5,13,0
6,4,14
4,9,14
15,12,11
13,10,1
5,16,11
6,16,5
7,17,18
18,8,7
18,9,8
19,7,2
9,20,21
22,12,23
22,13,12
22,10,13
23,12,15
24,2,10
14,9,21
25,18,17
25,26,18
26,20,9
26,9,18
24,19,2
27,15,11
28,27,11
11,16,28
28,16,6
14,29,6
22,24,10
30,19,24
31,15,27
19,32,7
7,32,17
29,28,6
33,25,17
29,14,34
14,21,34
23,35,22
35,36,22
23,15,37
24,38,30
30,32,19
39,27,28
17,32,33
40,25,33
40,26,25
20,41,21
36,24,22
23,37,35
31,37,15
41,34,21
26,42,20
35,37,43
30,44,32
27,45,31
39,45,27
44,46,32
32,46,33
39,29,47
39,28,29
48,34,41
46,40,33
36,49,24
38,24,49
30,38,50
50,44,30
46,51,40
41,20,42
40,42,26
52,36,35
37,53,43
38,49,50
31,53,37
31,45,54
29,34,47
34,55,47
44,56,51
44,51,46
42,40,51
43,52,35
52,49,36
57,45,39
47,57,39
56,44,50
55,34,48
55,48,58
51,59,42
45,60,54
57,60,45
47,55,61
59,51,56
59,58,42
58,48,41
58,41,42
31,54,53
62,63,49
63,50,49
57,47,61
56,50,63
58,64,55
43,65,52
65,62,52
62,49,52
43,53,66
65,43,66
53,54,66
60,66,54
67,60,57
56,63,64
64,61,55
64,58,56
58,59,56
66,60,67
57,61,67
67,61,68
65,69,62
62,69,63
66,67,68
63,69,68
68,64,63
68,61,64
69,65,66
66,68,69
