L,I,A
0.029035432,0.010374965,0.018881148
0.027451077,0.009185822,0.020798046
0.02782597,0.0118378,0.02233921
0.028208625,0.0140554905,0.019170422
0.029512635,0.011217483,0.014221717
0.02735906,0.0064347205,0.018842265
0.02589008,0.007663189,0.015975919
0.026928024,0.016269855,0.019129192
0.028043617,0.012950885,0.013262498
0.027482348,0.01168329,0.011173538
0.024448162,0.00943581,0.022200378
0.027013803,0.0017786514,0.019924236
0.026902996,0.0031163879,0.021246701
0.026706358,0.0068077343,0.02073568
0.026477085,0.009195442,0.014659124
0.02518743,-0.0003742619,0.021156363
0.025296675,0.004488443,0.017945595
0.025640342,0.016855799,0.018061655
0.025456252,0.014124436,0.011538019
0.025101624,0.013952249,0.021998327
0.023754481,0.013123269,0.0105277505
0.022993585,0.011837637,0.011382025
0.022427859,0.0067168693,0.024328478
0.023178346,0.0031233134,0.023622768
0.021965867,0.01174609,0.022757916
0.02301087,0.01778834,0.013594829
0.022928027,0.01559603,0.010443904
0.021467267,0.002123256,0.018703965
0.021316199,0.006013075,0.01597092
0.020625027,0.008501368,0.0151391905
0.020186815,0.01551701,0.020912362
0.018765444,0.001249572,0.02003025
0.020712163,0.018360866,0.018781317
0.020452816,0.019503912,0.016453523
0.019273276,0.00989403,0.014145734
0.018788878,0.00575874,0.0250341
0.017924815,0.0076570595,0.025334734
0.018949604,0.001153519,0.022483822
0.019715695,0.013192487,0.021844523
0.019844001,0.0044103796,0.0174554
0.019818123,0.017125053,0.010448223
0.018135209,0.011764415,0.01097933
0.017378528,0.014692108,0.010041507
0.014393067,0.0022111502,0.02357706
0.018081754,0.017983131,0.018637994
0.016898548,0.003346903,0.017920414
0.019367507,0.0192022,0.016424203
0.017235149,0.008827585,0.01725004
0.017283417,0.010599543,0.012577682
0.015820105,0.010092092,0.023595102
0.015885621,0.014036848,0.01938519
0.017272975,0.016443698,0.010983136
0.015322085,0.006545619,0.024979139
0.014553929,0.0016911972,0.02232644
0.014619134,0.0027413692,0.019306198
0.015117106,0.01048145,0.01499028
0.013959858,0.01347204,0.016147396
0.015174927,0.007905937,0.01821777
0.014130901,0.012046219,0.012441472
0.014680827,0.013997301,0.01312067
0.013759278,0.005353633,0.018594204
0.012515685,0.010552969,0.01589597
0.013230816,0.009704064,0.021357637
0.01230343,0.011802739,0.018804519
0.013673035,0.01199483,0.015216923
0.012188728,0.006603526,0.021127779
0.011873786,0.005612392,0.019503303
0.012330234,0.0076758526,0.018141538
0.010364265,0.009921321,0.016595146
0.009358624,0.00824812,0.019107832
