v1,v2,v3
0,1,2
0,3,1
3,4,5
4,6,7
8,1,3
9,1,8
10,3,5
8,3,10
5,4,11
11,4,7
12,1,13
13,1,9
14,13,9
15,5,11
15,11,16
17,8,10
18,10,5
18,5,15
18,15,19
20,21,22
20,23,21
24,22,25
25,22,21
21,26,27
21,24,25
21,27,28
21,28,24
29,30,31
32,2,31
32,0,2
0,32,33
0,33,4
29,31,34
35,31,2
34,36,37
35,34,31
3,0,4
4,38,6
37,36,39
36,34,40
40,34,35
35,2,12
1,12,2
39,41,42
39,36,41
43,36,40
44,40,35
44,35,45
45,35,12
46,11,7
47,42,41
45,12,13
47,41,43
43,41,36
43,40,48
48,40,44
49,42,47
50,47,43
51,49,47
51,47,50
43,48,52
18,17,10
23,49,51
50,43,52
11,53,16
54,50,52
19,15,16
49,20,55
56,50,54
51,50,56
57,18,58
18,19,58
16,59,19
20,22,55
23,20,49
23,51,56
60,23,56
22,27,55
26,55,27
26,21,23
23,60,61
23,61,26
27,22,28
24,28,22
31,30,32
4,33,62
4,62,38
34,37,29
38,63,6
63,7,6
64,39,42
65,39,64
42,66,67
42,67,64
68,9,8
17,68,8
49,66,42
11,69,53
59,16,53
55,66,49
70,56,54
55,26,61
70,60,56
71,19,59
61,60,70
58,19,72
72,19,71
73,33,32
62,33,73
30,73,32
62,63,38
74,75,37
37,75,29
76,7,63
39,65,37
74,37,65
46,7,76
77,13,14
11,46,69
52,48,78
68,14,9
78,54,52
66,55,67
79,67,55
18,57,17
53,69,80
81,82,70
70,54,81
82,55,61
83,57,58
84,71,59
85,72,71
71,84,85
86,72,85
87,73,30
30,29,87
29,75,87
62,76,63
74,88,75
89,74,65
74,89,88
65,64,90
46,91,69
90,64,67
44,92,48
77,45,13
14,68,77
79,90,67
92,44,45
77,68,93
94,54,78
94,95,54
55,82,79
81,54,95
81,95,96
59,53,80
70,82,61
80,84,59
97,83,72
58,72,83
73,98,62
87,75,99
88,100,75
75,100,99
62,98,76
91,46,76
90,89,65
45,77,92
89,90,101
48,102,78
48,92,102
101,90,95
90,79,96
90,96,95
103,68,17
96,79,81
103,17,104
57,104,17
69,105,80
82,81,79
106,84,80
84,106,107
83,97,108
86,97,72
98,109,76
77,110,92
89,101,94
102,94,78
95,94,101
103,93,68
84,107,85
85,111,86
112,87,99
112,73,87
112,98,73
88,113,100
100,113,114
113,88,89
115,113,89
91,116,69
94,115,89
102,115,94
117,102,92
77,93,110
57,83,104
104,83,118
108,118,83
85,107,111
97,119,108
100,120,99
120,112,99
109,98,112
114,120,100
109,91,76
113,115,121
122,102,117
92,123,117
110,123,92
93,124,110
69,116,105
93,103,124
105,125,80
80,125,106
126,127,111
111,127,86
127,97,86
120,128,112
112,128,109
114,113,121
120,114,129
109,116,91
122,121,115
130,121,131
121,122,131
114,121,130
115,102,122
117,131,122
131,117,130
110,132,123
133,110,124
104,124,103
134,124,104
104,118,134
106,125,107
107,125,135
108,134,118
136,126,111
136,111,135
111,107,135
137,108,119
97,138,119
127,138,97
137,119,139
129,128,120
114,140,129
141,114,130
129,140,142
114,141,140
130,117,141
123,140,117
141,117,140
141,140,123
143,141,123
123,132,143
110,133,132
133,124,144
134,144,124
105,135,125
134,108,137
127,126,145
138,127,146
119,138,139
147,137,139
128,129,148
109,149,116
143,140,141
143,142,140
132,150,143
151,133,144
152,145,126
153,144,134
136,152,126
137,153,134
127,145,146
147,153,137
128,148,109
109,148,149
129,154,148
129,142,154
149,105,116
155,142,143
155,143,150
149,135,105
142,155,156
157,150,132
133,157,132
157,133,151
153,151,144
157,151,158
147,159,153
138,160,139
160,147,139
148,161,149
161,135,149
142,156,154
161,152,135
162,152,161
155,150,157
157,156,155
156,157,158
154,156,163
162,145,152
135,152,136
154,163,162
162,146,145
156,158,159
158,151,159
162,163,146
159,151,153
164,159,147
146,160,138
160,164,147
148,154,161
161,154,162
159,163,156
159,164,163
163,160,146
164,160,163
