L,I,A
0.02017065,0.007300608,0.055428416
0.02082632,0.0071785855,0.05273601
0.019705366,0.0031781096,0.05525783
0.020586029,0.011982841,0.053476177
0.020268805,0.015838798,0.054465793
0.021102007,0.018454688,0.051548503
0.019529952,0.017520519,0.05475049
0.019104637,0.021461265,0.053646717
0.020285184,0.011537842,0.051181864
0.020374162,0.008419752,0.0509372
0.020568457,0.014702395,0.051171366
0.01998471,0.025666986,0.05214823
0.019728951,0.0032885023,0.053107057
0.018908458,0.0041904952,0.051252976
0.019354522,0.007239071,0.050199073
0.02083581,0.024231944,0.04903605
0.01993148,0.026775394,0.048053894
0.017765164,0.015393775,0.04785149
0.020374509,0.022847721,0.046564072
0.019705268,0.027888894,0.043095518
0.020455604,-0.02648334,0.04578702
0.020602506,-0.026331818,0.04298985
0.020247499,-0.027380977,0.042693138
0.019964945,-0.023466727,0.043688368
0.021241417,-0.028171603,0.037477694
0.021528987,-0.02812651,0.042321887
0.019095102,-0.02484962,0.042097572
0.01951894,-0.025951695,0.04108657
0.019141214,-0.025803348,0.038051378
0.018176174,-0.0052388054,0.055522814
0.017839914,0.00013596073,0.057345927
0.019319894,-0.00084479485,0.055943705
0.018686928,0.004000753,0.05670785
0.018357739,0.009252625,0.057837065
0.01949763,-0.005022643,0.054337647
0.019991355,-0.0020735925,0.053807702
0.01977314,-0.011874034,0.053351253
0.018857244,-0.01236238,0.055166177
0.01892755,0.01596565,0.056104206
0.018508023,-0.01490363,0.052217375
0.019605296,-0.007162958,0.052309874
0.0193203,-0.015468171,0.051334057
0.01911234,-0.023561608,0.052150626
0.019604197,-0.013046429,0.050217953
0.019182844,-0.0035783828,0.051057056
0.01875775,0.001125908,0.051656462
0.019036442,0.025747906,0.05194444
0.019898955,-0.019769533,0.050509807
0.018321143,-0.009236622,0.0498171
0.019592557,-0.024346886,0.045866024
0.02005359,-0.016832395,0.047697354
0.019732833,-0.021345261,0.046260957
0.018975219,-0.013778557,0.04757268
0.017745284,0.029757502,0.045398515
0.018662253,-0.016223025,0.045434024
0.018175302,-0.02460029,0.044498544
0.018956337,-0.020051057,0.044529416
0.016605537,0.018246677,0.04548834
0.018904056,0.02517802,0.04293717
0.018648041,0.030087614,0.043706793
0.018884996,-0.021770118,0.042543728
0.01748923,-0.023233691,0.041034453
0.0175345,0.011371759,0.058208812
0.01749935,0.01685428,0.055752907
0.018269962,-0.018668832,0.051805392
0.017360056,-0.014114453,0.05279601
0.018778857,-0.023813108,0.04704582
0.018138805,-0.021742968,0.048438437
0.016684031,0.01103265,0.048327383
0.017495034,0.027198194,0.049167797
0.017609192,-0.01986927,0.044094723
0.018398864,0.02954843,0.040491663
0.018043516,0.027788762,0.03878169
0.016727053,0.004816211,0.056824002
0.017219296,-0.011310598,0.054991916
0.016137145,-0.004484636,0.0553695
0.01587281,0.019367347,0.05392708
0.015762977,0.004666094,0.04926382
0.01633623,-0.011892767,0.047828257
0.015814435,-0.018810317,0.045611296
0.015441081,0.030294511,0.043148234
0.017045647,-0.017340327,0.045017954
0.016650593,-0.02067126,0.044554356
0.015778821,0.021574263,0.04142168
0.016268346,0.030395364,0.039848078
0.016683241,0.028530633,0.03779719
0.014614385,0.024947582,0.03706779
0.01683979,0.00023466315,0.057209358
0.015669767,-0.007374584,0.054278053
0.0148630915,-0.0133976415,0.048703082
0.015748687,-0.017402202,0.047178637
0.012494476,0.021008262,0.05106772
0.014310728,-0.000620343,0.0477662
0.013440945,0.008331495,0.047818746
0.01479809,-0.012772857,0.047659505
0.015196813,-0.01564341,0.046585582
0.014293837,-0.016453791,0.046163775
0.014596953,0.023373881,0.037226774
0.014591202,0.01167056,0.05543971
0.0153529355,-6.288923e-05,0.05612173
0.014353351,-0.0031227514,0.054387666
0.014282036,-0.01419657,0.047222156
0.01326658,-0.009448971,0.047423728
0.013544943,0.0131822685,0.045625888
0.012809168,0.017804103,0.04357473
0.010692687,0.026582653,0.043832798
0.014130915,0.031112486,0.041508358
0.012572741,0.030012969,0.039473586
0.012063464,0.020981768,0.037671868
0.011381823,0.01682308,0.051986195
0.0124451285,0.0058746035,0.045569602
0.0132971825,0.027119756,0.037678998
0.012328822,0.007853637,0.053988468
0.012262032,-0.007228378,0.04989284
0.011812533,0.0017444638,0.05043797
0.012071771,-0.009431076,0.047984477
0.010012773,0.02412406,0.04723976
0.012960931,-0.002138222,0.047473952
0.012178424,0.019591838,0.041267063
0.011492749,0.021391932,0.036159065
0.011760886,0.0054901014,0.052913975
0.011872708,-0.0032135488,0.04930727
0.012254223,-0.0037422148,0.047904268
0.01137582,0.0040944405,0.045085542
0.01157191,0.011371765,0.04384846
0.01094489,0.029514052,0.041767094
0.010460137,0.024851348,0.040356744
0.012479992,0.023914188,0.037557494
0.0105866315,0.011203903,0.05159116
0.009228865,0.012389906,0.04824746
0.010822136,-0.0011751147,0.046930913
0.011441403,-0.002970544,0.047355715
0.009900904,0.0066507673,0.041933373
0.010602948,0.008416976,0.04170102
0.010061035,0.015827369,0.040852927
0.009028865,0.028138263,0.040079348
0.008921953,0.026986428,0.03957306
0.011140669,0.017890828,0.035705797
0.009792596,0.021665877,0.035666853
0.010630816,0.019101279,0.034904107
0.010560698,0.0037709665,0.045114074
0.009497652,0.002076763,0.044429038
0.009387523,0.010212514,0.04459435
0.00983675,0.005625586,0.043692306
0.009683104,0.012787049,0.040468704
0.008478296,0.023833275,0.04044221
0.008175404,0.02214848,0.037325036
0.008044655,0.015211261,0.034111936
0.007416126,0.018960606,0.044814203
0.008035531,0.022931976,0.04521421
0.008692533,0.0056871166,0.042388428
0.00821845,0.012952204,0.039024565
0.00845686,0.02540398,0.04060656
0.009338326,0.013827288,0.038981404
0.006522112,0.016873742,0.039723046
0.007871465,0.0073384657,0.041938778
0.0077754823,0.013076496,0.040359315
0.0067033633,0.008935215,0.03877281
0.0077055385,0.012341492,0.03945653
0.007468702,0.01425988,0.03781851
0.008088636,0.01780088,0.03501371
0.0069168443,0.021821817,0.042606357
0.0072345575,0.022560354,0.040879957
0.006181178,0.016857449,0.038077462
0.00711725,0.0152125275,0.034108765
