v1,v2,v3
0,1,2
3,4,0
0,4,1
0,2,5
5,2,6
2,1,7
4,3,8
9,4,8
1,4,9
1,10,7
11,8,3
5,12,0
10,1,9
6,2,13
7,10,14
11,3,15
8,11,16
0,15,3
12,15,0
8,17,9
12,5,18
6,18,5
19,13,2
7,19,2
20,21,22
23,22,21
20,24,21
16,25,8
25,26,8
27,28,23
18,29,12
30,31,32
32,33,30
31,30,34
18,6,13
7,14,19
35,24,36
20,36,24
21,24,37
15,12,38
26,39,8
27,23,21
39,17,8
17,10,9
40,41,32
33,32,42
29,38,12
31,40,32
43,44,45
45,44,40
31,45,40
30,33,46
18,47,29
48,14,10
30,46,34
47,18,13
43,45,49
49,45,31
31,34,49
50,34,46
19,51,13
52,20,22
53,35,54
24,35,37
35,53,37
11,15,38
25,55,26
28,22,23
16,11,25
21,41,27
41,21,37
38,29,11
11,29,25
40,27,41
42,32,41
44,28,27
44,27,40
33,56,57
44,43,58
33,57,59
33,59,46
49,60,43
13,59,47
51,59,13
61,49,34
61,34,50
36,54,35
20,62,36
22,63,52
22,28,63
42,53,33
33,53,56
64,55,25
17,39,65
41,37,42
25,29,64
10,17,66
67,58,68
28,44,67
44,58,67
69,64,70
70,64,29
29,47,70
71,58,43
59,57,47
43,60,71
72,14,48
71,60,73
19,74,51
75,19,14
73,60,49
62,52,76
36,77,54
20,52,62
52,63,78
64,26,55
79,63,28
53,42,37
39,26,64
17,80,66
28,81,79
28,67,81
17,65,80
82,81,68
81,67,68
68,83,82
58,83,68
47,57,84
48,10,85
71,83,58
46,86,50
59,86,46
75,14,72
86,59,51
87,74,19
49,61,73
76,88,62
62,88,77
62,77,36
54,89,53
63,79,90
90,79,81
53,89,56
91,57,56
92,39,64
64,69,92
65,39,92
82,93,81
10,66,94
57,91,84
84,69,70
94,85,10
47,84,70
95,48,85
96,75,72
73,97,71
19,75,87
75,98,87
61,50,99
52,78,76
63,90,100
81,93,101
100,90,81
92,69,84
82,102,93
85,103,95
95,72,48
103,104,95
83,71,105
98,106,87
73,107,97
86,51,108
86,99,50
109,73,61
99,110,61
111,76,78
54,77,112
78,63,111
112,89,54
65,113,80
89,91,56
113,66,80
81,101,100
114,92,84
92,115,65
65,115,113
116,102,82
116,82,105
83,105,82
104,103,117
103,118,117
72,95,119
118,120,117
96,72,119
97,105,71
87,106,74
106,108,51
107,73,121
109,121,73
122,109,61
122,61,110
99,86,123
88,124,112
76,111,88
77,88,112
111,63,100
125,89,112
126,127,66
126,66,128
66,127,129
130,131,93
131,101,93
125,91,89
113,128,66
66,129,94
130,93,102
92,114,132
113,115,128
133,94,129
134,133,129
114,84,91
85,94,135
94,133,135
118,103,136
137,138,139
104,117,140
141,105,97
96,98,75
74,106,51
123,86,108
142,122,110
142,110,99
143,144,111
124,88,144
111,144,88
145,146,147
148,146,145
149,148,145
150,91,125
129,151,134
128,133,152
115,133,128
130,102,116
135,115,92
133,115,135
133,134,152
85,135,153
153,103,85
154,137,139
139,155,154
136,120,118
103,153,136
138,155,139
156,120,136
157,104,140
95,104,157
95,158,119
157,158,95
159,160,137
156,117,120
161,96,119
96,161,98
161,162,98
106,163,108
123,108,164
165,122,142
99,123,142
166,167,147
124,168,148
146,148,168
166,147,146
124,148,112
112,148,149
169,149,145
101,143,100
100,143,111
151,129,127
112,149,125
149,170,125
170,150,125
150,114,91
92,132,171
172,126,173
173,126,128
174,131,130
171,135,92
175,116,105
176,159,137
176,137,154
161,119,158
175,105,177
178,179,159
157,140,180
138,137,160
117,181,140
180,140,162
181,162,140
162,161,180
141,177,105
97,107,141
182,98,162
182,106,98
183,121,109
108,163,164
165,183,109
165,109,122
184,142,123
185,144,143
186,124,144
187,168,124
187,124,186
188,147,167
188,189,147
101,190,143
147,189,145
127,172,151
149,169,170
191,169,145
192,191,145
126,172,127
131,193,101
114,194,132
173,134,151
173,152,134
152,173,128
116,174,130
195,155,196
197,198,116
195,154,155
199,196,155
136,153,200
138,199,155
138,201,199
202,156,136
157,200,158
203,158,200
176,178,159
117,156,202
202,200,157
204,201,138
117,202,205
180,205,157
206,159,179
159,206,207
159,207,160
205,181,117
182,162,181
208,141,107
182,209,106
209,210,163
163,106,209
211,123,164
212,146,168
146,212,166
213,167,166
187,186,214
190,185,143
186,144,215
170,169,216
150,194,114
173,151,172
198,174,116
195,176,154
217,218,219
136,200,202
197,116,175
219,220,217
157,205,202
180,221,205
222,221,180
180,161,222
223,175,177
204,138,160
207,224,160
204,160,224
207,206,224
208,107,121
225,121,183
226,164,163
226,163,210
227,165,142
184,123,211
228,227,142
184,228,142
229,212,168
230,213,166
230,166,212
187,229,168
167,213,231
188,167,231
190,232,185
190,101,233
144,185,215
101,193,233
191,216,169
192,145,234
234,145,189
193,131,235
216,150,170
194,236,132
153,135,171
237,195,196
238,196,199
203,200,153
201,219,199
201,239,219
222,158,203
220,240,217
161,158,222
175,223,197
221,222,203
241,206,179
221,181,205
182,181,221
242,224,206
243,209,182
244,208,121
187,245,246
214,245,187
214,247,245
189,188,231
214,248,247
214,186,215
185,232,248
185,248,215
249,234,189
191,192,150
192,234,236
235,131,174
150,192,194
194,192,236
236,234,132
132,250,171
234,250,132
251,153,171
252,237,196
238,252,196
251,203,153
217,253,218
219,239,220
254,239,201
179,255,241
254,201,204
256,182,221
241,242,206
243,210,209
257,258,259
226,211,164
260,229,246
230,261,213
246,229,187
247,262,245
190,262,232
232,262,247
263,189,231
248,232,247
248,214,215
249,189,263
216,191,150
249,250,234
198,235,174
237,264,195
218,265,266
218,253,265
267,203,251
199,268,238
218,266,219
264,176,195
268,199,219
240,253,217
240,220,269
270,197,223
203,256,221
141,208,177
243,182,256
271,244,121
225,271,121
225,183,272
165,273,183
227,273,165
212,274,275
229,274,212
212,275,230
261,276,213
213,276,231
246,245,262
276,263,231
277,193,235
193,278,233
198,279,235
280,198,197
266,268,219
281,203,267
280,197,282
240,283,253
284,178,264
264,178,176
197,270,282
178,285,179
281,286,203
286,281,287
287,281,288
254,289,239
239,269,220
290,291,204
291,254,204
289,292,239
286,256,203
293,294,255
294,242,255
242,241,255
224,290,204
295,292,257
296,258,257
257,297,296
259,295,257
298,299,258
258,299,300
300,259,258
301,226,210
302,272,183
303,183,273
273,227,303
304,184,211
274,229,260
305,230,275
261,230,305
246,262,306
307,233,308
262,233,307
190,233,262
278,308,233
309,250,249
249,263,309
310,278,193
250,311,171
251,171,311
312,252,238
313,267,251
312,266,265
314,288,315
268,312,238
312,268,266
281,267,315
281,315,288
316,288,314
280,282,270
255,179,285
289,297,292
292,269,239
286,287,317
294,318,242
224,242,318
224,318,290
297,257,292
208,319,177
320,210,243
321,298,258
303,302,183
184,304,228
227,322,303
276,261,323
263,276,324
276,325,324
324,309,263
309,326,250
277,310,193
250,326,327
279,277,235
252,328,237
311,313,251
279,280,329
279,198,280
265,253,330
313,311,331
314,315,332
332,333,314
283,330,253
333,316,314
316,334,288
333,335,316
270,336,280
280,336,329
337,283,240
288,334,287
270,223,336
285,178,284
287,334,338
255,339,293
338,317,287
340,293,339
318,341,290
291,342,343
254,291,343
286,344,256
344,286,317
223,177,319
345,294,293
296,289,321
289,296,297
256,320,243
321,258,296
259,346,295
320,347,210
348,299,298
347,301,210
346,259,300
228,322,227
274,260,349
275,274,350
305,275,351
246,352,260
305,323,261
352,246,306
276,323,325
307,308,353
309,324,354
355,326,309
354,355,309
326,356,327
357,277,279
327,358,250
358,311,250
355,354,311
265,328,312
265,359,328
265,360,359
361,360,265
328,362,237
328,252,312
265,330,361
332,315,363
267,313,315
363,334,316
315,334,363
335,363,316
313,334,315
364,337,240
364,240,269
365,340,339
339,255,285
341,318,345
289,254,343
321,289,343
344,317,366
319,367,223
293,340,345
318,294,345
291,290,342
290,368,342
295,269,292
320,256,344
244,319,208
271,225,369
300,299,370
300,371,346
272,372,225
370,371,300
373,226,301
211,374,304
274,349,375
350,351,275
376,325,323
377,306,262
377,262,307
353,308,378
325,379,324
380,326,355
310,308,278
356,327,360
380,355,358
380,358,381
311,358,355
382,357,279
