L,I,A
0.052323267,-0.032114852,-0.015082362
0.053099614,-0.022146128,-0.017359037
0.052719396,-0.02316028,-0.019018035
0.05164853,-0.031394094,-0.013953731
0.052276533,-0.02427792,-0.0152731575
0.05195501,-0.030288085,-0.01729612
0.05168992,-0.025947634,-0.019068517
0.051493578,-0.01987965,-0.019425191
0.050948165,-0.023531089,-0.0143312095
0.05040997,-0.01810998,-0.015975514
0.04916769,-0.0163956,-0.016833408
0.046782587,-0.030168526,-0.012980574
0.048437733,-0.032275196,-0.015592304
0.04774815,-0.02494432,-0.021302523
0.04712557,-0.015278404,-0.02298788
0.046602618,-0.030885,-0.012579054
0.04694751,-0.028312651,-0.013309991
0.04669606,-0.01728429,-0.014982884
0.04874882,-0.027482389,-0.018953433
0.0473198,-0.017554387,-0.023642873
0.048236094,-0.038676705,-0.011766764
0.04877323,-0.040913966,-0.014215634
0.04741287,-0.042585615,-0.012217938
0.049710054,-0.04411195,-0.015369358
0.048341393,-0.0359968,-0.012128657
0.045712627,-0.026179157,-0.012726108
0.045283277,-0.024401516,-0.01278862
0.047648337,-0.04222361,-0.016742332
0.04639011,-0.046380494,-0.015497142
0.046810776,-0.026803829,-0.018601123
0.04867866,-0.03336125,-0.019522978
0.048679035,-0.038332876,-0.019576592
0.048457492,-0.033671364,-0.017746445
0.04763103,-0.0311546,-0.017579436
0.048295666,-0.035760835,-0.02186092
0.04728448,-0.034171555,-0.010979759
0.047089737,-0.035387665,-0.010569495
0.045790415,-0.03433224,-0.014527649
0.04694011,-0.03089809,-0.015060524
0.04581908,-0.021270266,-0.014176529
0.047014397,-0.04008757,-0.017546251
0.045110542,-0.036168166,-0.016050369
0.04592382,-0.033915754,-0.015866432
0.047037337,-0.04512877,-0.020658256
0.04644155,-0.043949567,-0.0177009
0.04761301,-0.040999755,-0.020435102
0.04661932,-0.029574824,-0.021322042
0.04635556,-0.026703594,-0.020116307
0.046540905,-0.015035424,-0.019928133
0.047531504,-0.038608234,-0.022481669
0.045210037,-0.032250833,-0.024496276
0.044271316,-0.022599164,-0.024060361
0.04463368,-0.042194556,-0.009793762
0.044193815,-0.031258464,-0.012430782
0.04331675,-0.03143892,-0.010872264
0.04500778,-0.02565487,-0.011906359
0.044406924,-0.028510727,-0.013636829
0.045268502,-0.027263962,-0.018332504
0.045738835,-0.048173673,-0.01790203
0.045965597,-0.027291194,-0.02223913
0.046607368,-0.04377728,-0.022985518
0.043572128,-0.03747119,-0.02693012
0.045488905,-0.038932778,-0.010642626
0.043944657,-0.044834416,-0.012438776
0.04435492,-0.02332426,-0.014461162
0.042443316,-0.019708987,-0.01334263
0.041086573,-0.016104411,-0.013431505
0.045578856,-0.047761645,-0.015269001
0.045824114,-0.049849037,-0.016150841
0.04350649,-0.023360047,-0.015654257
0.044811286,-0.024767498,-0.018563306
0.04369186,-0.05015784,-0.023242684
0.043594915,-0.013284854,-0.02213874
0.04392994,-0.04366565,-0.026863053
0.04249885,-0.018731935,-0.024468843
0.04400169,-0.014018726,-0.024718856
0.041598465,-0.039989475,-0.010102615
0.0428078,-0.033291243,-0.009657881
0.042889748,-0.042981274,-0.010714202
0.044749815,-0.04697466,-0.012722871
0.04295937,-0.01876358,-0.012304981
0.043563034,-0.049909815,-0.0144927
0.04382841,-0.05356741,-0.015921708
0.04358504,-0.051132314,-0.019620486
0.04181209,-0.025417848,-0.015896106
0.042810127,-0.014705885,-0.01846919
0.043592162,-0.026250763,-0.02553001
0.042958073,-0.01630488,-0.024303192
0.040945783,-0.03453888,-0.009697136
0.04265916,-0.029567663,-0.012666662
0.04435108,-0.047749683,-0.011972646
0.040490657,-0.026472356,-0.014082648
0.04131083,-0.020346511,-0.014025807
0.04370689,-0.054314308,-0.014017045
0.041189138,-0.015474981,-0.014468441
0.042728957,-0.014005136,-0.021165432
0.040557593,-0.011171186,-0.02293037
0.042427238,-0.05125739,-0.02428296
0.04068863,-0.013602711,-0.026183736
0.041606635,-0.03228688,-0.03018246
0.040439285,-0.048121158,-0.012545123
0.03807315,-0.0507744,-0.012051299
0.041516043,-0.055915423,-0.015835857
0.04172369,-0.015827116,-0.0196191
0.041433025,-0.014453776,-0.021349428
0.040513728,-0.054987434,-0.02197035
0.038835254,-0.017088994,-0.026371537
0.03939306,-0.05010139,-0.026687432
0.040303405,-0.024277842,-0.028125722
0.040506426,-0.04429154,-0.028919019
0.042124797,-0.035796642,-0.028679198
0.04005657,-0.041197993,-0.009661913
0.039933197,-0.0322667,-0.010272155
0.041579336,-0.017641136,-0.01343198
0.03924103,-0.024749778,-0.01391236
0.039781645,-0.017006356,-0.015984667
0.03947999,-0.05871491,-0.018217374
0.040328212,-0.017740017,-0.022193484
0.04133397,-0.018880513,-0.02023014
0.0405041,-0.011177947,-0.021525584
0.04009969,-0.019158727,-0.02172138
0.038193185,-0.048083678,-0.029263198
0.039752427,-0.039216068,-0.029198032
0.040407132,-0.03025858,-0.0308263
0.038649578,-0.033527013,-0.008787896
0.039606232,-0.030210761,-0.012706125
0.03961136,-0.015940566,-0.011966607
0.03960176,-0.01484812,-0.010877926
0.04003603,-0.016542917,-0.014209625
0.040451117,-0.01430097,-0.012883116
0.039832402,-0.05666112,-0.01505167
0.036964756,-0.055524535,-0.013223542
0.03853123,-0.020577261,-0.013161857
0.04030286,-0.015479184,-0.015961671
0.03893183,-0.0133524,-0.015016521
0.03797701,-0.015969962,-0.016672581
0.038655035,-0.01567756,-0.01912638
0.04032631,-0.04002264,-0.022618093
0.04025428,-0.035782237,-0.021588411
0.039969303,-0.035181534,-0.019888254
0.03895829,-0.014002393,-0.022921754
0.038541865,-0.054513376,-0.024781248
0.039198123,-0.035159785,-0.03247093
0.03831888,-0.04469752,-0.009760735
0.038038347,-0.04027272,-0.008513313
0.039414205,-0.025035987,-0.010310744
0.039155032,-0.029509127,-0.007429119
0.039114464,-0.023368413,-0.0094935065
0.039196085,-0.031350773,-0.00931218
0.038450975,-0.02977956,-0.0114524625
0.03493238,-0.02743002,-0.013252554
0.03710389,-0.012364672,-0.010622855
0.037694547,-0.013938687,-0.016733767
0.037509244,-0.014868221,-0.018603005
0.03877046,-0.037093457,-0.01904795
0.03908402,-0.033057358,-0.018040033
0.03820173,-0.016819118,-0.020964563
0.03755668,-0.01305539,-0.021478608
0.037356917,-0.012002364,-0.021334363
0.038279273,-0.042630676,-0.022239223
0.038552776,-0.04163254,-0.023841893
0.036281735,-0.0109388195,-0.023274112
0.038879495,-0.013056701,-0.024561815
0.03894432,-0.021437136,-0.027632836
0.03762317,-0.025891129,-0.03127051
0.036932137,-0.039669696,-0.032226495
0.037314992,-0.025358008,-0.007388613
0.03761996,-0.020407703,-0.006594667
0.0381401,-0.031312354,-0.0067560175
0.037612844,-0.02816443,-0.011225986
0.036237862,-0.028706858,-0.012614592
0.03464681,-0.015814885,-0.013370473
0.037031595,-0.013689168,-0.011688825
0.035645433,-0.013081648,-0.015116165
0.03577206,-0.058453165,-0.015358519
0.037241224,-0.058475755,-0.021957505
0.03662558,-0.042185403,-0.020802895
0.032919485,-0.06176069,-0.024798399
0.037453625,-0.04696411,-0.021854386
0.03741095,-0.04843655,-0.022485798
0.037604336,-0.0129535515,-0.02272018
0.037750367,-0.014399555,-0.023744905
0.036263395,-0.014226427,-0.026056275
0.03564094,-0.044203863,-0.03250359
0.036407012,-0.032866955,-0.034113593
0.03640178,-0.04407212,-0.00970237
0.03673775,-0.03574964,-0.0092523955
0.03553584,-0.03523017,-0.006945067
0.037002593,-0.018415758,-0.008435453
0.035412684,-0.016940782,-0.010293394
0.03457162,-0.047970712,-0.009419139
0.034280892,-0.027696123,-0.012166353
0.035357874,-0.023156544,-0.012282657
0.034254562,-0.054735575,-0.012303238
0.03568397,-0.022549083,-0.013182141
0.037186485,-0.03528296,-0.01713607
0.038059413,-0.03253582,-0.017102448
0.034753658,-0.060634904,-0.020185512
0.034501437,-0.06000225,-0.017230382
0.03490422,-0.03054211,-0.018910328
0.03720048,-0.014329523,-0.019620249
0.036156334,-0.03351997,-0.021104189
0.03606826,-0.015889237,-0.020806903
0.034237415,-0.013422888,-0.02042185
0.03445264,-0.040111028,-0.023515001
0.036353074,-0.014353931,-0.022209205
0.037550047,-0.04818503,-0.024198873
0.03752838,-0.04500325,-0.024106132
0.03144079,-0.0591883,-0.027220583
0.03620205,-0.018024119,-0.026686743
0.035851084,-0.02033001,-0.028181018
0.03211349,-0.025181014,-0.03452729
0.03445072,-0.02709026,-0.0054866183
0.034966968,-0.019168593,-0.0047523836
0.035055894,-0.038395494,-0.0085326005
0.034320977,-0.038446993,-0.011411435
0.03479493,-0.030455563,-0.011559161
0.037663743,-0.025917226,-0.020831598
0.035446264,-0.0247226,-0.018625978
0.033985205,-0.027845064,-0.019886127
0.034145486,-0.02737373,-0.020998947
0.03561711,-0.01377934,-0.022529032
0.03564638,-0.0125387935,-0.0221296
0.03218555,-0.06310212,-0.023445798
0.034537535,-0.04666182,-0.025394725
0.033461176,-0.0484455,-0.03107725
0.031839784,-0.021207029,-0.03242212
0.033480145,-0.03626488,-0.035619922
0.030723829,-0.03630565,-0.03698873
0.033281177,-0.032325953,-0.0054636165
0.03308252,-0.0225442,-0.00430472
0.034851715,-0.017081335,-0.0059458376
0.0344626,-0.046130344,-0.009659023
0.032801583,-0.052078173,-0.010847483
0.03366894,-0.018378617,-0.012572338
0.032942716,-0.05820581,-0.013242033
0.034043293,-0.021041492,-0.013206622
0.032621436,-0.033880714,-0.015342487
0.0332561,-0.029982053,-0.016279353
0.034133364,-0.03064421,-0.021304883
0.03303752,-0.025357485,-0.021222705
0.033864554,-0.050517026,-0.023687279
0.03252657,-0.049962666,-0.024355145
0.032843594,-0.015870895,-0.025636273
0.03079487,-0.057591997,-0.028793123
0.034298137,-0.041908592,-0.006362521
0.033605058,-0.039141756,-0.00468814
0.0338904,-0.04559459,-0.008648384
0.033084743,-0.04546082,-0.010966578
0.032775916,-0.017254697,-0.012068291
0.031663593,-0.017223375,-0.01248727
0.032706875,-0.014200348,-0.014810332
0.03289389,-0.03159216,-0.015182061
0.032471344,-0.022373322,-0.016536541
0.03167871,-0.035921518,-0.023166437
0.03296181,-0.051083602,-0.023154411
0.031632174,-0.014616719,-0.024421103
0.03414242,-0.030243034,-0.0259373
0.03469166,-0.03377304,-0.028452022
0.03300327,-0.033292137,-0.030830322
0.03074131,-0.034944568,-0.0030092322
0.03160657,-0.019573966,-0.003810034
0.03281811,-0.046406217,-0.007589046
0.033131637,-0.015268993,-0.009438772
0.0299199,-0.039170396,-0.018473463
0.031125424,-0.02278288,-0.015275037
0.03193787,-0.025596345,-0.016759459
0.032146886,-0.013438404,-0.017069489
0.032352373,-0.02831903,-0.018732507
0.030779254,-0.027762586,-0.02265236
0.03210349,-0.06279062,-0.02143292
0.029209264,-0.052565977,-0.03007754
0.02843701,-0.048713543,-0.03467325
0.032817464,-0.040548906,-0.03418468
0.030895032,-0.029180214,-0.002293234
0.03135817,-0.023481628,-0.0028016644
0.031184498,-0.017138442,-0.0054029603
0.030156365,-0.057933092,-0.012752494
0.030580394,-0.05407927,-0.013092279
0.029882193,-0.061000228,-0.014456578
0.031918384,-0.061653953,-0.01790288
0.03253446,-0.012457946,-0.018379893
0.03187527,-0.061143775,-0.019797081
0.028451584,-0.023219693,-0.018577708
0.02999384,-0.04573934,-0.019706309
0.028093558,-0.049707055,-0.02089598
0.032008644,-0.01353405,-0.02284275
0.031370725,-0.011117387,-0.021967623
0.031593718,-0.010842825,-0.017861776
0.030714683,-0.033323236,-0.02361765
0.030161347,-0.04364798,-0.02308532
0.031820353,-0.039038163,-0.023464914
0.031560987,-0.029239237,-0.024293985
0.030730434,-0.05373556,-0.023829725
0.03184716,-0.052792117,-0.024780663
0.031734645,-0.029900867,-0.026314477
0.030659495,-0.033035554,-0.025089001
0.03174546,-0.031228343,-0.024209926
0.030869793,-0.03536068,-0.028869085
0.0314465,-0.03563564,-0.03109502
0.031468835,-0.034427337,-0.03328918
0.030004516,-0.01925378,-0.03176449
0.02848925,-0.047348432,-0.03536037
0.028495343,-0.04276751,-0.036394253
0.02645887,-0.030375572,-0.038250618
0.02876416,-0.0191354,-0.0019135169
0.029093048,-0.0432331,-0.005097809
0.028737556,-0.052045234,-0.007814224
0.029177833,-0.054434277,-0.010978487
0.03056417,-0.015973197,-0.010787477
0.028806984,-0.05561487,-0.014370893
0.030058388,-0.014933485,-0.013323624
0.030939361,-0.02699371,-0.015593524
0.028233271,-0.013431618,-0.018203923
0.0320826,-0.008285998,-0.016432313
0.030510351,-0.011872421,-0.017555362
0.03044693,-0.009151931,-0.018029803
0.030863715,-0.008897396,-0.023616478
0.030761754,-0.04896242,-0.024096884
0.02522335,-0.06517933,-0.026107542
0.029321967,-0.014880181,-0.025448833
0.028329054,-0.03426571,-0.02571081
0.028480161,-0.038504574,-0.03773729
0.029009571,-0.017336432,-0.0034538815
0.02950825,-0.015595765,-0.009927592
0.028596684,-0.016256334,-0.007902051
0.029393002,-0.018393481,-0.011672271
0.029717041,-0.020764366,-0.012951975
0.028333662,-0.028202988,-0.014254186
0.02940442,-0.06315169,-0.01682466
0.027958512,-0.021829963,-0.016326472
0.027479794,-0.013727412,-0.017045166
0.027825989,-0.008864615,-0.016696464
0.030219574,-0.0070851506,-0.017068828
0.029895468,-0.010895834,-0.019501993
0.029405467,-0.006424081,-0.018569997
0.030158563,-0.06399356,-0.021298878
0.028053762,-0.024858791,-0.020124087
0.029399406,-0.010243618,-0.02122889
0.03020432,-0.05272006,-0.022587966
0.029182106,-0.056873985,-0.023452302
0.028080715,-0.045179997,-0.022721412
0.028352588,-0.03690062,-0.02474174
0.028684417,-0.034093395,-0.022942964
0.02973315,-0.012665806,-0.023951538
0.029735828,-0.053078424,-0.024336236
0.027195267,-0.032213654,-0.028159484
0.0282705,-0.016519802,-0.02792806
0.027470106,-0.03904826,-0.029270578
0.028204842,-0.031306222,-0.0005023607
0.026482344,-0.025051363,-0.001493396
0.026076127,-0.019447781,0.00046635853
0.02656145,-0.03826509,-0.003146033
0.02677318,-0.054760717,-0.00863816
0.028408539,-0.013543845,-0.0116020115
0.02947962,-0.015864965,-0.011788827
0.027284786,-0.019441325,-0.012427143
0.027725125,-0.059279304,-0.013639025
0.028650198,-0.016966755,-0.013624807
0.028089475,-0.024811592,-0.013570984
0.030656518,-0.022404648,-0.013882642
0.028898276,-0.02231622,-0.01455975
0.027713586,-0.03456988,-0.015782842
0.029395266,-0.009991638,-0.01774613
0.026960086,-0.027437022,-0.021823047
0.028155414,-0.055638812,-0.022125978
0.027414514,-0.008847193,-0.023837743
0.025715856,-0.06639273,-0.023047544
0.028435804,-0.04058084,-0.024220437
0.028142627,-0.051384732,-0.031001436
0.028957164,-0.036365982,-0.031243477
0.029893719,-0.03486001,-0.032926098
0.02440105,-0.051048577,-0.03459292
0.02729619,-0.021711938,-0.033877697
0.026551938,-0.025106052,-0.036286004
0.025906002,-0.0291853,0.00043096347
0.026743596,-0.015771998,-0.0034015125
0.026703278,-0.04832553,-0.005439115
0.024745623,-0.0586626,-0.009661744
0.027004015,-0.015749652,-0.011187101
0.027664453,-0.016849957,-0.011314045
0.026188115,-0.016626535,-0.012632697
0.026366027,-0.062058926,-0.0137383025
0.027036484,-0.032030866,-0.014444055
0.027604021,-0.022650065,-0.013254989
0.02708707,-0.018919285,-0.013341347
0.026625166,-0.012411105,-0.015679475
0.027261702,-0.0061704232,-0.018515883
0.025315212,-0.048410255,-0.020334924
0.026277725,-0.011964335,-0.020907693
0.02703196,-0.012634611,-0.02325704
0.024644442,-0.057796102,-0.024186201
0.025678279,-0.06188156,-0.0285925
0.027836334,-0.03783576,-0.027146207
0.027719565,-0.035128627,-0.031094354
0.02550826,-0.034802828,-0.00086204254
0.026134409,-0.04488432,-0.0024979475
0.024615167,-0.05908903,-0.010640003
0.026307005,-0.01697175,-0.010584898
0.027197447,-0.027411528,-0.010348397
0.027090764,-0.023464367,-0.009553986
0.024736032,-0.01133947,-0.0123658655
0.0260965,-0.055727664,-0.012344742
0.027100194,-0.055209663,-0.013202472
0.025711045,-0.055378463,-0.014256908
0.027047083,-0.016761031,-0.014927887
0.02531713,-0.05804134,-0.014740954
0.025263371,-0.009719041,-0.015269754
0.024348825,-0.06389179,-0.015485616
0.024283672,-0.03809998,-0.01773716
0.025123194,-0.022722779,-0.020170303
0.025198475,-0.018897729,-0.016572911
0.025726726,-0.010399585,-0.022199439
0.026019063,-0.053944226,-0.020923512
0.024128586,-0.05094948,-0.023197623
0.024580028,-0.02972628,-0.024420626
0.026989935,-0.03988386,-0.02578952
0.02436733,-0.012926151,-0.02283772
0.024492051,-0.015105433,-0.026568504
0.02496459,-0.05574203,-0.03063986
0.02323195,-0.059884965,-0.030190814
0.025325302,-0.037608217,-0.03125279
0.025870351,-0.017377704,0.0005567113
0.024185905,-0.015286159,0.000100083336
0.024633693,-0.040606257,-0.0006571782
0.025464656,-0.030633328,-0.0098368125
0.026110632,-0.019444238,-0.012652629
0.024111474,-0.017941773,-0.010848702
0.024739707,-0.015683373,-0.0077828295
0.02625537,-0.03177829,-0.013437554
0.02661256,-0.020245379,-0.013163637
0.026028631,-0.017756922,-0.012092722
0.02459039,-0.014936897,-0.011413017
0.023411898,-0.040693652,-0.019111851
0.025273163,-0.012284278,-0.020692853
0.025012849,-0.013741105,-0.016851613
0.023120463,-0.042540483,-0.025077028
0.025254643,-0.04102853,-0.026779443
0.024652004,-0.04004843,-0.028470036
0.025141962,-0.040369183,-0.029073909
0.024314586,-0.042053547,-0.030422717
0.023522006,-0.017907955,-0.030773833
0.0265053,-0.03996086,-0.03112174
0.023940457,-0.022957912,0.000412116
0.023852428,-0.041640215,-0.00054536434
0.022811508,-0.015085138,-0.0045721997
0.021709282,-0.057298765,-0.00779112
0.023251904,-0.02585964,-0.008208073
0.023727346,-0.016694145,-0.009772466
0.023695229,-0.058417916,-0.01203315
0.025171056,-0.05374635,-0.013397157
0.022527445,-0.06168337,-0.014057497
0.024470862,-0.051969342,-0.0135093415
0.02429663,-0.011594731,-0.018324116
0.02286666,-0.046446532,-0.023230674
0.01948303,-0.04452182,-0.024576113
0.023065837,-0.035717588,-0.03110634
0.024925606,-0.03999099,-0.030025372
0.02335685,-0.04199017,-0.030820204
0.01900239,-0.04895561,-0.0376619
0.02262861,-0.023021093,-0.035879947
0.02427664,-0.04008083,-0.0382416
0.0244621,-0.033015173,-0.038492225
0.022981029,-0.038009237,0.0019248067
0.02204824,-0.031857796,0.0006996866
0.019537738,-0.04750386,-0.0028427853
0.021627393,-0.052045308,-0.006824176
0.024594802,-0.021735754,-0.007714007
0.022668894,-0.017830137,-0.0050338344
0.023188788,-0.015878592,-0.010627713
0.023709739,-0.035269544,-0.012836527
0.022371918,-0.035109222,-0.011261558
0.02291067,-0.016551107,-0.010843722
0.02290949,-0.017378064,-0.012704572
0.020398987,-0.051999036,-0.019991098
0.022711601,-0.025748074,-0.022183094
0.020950472,-0.011062847,-0.021408388
0.022576855,-0.05891947,-0.022932636
0.02236622,-0.06653472,-0.024179008
0.02191282,-0.03249825,-0.026316667
0.022439865,-0.034029763,-0.027406195
0.020997692,-0.06541069,-0.027144002
0.024071245,-0.045314223,-0.029890778
0.024094842,-0.042838812,-0.027109617
0.023744734,-0.045041047,-0.030742109
0.022821775,-0.054793667,-0.03284153
0.021836583,-0.019543722,-0.032622844
0.021653866,-0.022341136,0.0016053643
0.021997739,-0.027364777,0.002517737
0.021616938,-0.017630525,0.0028623315
0.021082258,-0.01445445,0.0022997
0.020742046,-0.015042345,-0.0037969868
0.02133875,-0.021641042,-0.0041163857
0.021679914,-0.013471427,-0.0072927168
0.022753038,-0.0390758,-0.011880734
0.020694278,-0.009955814,-0.012021489
0.022706326,-0.008755279,-0.015701924
0.022864303,-0.03840052,-0.016285922
0.021270642,-0.019030603,-0.017327355
0.021771902,-0.021280248,-0.018834738
0.018728318,-0.045442313,-0.01993122
0.02119643,-0.05724353,-0.02114826
0.020642415,-0.011312619,-0.019616885
0.020519655,-0.056097694,-0.022062398
0.021336593,-0.029892875,-0.024554059
0.021097288,-0.0129098045,-0.026049236
0.020400357,-0.014506752,-0.027687814
0.019651635,-0.06027294,-0.030261926
0.020262837,-0.04117171,-0.029431375
0.02271679,-0.057238914,-0.029646445
0.023269402,-0.055667553,-0.030874792
