v1,v2,v3
0,1,2
3,0,2
4,3,2
5,2,1
1,6,5
5,4,2
5,6,7
8,3,9
10,0,8
11,9,12
13,9,3
3,8,0
0,10,1
13,12,9
10,14,1
14,6,1
12,15,16
13,3,4
5,17,4
15,12,13
15,13,18
18,13,4
18,4,17
9,11,19
9,19,8
16,20,11
21,22,20
23,22,21
16,11,12
14,24,6
21,20,16
16,23,21
25,5,7
22,26,20
20,27,11
27,28,11
28,29,11
11,29,19
19,30,8
8,31,10
32,14,10
33,34,22
23,33,22
24,7,6
35,7,24
36,18,17
37,17,5
38,5,25
7,35,25
39,26,22
26,27,20
8,30,31
31,32,10
39,22,34
14,32,24
16,40,23
41,16,15
5,38,37
26,42,43
19,44,30
39,42,26
26,45,27
46,24,32
47,39,34
35,24,48
40,34,33
40,33,23
40,16,49
18,41,15
17,37,36
50,18,36
35,51,25
52,38,25
53,44,19
54,29,28
54,19,29
31,30,44
55,39,47
46,56,24
24,56,48
48,56,57
34,58,47
40,58,34
49,16,41
50,41,18
52,25,51
43,45,26
39,55,42
59,31,44
60,32,59
45,28,27
31,59,32
32,60,46
54,28,61
62,57,56
51,35,48
63,52,51
42,64,43
65,64,42
66,45,43
67,46,60
45,68,28
67,69,46
46,62,56
69,62,46
68,61,28
70,54,61
19,54,53
53,54,70
58,40,71
48,57,72
50,49,41
72,51,48
73,50,36
74,38,52
55,65,42
53,75,44
44,75,59
75,76,59
76,60,59
68,45,77
47,78,55
79,47,58
72,63,51
74,37,38
63,72,80
81,43,64
77,45,66
67,60,76
78,65,55
75,82,76
79,78,47
62,69,83
83,57,62
84,72,57
36,37,85
84,80,72
86,63,80
66,43,81
75,53,70
87,49,50
87,88,49
89,84,57
85,73,36
86,52,63
74,52,86
65,90,64
64,90,81
66,81,91
78,90,65
92,77,66
76,93,67
77,94,68
67,95,69
70,96,75
69,95,83
71,79,58
70,61,97
70,98,96
71,40,49
83,89,57
50,99,87
99,50,73
100,85,74
85,37,74
80,84,86
90,91,81
92,66,91
78,101,90
101,102,103
101,78,102
104,93,76
82,104,76
95,67,93
79,102,78
96,82,75
88,71,49
84,89,105
100,74,106
86,106,74
103,92,91
107,101,103
108,94,77
61,68,94
61,94,109
79,110,102
104,82,111
95,112,83
98,70,97
111,82,96
113,71,88
114,88,87
99,114,87
115,99,73
85,115,73
116,86,84
91,90,117
118,90,101
107,118,101
119,93,104
102,110,103
119,95,93
120,110,79
109,97,61
120,79,71
97,121,98
122,114,99
115,122,99
116,106,86
95,119,123
112,95,123
94,108,124
108,120,71
71,124,108
125,83,112
126,89,83
127,124,71
113,127,71
114,113,88
121,122,98
98,122,128
128,96,98
96,129,111
129,130,111
114,122,121
128,129,96
115,128,122
115,85,128
131,116,84
132,100,106
116,132,106
117,90,133
103,91,134
135,118,107
136,107,103
136,135,107
134,92,103
77,92,137
119,138,123
110,136,103
77,139,108
137,139,77
104,138,119
120,140,110
141,120,108
141,108,139
109,142,97
111,130,104
97,142,121
142,113,121
126,105,89
128,85,129
85,143,129
131,84,105
143,85,132
132,85,100
117,133,91
133,90,144
91,133,145
90,118,144
145,134,91
134,137,92
110,140,136
104,130,138
146,112,123
109,94,142
125,126,83
113,142,127
114,121,113
147,105,126
148,131,105
149,132,116
149,116,131
150,151,145
151,134,145
135,152,118
136,151,150
140,151,136
151,137,134
138,153,123
153,146,123
138,130,153
125,112,146
124,142,94
153,130,154
155,130,129
129,143,155
132,155,143
132,156,155
131,148,149
144,145,133
118,152,144
157,135,136
150,157,136
140,158,151
153,159,146
137,141,139
160,126,125
154,130,155
124,127,142
105,147,148
147,161,148
161,149,148
156,132,149
162,145,144
152,162,144
150,145,157
151,158,137
141,137,158
153,154,159
120,158,140
141,158,120
163,155,156
157,145,162
157,152,135
146,159,164
146,164,125
125,164,160
126,160,165
154,166,159
147,126,165
155,166,154
152,157,162
167,160,164
155,163,166
168,161,147
169,149,161
149,169,156
159,167,164
159,166,167
168,147,165
161,168,169
163,156,169
166,170,167
167,170,160
165,160,170
163,170,166
163,169,170
170,169,168
170,168,165
