L,I,A
0.036285665,-0.0067622475,0.016851714
0.035994243,-0.0020229311,0.0156195285
0.037070982,-0.0061831847,0.01525875
0.03506332,-0.010592524,0.015830435
0.03475577,-0.009433376,0.014261754
0.035812765,-0.0023666844,0.012901827
0.036128987,0.0012980028,0.0143123055
0.03421184,0.0038588124,0.013537736
0.03385855,-0.008559551,0.01779144
0.034992184,-0.0142678,0.016982762
0.034674417,-0.0039449777,0.017403781
0.033044197,-0.018512351,0.01803617
0.034347188,-0.017936373,0.014871002
0.03499182,-0.013175777,0.0141523825
0.03392898,-0.00022650351,0.015991153
0.03402926,-0.018440003,0.012902708
0.035493407,-0.021002593,0.012861925
0.033597305,-0.0077906125,0.013164357
0.033265106,-0.012636528,0.012362894
0.032929376,-0.014096612,0.018920895
0.033021,-0.02433408,0.017899934
0.03422154,-0.022750264,0.014301955
0.032899342,-0.026124625,0.016770972
0.03350805,-0.02449958,0.014277156
0.032031197,0.0041848444,0.015921285
0.03143193,0.004644421,0.011995121
0.031227395,-0.025681928,0.018855082
0.03135354,-0.022326926,0.019079905
0.03138651,-0.019539727,0.018553259
0.031804547,-0.015425359,0.018578082
0.031489402,-0.01082453,0.019077545
0.029291976,-0.006651125,0.01789177
0.029954059,-0.0013108234,0.017261015
0.032236315,-0.02566449,0.0149550475
0.03185996,-0.02747796,0.015360117
0.031577528,0.005833847,0.013429661
0.030300837,-0.0073453696,0.012317003
0.026981989,-0.0030055516,0.010700688
0.030070532,0.0016144656,0.011359638
0.030531649,-0.029268526,0.01810064
0.02884681,-0.023634695,0.014403765
0.029332478,-0.017573943,0.0121948905
0.029807068,-0.029547816,0.02053974
0.02857186,-0.028724935,0.022130951
0.027957898,-0.009923243,0.019704182
0.029149735,-0.023931023,0.019087175
0.028386656,0.0022282267,0.01871085
0.029919134,-0.02940144,0.016624304
0.029860381,0.009021437,0.015100557
0.026764367,-0.019770935,0.0128490785
0.026746836,-0.012913668,0.011867342
0.02876422,0.0076088924,0.010650269
0.028383045,0.0056866496,0.009961831
0.02618339,-0.011140593,0.019652715
0.028578129,-0.015804812,0.017034443
0.027148398,-0.031552088,0.019406892
0.028971778,0.006278327,0.018066237
0.027747609,0.009532587,0.015199955
0.028107015,-0.028547166,0.016116269
0.027259577,-0.006173114,0.019280752
0.026800668,-0.0007309518,0.020492565
0.024636077,-0.019557498,0.017910486
0.027313257,0.006940367,0.017904695
0.02622209,0.008221095,0.010068348
0.02454093,-0.031307425,0.025155699
0.025185892,-0.03226179,0.023302585
0.025684565,-0.027034707,0.021844856
0.025274396,7.3656294e-05,0.020933345
0.025174437,-0.021526385,0.01815212
0.025945116,0.0037811121,0.018740535
0.024619984,-0.013407125,0.017722994
0.02043434,-0.022863006,0.016847411
0.026625881,0.010697007,0.012281728
0.024030797,-0.008180832,0.012533922
0.024950676,0.0037883772,0.009753193
0.024774982,-0.00720263,0.019478017
0.025356727,-0.0047114627,0.020251004
0.022435803,-0.024585342,0.02019664
0.023706257,-0.031160774,0.018533928
0.023510898,-0.028359069,0.016922625
0.025654705,0.011717915,0.011337455
0.024501534,-0.030152118,0.025302563
0.02344165,-0.0050958022,0.019527953
0.022380821,0.0051389146,0.016630953
0.023217654,0.011992883,0.011950642
0.01960839,-0.0050391173,0.010842922
0.02223322,0.011424221,0.009696717
0.023230836,-0.01374847,0.014014962
0.022639798,-0.01859286,0.014741924
0.021577323,0.007540028,0.015356395
0.021545151,-0.030516861,0.02428718
0.01902365,-0.028146239,0.024998564
0.020340752,-0.026294861,0.02189753
0.021800395,-0.0031299018,0.020248625
0.020999618,-0.022422206,0.019037275
0.020983156,0.00080620387,0.018600417
0.02194012,-0.0071230954,0.015768679
0.020504948,-0.01595314,0.0167596
0.021069314,-0.008494085,0.015053456
