L,I,A
0.03732127,-0.012715992,0.012782837
0.036104444,-0.016305476,0.013137262
0.036614094,-0.012271782,0.014440507
0.03701225,-0.009231079,0.013832226
0.036495563,-0.013510015,0.011594134
0.036197916,-0.008865848,0.013588999
0.03678582,-0.012503735,0.01175053
0.035246354,-0.012130004,0.014700189
0.0359381,-0.017830104,0.013400457
0.03558138,-0.010407989,0.013548527
0.03523762,-0.01322379,0.013689251
0.030774932,0.00817537,0.014505692
0.031431857,0.0067362892,0.013247916
0.031173117,0.006578765,0.013521218
0.031114316,0.009425103,0.012673418
0.029591477,0.009757894,0.013103417
0.02980393,0.010311894,0.011139385
0.029692618,0.00883758,0.011147181
0.026617905,0.009235469,0.011240112
0.028249323,0.008225772,0.011451147
