v1,v2,v3
0,1,2
0,2,3
3,2,4
3,4,5
4,6,5
7,4,2
6,4,7
2,8,9
10,11,8
1,10,8
1,8,2
12,0,3
5,12,3
13,10,1
13,1,14
14,1,0
7,2,9
11,15,16
11,16,8
17,6,7
15,10,18
10,15,11
0,12,14
18,10,19
10,13,19
16,20,8
8,20,9
21,22,15
15,18,21
17,5,6
19,21,18
23,12,5
13,14,24
25,20,26
27,20,25
9,20,27
16,22,20
25,28,27
28,9,27
9,28,29
21,30,22
31,30,21
15,22,16
9,29,7
29,17,7
21,32,31
19,33,21
21,33,32
34,23,17
17,23,5
12,24,14
19,13,33
13,24,33
35,26,20
36,37,26
38,37,36
25,26,39
37,39,26
28,25,40
31,32,41
41,32,24
42,23,34
32,33,24
42,24,12
42,12,23
43,35,22
20,22,35
26,35,36
38,36,44
22,30,43
38,37,27
45,40,25
46,40,45
41,47,31
48,29,28
29,48,17
34,17,48
42,48,41
48,42,34
41,24,42
49,36,50
51,36,49
44,36,51
35,50,36
52,38,44
38,39,37
53,54,46
31,55,30
47,55,31
54,40,46
56,40,54
56,54,53
56,28,40
57,56,53
28,56,48
56,41,48
49,58,59
49,59,51
51,59,60
51,60,52
52,60,61
51,52,44
61,25,39
61,45,25
61,39,38
61,38,52
57,41,56
49,62,63
50,62,49
58,49,63
64,35,65
59,58,66
35,64,50
43,65,35
67,61,60
43,30,68
46,45,69
70,53,69
68,30,55
46,69,53
53,71,57
41,72,47
72,41,57
63,62,58
50,73,62
59,66,60
67,74,61
43,68,75
74,45,61
47,76,55
72,57,71
73,77,62
78,62,77
62,78,58
66,58,78
64,73,50
43,75,65
67,60,79
80,74,67
74,69,45
70,71,53
72,76,47
77,81,82
77,83,81
78,77,82
84,83,73
77,73,83
73,85,84
86,78,87
73,64,85
86,66,78
65,85,64
60,66,79
75,88,65
89,67,79
89,80,67
75,74,80
68,90,75
90,74,75
74,80,91
74,91,69
92,91,93
92,93,94
68,55,90
69,91,92
70,69,92
94,70,92
71,70,94
71,94,72
82,95,78
96,66,86
96,79,66
65,88,85
75,80,89
91,97,93
90,80,74
55,98,90
76,98,55
72,98,76
99,100,101
102,103,104
105,103,106
105,104,103
83,107,104
81,104,105
81,105,82
81,83,104
95,82,105
105,108,95
84,109,83
84,110,109
95,87,78
111,87,95
85,110,84
86,87,111
112,96,86
113,79,114
75,115,88
89,113,116
113,89,79
89,115,75
115,116,117
89,116,115
116,91,117
91,116,113
97,113,118
91,113,97
80,117,91
119,94,93
119,93,97
90,98,117
90,117,80
120,98,72
120,72,94
121,122,123
124,125,126
100,122,121
99,122,100
126,106,103
126,103,102
126,125,106
100,121,127
106,125,128
129,130,99
131,130,129
129,99,101
132,101,100
132,100,127
102,104,107
128,105,106
133,107,83
129,101,132
128,108,105
109,133,83
134,110,85
111,112,86
96,114,79
117,135,115
118,113,136
97,118,119
135,117,120
120,117,98
119,120,94
137,123,138
139,140,141
122,138,123
139,124,140
142,139,141
143,126,144
143,124,126
99,138,122
124,139,125
125,139,142
130,138,99
121,145,127
102,144,126
129,146,131
127,147,132
133,109,148
146,129,149
149,129,132
149,132,147
110,148,109
150,111,95
111,151,112
152,96,112
88,134,85
152,114,96
114,153,113
136,113,153
88,115,135
154,155,135
156,136,153
135,120,154
119,155,154
118,155,119
155,118,136
154,120,119
157,158,159
159,160,161
159,158,160
162,163,157
162,164,163
165,164,162
161,140,166
161,160,140
158,157,163
164,165,167
137,167,165
168,166,140
140,160,141
141,160,169
160,158,169
158,163,170
164,170,163
138,167,137
124,168,140
167,171,164
138,171,167
123,172,121
121,172,145
173,143,144
171,138,130
174,144,102
175,125,142
176,127,145
107,174,102
125,175,128
128,175,108
107,133,177
176,147,127
150,95,108
110,178,148
88,179,134
152,153,114
135,180,88
136,156,155
158,181,169
158,170,181
182,123,137
170,164,171
124,143,168
183,141,169
142,141,184
184,141,183
174,173,144
185,171,130
175,142,186
187,130,188
107,177,174
188,130,131
148,177,133
189,131,146
188,131,189
190,146,149
149,147,190
191,150,108
192,178,110
193,151,111
111,150,193
134,192,110
152,112,151
180,179,88
194,155,156
159,195,157
157,196,162
195,196,157
161,197,159
196,165,162
165,182,137
166,168,198
182,199,123
172,123,199
168,200,198
168,143,200
169,181,183
183,181,201
185,202,170
171,185,170
145,172,203
143,173,200
204,142,184
186,142,204
185,130,187
176,145,205
174,177,206
175,191,108
147,207,208
147,176,207
208,190,147
190,189,146
178,209,148
210,150,191
193,150,210
151,211,152
179,192,134
212,152,211
153,152,212
153,212,156
194,156,212
197,195,159
213,197,161
195,214,196
196,182,165
198,161,166
198,213,161
181,215,201
170,215,181
215,170,202
200,173,216
217,173,174
204,184,183
203,205,145
176,205,207
148,209,177
209,206,177
218,191,175
218,210,191
219,193,210
193,211,151
192,179,180
211,220,212
180,135,221
221,135,155
155,194,221
212,220,194
198,200,216
222,201,215
223,216,173
201,222,183
203,224,205
222,204,183
174,206,217
186,225,175
218,175,225
189,190,226
226,190,227
192,209,178
211,193,220
194,220,221
197,214,195
198,228,213
196,214,229
229,182,196
228,198,216
199,230,172
230,203,172
231,222,215
185,232,202
173,217,223
187,232,185
222,233,204
233,222,234
235,222,231
234,222,235
236,225,186
236,186,204
236,204,233
234,235,237
187,188,238
238,188,189
208,207,239
208,239,227
210,218,240
227,190,208
219,210,240
241,209,192
193,219,242
193,242,220
213,228,197
197,228,214
182,229,230
230,199,182
232,215,202
231,215,243
231,243,235
232,187,238
244,236,233
239,207,205
218,225,245
245,240,218
226,246,189
246,226,227
241,192,247
219,248,242
192,180,247
247,180,249
250,220,242
249,180,221
220,250,221
251,205,224
243,215,232
252,225,236
233,253,244
252,245,225
233,234,253
253,234,237
237,254,253
254,237,235
238,189,246
209,255,206
255,209,241
227,256,246
249,221,250
214,257,229
214,228,258
251,239,205
239,251,259
260,235,243
260,243,261
261,243,232
238,246,262
259,227,239
263,253,254
263,254,264
240,265,219
254,235,266
259,256,227
256,262,246
219,265,248
241,247,267
247,249,267
242,248,265
214,258,257
216,268,228
269,230,229
230,269,270
224,203,230
216,223,271
272,245,252
252,236,272
272,236,244
253,273,244
274,217,206
251,275,259
206,255,274
238,261,232
276,240,245
262,261,238
265,240,277
277,240,278
266,235,260
255,241,279
266,280,254
264,254,280
242,277,249
242,265,277
249,250,242
258,228,268
257,269,229
216,271,268
270,224,230
271,223,281
223,282,281
217,274,223
282,223,274
272,283,245
273,284,244
285,273,253
263,285,253
259,275,286
278,240,276
286,256,259
263,264,285
261,287,288
260,261,288
287,261,262
256,286,262
241,267,279
277,278,289
290,260,288
267,277,289
267,249,277
291,264,280
266,260,290
292,291,280
266,292,280
292,266,290
270,293,224
293,251,224
284,272,244
283,276,245
255,294,274
294,255,279
295,279,267
295,267,289
292,296,291
258,297,257
297,269,257
271,298,268
271,299,298
281,299,271
272,300,283
251,301,275
282,274,294
301,286,275
302,283,300
301,287,286
279,295,294
294,295,302
289,302,295
276,302,289
276,283,302
285,303,304
287,262,286
276,289,278
264,303,285
305,288,287
303,264,296
305,290,288
291,296,264
305,306,290
306,292,290
307,258,268
297,258,307
268,298,307
297,308,269
308,270,269
298,309,307
308,310,270
298,311,309
293,270,310
281,282,299
284,312,272
301,251,293
272,312,300
284,273,313
282,294,314
313,273,304
294,302,314
273,285,304
287,301,305
304,303,315
303,296,315
316,315,296
316,306,305
296,292,306
296,306,316
317,297,307
318,308,297
307,309,317
318,297,317
299,311,298
319,311,299
309,320,317
318,321,308
309,311,320
317,320,322
317,321,318
308,321,323
310,308,323
319,284,311
319,312,284
311,284,313
311,313,320
282,319,299
282,314,319
317,316,321
317,322,316
310,323,301
310,301,293
319,314,312
313,304,320
322,320,304
323,321,324
314,300,312
323,324,301
314,302,300
324,305,301
316,324,321
304,315,322
322,315,316
324,316,305
