L,I,A
0.033369858,-0.035493728,0.014904988
0.032533333,-0.038903475,0.01599627
0.033659402,-0.0335057,0.01754616
0.03283811,-0.03097592,0.01619233
0.03315875,-0.030974964,0.017431717
0.03282317,-0.028781764,0.016013553
0.031937603,-0.030019239,0.017697947
0.030406235,-0.032703757,0.022628348
0.03237061,-0.03758911,0.017903987
0.03015441,-0.0356724,0.023488995
0.03273058,-0.0439277,0.0161726
0.032660134,-0.04277601,0.01804531
0.030318849,-0.031312477,0.015277688
0.030777633,-0.043057274,0.01355499
0.031411935,-0.03847755,0.014784976
0.031008676,-0.043504108,0.01953439
0.030694086,-0.041484557,0.02132874
0.030230325,-0.031152958,0.020513164
0.030732349,-0.04514296,0.015491782
0.030339565,-0.045084376,0.014020936
0.029654771,-0.03927772,0.024577692
0.030146588,-0.043201085,0.019584648
0.028730689,-0.042346884,0.023959221
0.029491344,-0.02961834,0.016214453
0.029869074,-0.037535246,0.015362772
0.028631793,-0.037338402,0.024927497
0.028047405,-0.037158553,0.026032893
0.029441664,-0.03580967,0.024412107
0.02890484,-0.03621568,0.019091016
0.029380137,-0.03273422,0.020389725
0.026658373,-0.04358962,0.023354907
0.02965611,-0.04271531,0.020674573
0.028532322,-0.039227795,0.017072799
0.029270705,-0.04216521,0.015227891
0.027476208,-0.031028656,0.018027857
0.027932925,-0.040310983,0.027066607
0.027294524,-0.034315746,0.028742231
0.028231809,-0.034490764,0.02538093
0.028352436,-0.032893315,0.024956578
0.026962124,-0.036878135,0.025362566
0.028118549,-0.037091218,0.0213303
0.026930662,-0.03724605,0.018224709
0.027672775,-0.031941235,0.01679146
0.025411675,-0.04120081,0.027597629
0.027085297,-0.031626016,0.02778696
0.024172097,-0.0381702,0.02509781
0.025888875,-0.03713594,0.022846797
0.02452858,-0.037584312,0.020453673
0.026878837,-0.03285924,0.018460853
0.025733447,-0.034383412,0.030850314
0.025338504,-0.03672999,0.031677004
0.026071316,-0.03176985,0.029613111
0.026338466,-0.032618567,0.026891688
0.02593867,-0.033458754,0.022258895
0.026989186,-0.036017723,0.021205243
0.02301267,-0.040935438,0.022396728
0.027191946,-0.035703056,0.018785655
0.025418004,-0.034521528,0.019975716
0.024521811,-0.03150004,0.033298135
0.025165532,-0.033221547,0.030446174
0.024269523,-0.033998687,0.029704679
0.025202604,-0.037342004,0.026285546
0.022993932,-0.032726698,0.038154468
0.024369376,-0.0324222,0.035285607
0.022336077,-0.038949292,0.033518564
0.022536147,-0.04038063,0.031134669
0.023024732,-0.030804474,0.032537192
0.023704853,-0.036742404,0.02908541
0.024079096,-0.042128928,0.023612034
0.022551699,-0.037292603,0.024294069
0.022373613,-0.0348975,0.0232926
0.023028167,-0.034360874,0.021645036
0.021773672,-0.0357343,0.021720897
0.022220595,-0.03549254,0.036503974
0.021695504,-0.038832095,0.027067577
0.022316199,-0.040136304,0.028206104
0.021834342,-0.0386302,0.021755787
0.022599382,-0.031907376,0.040931355
0.022142362,-0.029589571,0.036800765
0.020045822,-0.033842605,0.03161747
0.020824535,-0.038186397,0.02785818
0.021183157,-0.030937802,0.043970488
0.02079466,-0.02862178,0.04382624
