v1,v2,v3
0,1,2
0,2,3
4,1,0
5,1,4
6,4,0
6,0,7
5,8,9
4,8,5
10,8,4
11,4,6
10,4,11
11,6,7
12,9,8
12,8,10
12,10,13
14,2,1
15,3,2
7,0,3
11,13,10
16,12,13
14,15,2
1,5,14
14,5,17
7,18,11
19,9,12
3,20,21
3,21,22
15,20,3
3,22,23
22,24,23
25,23,24
3,23,7
5,9,17
18,26,11
25,18,7
19,27,9
11,26,28
19,12,16
29,21,30
20,15,30
20,30,21
15,14,31
21,32,22
31,14,17
7,23,25
27,17,9
13,11,28
21,29,33
30,15,31
33,32,21
32,24,22
34,25,24
35,27,36
36,27,19
37,16,13
13,28,37
36,19,16
30,31,38
39,30,38
17,40,31
35,40,17
27,35,17
28,26,18
41,36,16
37,41,16
38,42,39
30,39,29
29,39,43
43,33,29
44,38,31
32,33,45
31,40,44
46,32,45
46,24,32
47,24,46
47,34,24
25,34,18
36,41,35
43,45,33
44,42,38
48,46,45
46,48,47
35,41,49
49,41,37
42,44,50
44,40,50
50,40,51
51,40,35
52,37,28
52,28,18
42,53,39
39,53,43
35,54,51
49,54,35
49,37,54
34,52,18
52,54,37
55,43,53
43,55,45
42,50,56
42,56,53
56,50,57
50,51,57
48,58,47
45,59,48
59,60,48
52,34,47
55,59,45
48,60,58
60,61,58
58,61,47
51,54,57
54,62,57
61,52,47
52,62,54
53,63,55
56,63,53
64,63,56
57,64,56
65,60,59
57,62,64
55,63,65
65,59,55
61,60,66
66,52,61
62,52,66
64,65,63
62,66,64
64,66,65
65,66,60
