L,I,A
0.0271401,0.002928185,0.03263454
0.026019195,-0.0041328925,0.034987688
0.025967551,-0.000755093,0.03539544
0.024075888,0.004896192,0.034945644
0.026906619,-0.0023159974,0.030452136
0.025714109,-0.0047817505,0.03079288
0.026837593,0.0035831218,0.029088562
0.025045289,0.007896669,0.028336635
0.026632547,-0.005179472,0.027639564
0.025686765,-0.0066236253,0.028682148
0.026897272,-0.002127891,0.026203137
0.025780397,0.0032092787,0.027541224
0.02540554,-0.004372278,0.02496138
0.025479035,-0.00041703938,0.024707386
0.024298912,-0.0035365494,0.03546337
0.022283785,0.00010051258,0.03746952
0.024249488,-0.002312605,0.024341641
0.02244422,-0.0027677908,0.031793825
0.020286335,0.009102096,0.02744995
0.022469793,-0.0043092235,0.024967909
0.023408636,0.0021939536,0.03693543
0.023591464,0.007191756,0.03880208
0.023513492,0.009686236,0.03621896
0.023154836,0.009625442,0.031306222
0.02140002,0.012009264,0.0314505
0.022630747,0.010306367,0.028177856
0.021947136,0.00452829,0.028156763
0.022199828,-0.004980818,0.027854469
0.02059581,0.0036189049,0.026728144
0.021754378,0.0066310056,0.039877575
0.021864617,0.0020188936,0.040032785
0.02131515,-0.00048213627,0.036735006
0.020948423,0.011561277,0.036546174
0.019214436,0.009719102,0.039124075
0.020592505,0.011169197,0.028583301
0.018810675,0.0013997452,0.030452443
0.020975823,-0.0024335973,0.026483323
0.018561902,0.0039434377,0.026735475
0.019958967,0.0035879011,0.039071232
0.017344162,0.006613543,0.040011235
0.019673817,0.0015804477,0.033538964
0.019289352,0.00026193337,0.02608492
0.016478315,0.005615097,0.0391754
0.017223759,0.010491091,0.03938442
0.018731026,0.0042090826,0.035357524
0.01875817,0.013790328,0.039228506
0.019613456,0.013003218,0.03424758
0.01810952,0.012653364,0.031065488
0.016334167,0.0153009305,0.03487087
0.018163336,0.00266621,0.028263934
0.016098006,0.0056967824,0.035071768
0.015862282,0.003321342,0.032265596
0.014174409,0.0076138806,0.02672077
0.014949604,0.01065761,0.03722815
0.014555148,0.0044687865,0.027734775
0.01216552,0.012807391,0.03799082
0.014898347,0.0075533474,0.035525776
0.01333649,0.006428751,0.031934466
0.014089465,0.015019519,0.031731535
0.01261953,0.014563403,0.03703051
0.012168157,0.015568955,0.03224681
0.012494454,0.011034533,0.030241698
0.010998939,0.008665985,0.02927738
0.011104088,0.011523762,0.03602064
0.0108328,0.008834934,0.034112174
0.01031741,0.014563655,0.034553252
0.010710145,0.009960151,0.030877503
