v1,v2,v3
0,1,2
2,3,0
4,5,6
2,1,7
4,6,1
4,1,0
2,7,8
3,2,8
9,4,0
10,0,3
9,0,10
11,10,3
12,9,10
13,9,12
14,13,12
5,15,6
6,16,17
1,17,7
7,18,19
7,19,8
20,21,4
4,21,5
22,20,4
9,22,4
23,3,8
23,11,3
13,24,22
13,22,9
14,24,13
25,14,12
15,16,6
26,15,5
6,17,1
18,7,17
21,20,27
22,28,20
19,23,8
28,22,29
30,23,19
24,29,22
31,11,23
32,29,24
24,33,32
34,10,11
14,33,24
34,12,10
33,14,35
36,35,14
36,14,25
25,12,34
17,16,37
18,17,38
18,38,39
21,27,26
5,21,26
39,19,18
28,40,41
20,28,41
42,40,29
29,40,28
30,31,23
43,36,25
44,45,37
46,16,47
37,16,46
45,38,37
48,38,45
15,47,16
48,49,38
26,50,15
15,50,47
17,37,38
39,38,49
26,27,51
52,39,49
41,51,27
20,41,27
39,52,53
53,19,39
53,52,54
53,30,19
29,32,55
56,57,58
31,34,11
56,33,35
56,35,36
56,36,57
43,34,31
43,25,34
47,59,46
44,37,46
50,59,47
60,59,50
48,61,49
60,50,26
26,62,60
51,62,26
49,63,64
64,52,49
41,65,51
42,65,41
41,40,42
64,54,52
29,55,42
30,66,31
67,55,32
31,66,68
31,68,69
70,67,32
70,32,33
58,70,56
56,70,33
71,58,57
71,57,36
72,71,36
31,73,43
43,72,36
59,74,46
44,46,74
45,44,75
75,61,48
76,61,75
45,75,48
49,61,77
49,77,63
51,65,78
65,79,78
80,54,64
81,65,42
65,81,79
82,79,83
82,83,84
84,83,85
84,85,86
81,42,55
81,87,79
83,88,85
85,69,86
89,86,69
81,55,87
55,67,87
79,58,83
85,88,69
87,67,70
58,87,70
58,79,87
83,71,88
83,58,71
88,90,69
73,31,69
73,72,43
44,91,75
92,44,74
59,60,93
77,61,76
62,94,60
93,60,94
51,95,62
95,94,62
63,96,64
78,95,51
78,97,95
97,98,95
97,82,98
84,98,82
99,98,84
79,97,78
97,79,82
86,89,99
53,100,30
69,66,89
101,30,100
69,68,66
89,66,102
66,30,102
90,88,71
90,73,69
92,103,44
91,44,103
75,91,76
93,74,59
63,77,104
63,104,96
105,64,96
99,84,86
80,64,105
100,54,80
100,80,105
89,106,99
54,100,53
102,30,101
71,72,90
72,73,90
93,107,74
107,92,74
91,108,76
76,108,77
108,104,77
93,94,107
95,109,107
95,107,94
109,95,98
110,111,112
109,98,112
112,98,99
112,99,110
113,105,96
111,110,114
110,106,114
110,99,106
114,106,115
116,100,105
89,102,106
117,102,101
118,92,107
118,103,92
91,103,119
91,119,108
108,120,104
107,109,121
107,121,118
120,122,104
104,122,96
96,122,123
111,124,109
109,112,111
115,125,114
126,116,105
127,100,116
102,115,106
127,117,100
100,117,101
128,102,117
103,118,129
108,130,120
121,109,124
111,131,124
123,113,96
132,111,114
132,131,111
114,125,132
115,102,133
102,128,133
129,119,103
134,108,119
119,129,134
121,129,118
134,135,108
108,135,130
129,121,131
131,121,124
120,130,136
126,105,113
113,123,126
116,137,127
133,125,115
138,117,127
139,138,127
128,117,138
129,140,134
140,135,134
136,122,120
129,141,140
129,131,141
131,132,141
140,141,132
142,126,123
143,116,126
116,143,137
137,139,127
136,130,144
123,122,136
130,135,144
145,126,142
125,140,132
145,143,126
133,146,125
140,147,135
148,136,144
136,142,123
136,145,142
125,149,140
150,133,128
144,135,147
147,140,149
148,145,136
125,146,149
145,151,143
151,137,143
133,150,146
152,138,139
153,150,128
152,128,138
154,144,147
147,149,154
144,154,148
145,148,151
137,152,139
152,153,128
155,148,154
155,156,148
156,151,148
150,157,146
149,158,154
158,155,154
146,157,149
137,159,152
150,153,157
160,158,149
158,156,155
149,157,160
161,151,156
159,151,161
151,159,137
152,162,153
152,159,162
160,163,158
163,156,158
163,161,156
163,164,161
164,159,161
162,157,153
162,159,164
164,160,157
160,164,163
164,157,162
