L,I,A
0.033455368,0.0037543776,0.029613614
0.032814767,0.0069550453,0.03720963
0.033370957,0.008157491,0.03283972
0.032941625,0.0060596294,0.02854956
0.032166954,-0.0019706506,0.03194256
0.031848203,-0.00097425294,0.037870023
0.031978935,0.002189416,0.0386437
0.032227382,0.010025932,0.037039075
0.03230691,0.0093985,0.03068105
0.032530043,0.00054990157,0.02579724
0.03221073,0.002727282,0.025469452
0.031168787,0.0042236787,0.025902897
0.031970013,0.0007814329,0.022552192
0.032691326,-0.007010881,0.023088444
0.031865396,-0.00808456,0.021959879
0.030917503,-0.0023064069,0.042123366
0.029317006,0.0011503068,0.043509215
0.030337336,0.0077439095,0.04097057
0.030183446,0.011582376,0.03813617
0.02948455,0.0114716,0.031598076
0.03150588,-0.00815401,0.033661965
0.031314578,-0.0032944307,0.035435874
0.03116317,-0.008777359,0.028887026
0.03106424,0.0096266605,0.029313097
0.031011518,-0.010434941,0.026421761
0.0301616,0.0007900068,0.021208972
0.028462538,-0.0066619907,0.040325344
0.028735675,-0.009727625,0.038140044
0.02999173,-0.011667466,0.032465864
0.03022705,-0.014454131,0.026113726
0.027199294,0.01018746,0.028584262
0.028492117,0.005006527,0.02655664
0.028910056,-0.011228295,0.025648927
0.028897218,-0.00954794,0.024434796
0.029804198,0.0028993879,0.022327924
0.030298168,-0.0077910074,0.021955967
0.029745398,-0.0031194403,0.021706682
0.028968316,0.0062284363,0.045159444
0.028798478,0.011024308,0.043480106
0.029379765,0.01306265,0.03691047
0.028465398,-0.015232781,0.032440405
0.028688474,-0.011745636,0.034838136
0.027436525,-0.01667456,0.031594418
0.027609061,0.0017394819,0.02135403
0.026438083,0.008496947,0.04657007
0.027714109,0.009351179,0.045728743
0.027457273,0.003984601,0.046612065
0.02811816,-0.00040387307,0.04504815
0.027798483,0.014213043,0.04503456
0.028038658,0.017556453,0.042041436
0.028179767,-0.0047605033,0.04366997
0.027156487,-0.0110947145,0.039039124
0.028595308,0.017035184,0.03511774
0.028532388,0.012834508,0.031537894
0.02757775,0.0169352,0.03277379
0.02714813,-0.015086781,0.028427742
0.027733563,-0.0076232227,0.024388034
0.028469201,-0.003981638,0.0234504
0.027208703,-0.0047098007,0.026320014
0.025788883,0.00015464175,0.045958016
0.02650721,-0.005119874,0.043734465
0.026559226,0.018239783,0.044614963
0.027031293,-0.007582175,0.04029832
0.025496298,0.02195778,0.040866576
0.025886415,0.020518424,0.036982886
0.02706951,-0.011868157,0.03448783
0.025555253,0.00820981,0.028469495
0.026816346,-0.010756093,0.027609866
0.027268123,0.0057542147,0.027561268
0.026652524,0.004731677,0.028150002
0.026013039,-0.008757079,0.025661116
0.026695276,-0.0019247878,0.025170423
0.02499288,0.0013778341,0.022892745
0.025511378,0.0026784267,0.02324765
0.024895202,0.0046085394,0.047566205
0.025614766,0.01313145,0.047373403
0.025031114,0.017403783,0.04562549
0.024152657,0.021907581,0.043428097
0.025896726,-0.010873702,0.03655314
0.026346665,-0.009561425,0.03196007
0.025356617,0.018947106,0.03268704
0.026570508,-0.014019056,0.031281095
0.02594195,-0.004902298,0.034561694
0.026813747,-0.0040051755,0.030650018
0.02677421,9.478469e-05,0.034344204
0.027283711,0.0019400392,0.03160252
0.026061516,0.004098068,0.033310935
0.026200134,-0.009436198,0.028595487
0.026406076,-0.00042367823,0.02841117
0.02462531,0.0075319665,0.029747296
0.02474206,0.0024345573,0.025119632
0.024122635,0.012717906,0.04727642
0.023741655,0.005047475,0.047164135
0.024467247,-0.0031683166,0.04417961
0.025455244,-0.0065211924,0.03970738
0.025420824,-0.007193827,0.038367093
0.023639081,0.025868427,0.040759407
0.025333976,-0.006195322,0.03612799
0.02400781,-0.0033607304,0.036554284
0.024491088,0.0050876443,0.03462778
0.023928186,0.017022364,0.030148221
0.024086574,0.013443413,0.027605271
0.02369081,0.010127653,0.02724489
0.022900296,0.0074843336,0.046066318
0.023907248,0.024609609,0.04296925
0.023578225,0.0220824,0.031982575
0.02363708,0.007900844,0.03180312
0.022583943,-0.00042102678,0.04368053
0.021784753,0.020488322,0.044303603
0.02246802,0.0001645547,0.03941805
0.023957003,0.0059239515,0.03547101
0.023539575,0.0076947967,0.038004883
0.02264445,0.0005246686,0.037826166
0.021584993,0.02691556,0.03747832
0.023339497,0.010550771,0.03571736
0.022021573,0.010925868,0.030438052
0.02181472,0.022511112,0.03129032
0.021538585,0.015260514,0.02726314
0.02201051,0.006161071,0.04487105
0.021520771,0.01174903,0.0456631
0.02226114,0.0247133,0.04281937
0.0217102,0.0059844423,0.04221122
0.021028396,0.026811581,0.0410043
0.019498039,0.028358351,0.0385972
0.022340052,0.0062454026,0.040140145
0.020958673,0.012021715,0.032768145
0.019712405,0.02662809,0.03441797
0.021960882,0.017718088,0.030006018
0.021499965,0.014096522,0.027147757
0.019745158,0.009198721,0.042252034
0.02063224,0.02349222,0.0421312
0.019861378,0.009403936,0.038783815
0.020676443,0.012082846,0.03609406
0.019840723,0.013136471,0.028485592
0.020439368,0.015283669,0.04389108
0.018969413,0.016700175,0.0415189
0.018077355,0.026264055,0.039823852
0.015623321,0.021413462,0.031276796
0.018038858,0.016227614,0.02693149
0.018172251,0.018159091,0.029832194
0.018933471,0.013999623,0.03895983
0.019441944,0.012675811,0.03750158
0.01907772,0.027424578,0.03687737
0.01752498,0.024759952,0.032641247
0.01642565,0.022926373,0.03844102
0.01655361,0.026025657,0.034430005
0.017011356,0.013409514,0.03024057
0.01640149,0.016684577,0.038595047
0.015148425,0.02407497,0.03548881
0.0146659715,0.015958328,0.03467625
0.015008928,0.013677069,0.027229112
0.014660281,0.021649709,0.03177771
0.014367314,0.018368263,0.02653796
0.0133582745,0.015055564,0.026529327
0.014553053,0.017496584,0.035547383
0.014180121,0.01974961,0.034452867
0.014284416,0.021360226,0.032670923
0.011347864,0.013528584,0.028967744
0.012082761,0.017103575,0.034162637
0.012562956,0.019208955,0.027522488
0.011087487,0.015849823,0.03297855
0.011524679,0.019426206,0.030754508
0.0116736,0.016296782,0.027263429
0.010559482,0.016864795,0.03216927
0.010367739,0.016369967,0.029428763
