v1,v2,v3
0,1,2
2,3,0
0,4,1
1,5,2
5,6,2
6,7,2
4,8,1
7,3,2
3,7,9
0,10,4
11,0,3
11,10,0
12,13,14
12,15,13
12,14,16
8,5,1
7,6,17
4,18,8
11,3,9
19,20,21
22,20,19
22,19,13
23,20,22
23,22,17
15,22,13
16,14,24
25,22,15
17,22,25
12,25,15
5,23,17
6,5,17
7,17,25
26,25,12
26,12,16
27,7,25
27,25,28
28,25,26
9,7,27
9,27,29
27,28,29
18,4,30
31,21,20
32,13,19
13,33,14
33,34,14
34,35,14
24,14,35
23,31,20
36,16,24
37,23,5
8,37,5
38,37,8
36,26,16
30,39,18
4,10,30
21,32,19
32,40,33
33,13,32
35,41,24
24,41,42
23,37,31
42,36,24
8,18,38
43,26,36
26,44,28
45,46,29
29,28,44
9,46,11
47,30,10
11,46,48
49,50,51
52,49,51
52,51,53
52,53,54
55,32,21
33,40,56
34,56,50
34,50,49
34,49,57
34,33,56
41,34,57
35,34,41
57,49,52
57,52,58
59,52,54
58,52,59
42,41,57
42,57,58
59,42,58
59,36,42
60,36,59
36,60,43
43,60,61
43,44,26
45,29,44
46,9,29
45,44,62
63,47,10
10,11,48
51,50,64
53,65,54
66,55,21
55,67,32
68,54,65
68,59,54
59,61,60
18,69,38
39,69,18
62,44,43
70,46,45
47,39,30
48,71,10
10,71,63
46,71,48
53,72,65
53,51,72
56,73,50
73,64,50
73,56,40
40,32,67
74,68,65
21,31,66
37,66,31
75,59,68
75,61,59
76,43,61
45,62,70
77,39,47
64,78,79
79,80,64
78,73,81
82,72,83
73,84,81
73,78,64
64,80,72
65,72,82
81,84,67
72,51,64
67,84,40
40,84,73
65,82,85
37,38,86
75,68,87
88,61,75
89,76,61
62,43,76
63,77,47
81,90,78
91,80,79
80,83,72
67,92,81
65,85,74
85,82,93
94,85,93
74,85,95
95,68,74
95,87,68
86,38,96
88,75,87
97,89,61
61,88,97
70,71,46
98,63,71
78,99,79
100,82,83
101,93,82
92,67,55
66,92,55
95,85,94
95,94,102
66,37,86
103,88,87
38,104,96
69,104,38
39,105,69
39,77,105
71,70,98
90,99,78
80,91,83
101,94,93
86,92,66
106,87,95
89,107,76
104,69,105
108,70,62
109,110,77
109,77,63
109,63,98
99,91,79
82,100,111
111,101,82
112,90,81
92,112,81
101,113,94
114,94,113
106,95,102
106,103,87
97,107,89
115,108,76
107,115,76
62,76,108
91,99,116
99,90,117
99,117,116
91,118,83
118,100,83
90,112,119
101,111,113
120,94,114
86,121,92
102,94,120
106,102,120
106,120,122
123,96,104
97,88,103
105,123,104
77,110,105
70,108,124
98,70,124
125,91,116
125,118,91
118,111,100
92,121,112
112,121,126
120,114,127
128,121,86
128,86,96
123,110,129
123,105,110
130,124,108
124,109,98
117,90,119
131,113,111
114,113,127
127,122,120
132,122,127
106,122,133
96,123,128
133,103,106
134,97,103
97,135,107
136,129,110
124,137,136
136,110,109
136,109,124
138,118,125
117,139,116
116,140,125
118,131,111
141,127,113
133,134,103
142,137,124
143,115,107
124,130,142
115,144,108
144,130,108
140,116,139
119,139,117
118,145,131
131,146,113
126,119,112
146,141,113
141,132,127
121,147,126
147,121,128
133,122,132
132,148,133
128,149,147
123,129,128
128,129,149
150,149,136
149,129,136
150,136,137
137,142,150
135,97,151
151,97,134
107,135,143
142,130,144
125,152,138
138,145,118
153,125,140
139,119,154
119,155,154
126,155,119
146,156,141
156,132,141
132,156,157
147,158,126
157,148,132
158,147,159
150,147,149
147,150,159
134,133,160
133,148,160
159,150,142
138,161,145
152,125,153
154,140,139
145,146,131
126,158,162
142,144,163
163,144,164
135,151,143
142,163,159
115,165,144
138,152,161
153,140,154
161,146,145
166,156,146
157,156,166
167,157,166
126,162,155
167,148,157
158,163,162
159,163,158
168,151,134
134,160,168
169,165,143
143,165,115
165,164,144
153,170,161
153,161,152
161,166,146
154,171,153
153,171,170
155,172,154
172,155,162
166,173,167
173,174,167
174,168,167
175,174,173
167,160,148
176,177,163
175,177,176
168,160,167
163,164,176
176,164,165
175,151,174
176,165,169
176,169,175
175,169,143
175,143,151
174,151,168
154,172,171
173,161,170
173,166,161
178,170,171
170,178,173
172,162,179
173,178,179
179,162,177
173,179,175
163,177,162
179,177,175
171,172,179
171,179,178
