L,I,A
0.025378691,-0.025039017,0.0208875
0.024782004,-0.026509836,0.027649567
0.024993392,-0.024905123,0.028647216
0.024197182,-0.022550857,0.020524677
0.024421684,-0.025979532,0.02154438
0.022075497,-0.026248965,0.030105833
0.023342328,-0.02394608,0.029303571
0.022307105,-0.021405669,0.027992342
0.023127666,-0.02736262,0.027223216
0.021661656,-0.020914456,0.02383225
0.01932862,-0.022919761,0.018769417
0.022594033,-0.021938203,0.018842567
0.023180181,-0.015674932,0.034900244
0.021427043,-0.019905498,0.03529363
0.022431174,-0.014439222,0.037143376
0.02190662,-0.019944182,0.034048315
0.021884473,-0.01240107,0.03185711
0.021848164,-0.023395145,0.03143052
0.021281583,-0.027642285,0.025440989
0.02127847,-0.021971548,0.038703356
0.021200554,-0.02475431,0.037227176
0.019614106,-0.024025789,0.039322335
0.021917196,-0.023154309,0.035863064
0.021124376,-0.026071703,0.03216334
0.020418758,-0.011350284,0.033777073
0.02138015,-0.0151612535,0.028371084
0.020932125,-0.01170859,0.02767392
0.021726815,-0.019479766,0.02657253
0.020916222,-0.015905788,0.025900854
0.020939257,-0.019855509,0.024923576
0.0193493,-0.026726313,0.022805503
0.019878605,-0.025743661,0.03715374
0.018580105,-0.020644708,0.040014375
0.018906364,-0.018583627,0.037342023
0.019397525,-0.015269102,0.038530357
0.019518714,-0.0135948155,0.037815727
0.019397667,-0.00911441,0.029344164
0.017889956,-0.026547266,0.033898305
0.01726516,-0.028175615,0.029175835
0.015365706,-0.027161948,0.022940045
0.017775793,-0.019510662,0.04057867
0.018645614,-0.011575532,0.036868248
0.019000506,-0.0084339725,0.032550212
0.018359104,-0.009633753,0.026685167
0.019132467,-0.014675541,0.024879498
0.01890073,-0.018464329,0.024607744
0.016962333,-0.020071728,0.023285817
0.018081302,-0.02505753,0.021432273
0.01862308,-0.02151483,0.019559134
0.018666442,-0.01155622,0.04166944
0.01944997,-0.014507376,0.041247126
0.018487055,-0.008904454,0.042731285
0.019306542,-0.006053816,0.038860384
0.017743185,-0.005109637,0.04331134
0.018696029,-0.0044465754,0.03827786
0.017522885,-0.022545712,0.040155254
0.018057996,-0.017191142,0.04075379
0.018305784,-0.010617539,0.03812038
0.018484907,-0.0062698345,0.034340303
0.017911788,-0.004696575,0.0319858
0.018034171,-0.0059468634,0.028877176
0.017006416,-0.005834121,0.027760977
0.016164262,-0.014135287,0.023782928
0.016216023,-0.022871388,0.020991113
0.016297353,-0.010876458,0.044992406
0.015883613,-0.0037304421,0.043788068
0.014763422,-0.024420124,0.038025413
0.017204184,-0.021206245,0.041651454
0.016002137,-0.0022075758,0.03604262
0.014112602,-0.02775242,0.025501754
0.013491663,-0.017878056,0.023899885
0.016025864,-0.021113917,0.021407887
0.015634,-0.0054550963,0.045161787
0.015975807,-0.015099072,0.043513127
0.015526502,-0.0020136894,0.03855562
0.015093663,-0.0029768723,0.030887553
0.015171629,-0.010427179,0.025659828
0.013029957,-0.026008913,0.022078982
0.014769168,-0.013438821,0.04718733
0.01443164,-0.011462513,0.047165956
0.014325755,-0.008425063,0.04592436
0.01425112,-0.019468628,0.043707263
0.015086214,-0.00012356264,0.044982538
0.013727632,-0.0033519778,0.046545956
0.015403687,-0.01927395,0.043119755
0.014875742,0.0017809874,0.039486904
0.011441267,-0.02532317,0.03664772
0.013620446,0.00056688074,0.03194691
0.013699163,-0.0033331877,0.029012088
0.014662283,-0.006774972,0.026952393
0.0121746855,-0.016731463,0.04552939
0.010912892,-0.0080097085,0.046950016
0.010722484,-0.023256643,0.03929336
0.0143762985,0.0014948274,0.042480346
0.012116693,0.0031514198,0.04042931
0.014346196,0.0006376064,0.03663451
0.012097669,-0.026706591,0.032055486
0.009799459,-0.0030889253,0.028922915
0.0118456725,-0.020351471,0.02274626
0.012185197,-0.0117408065,0.04755422
0.01172951,-0.00142134,0.046205293
0.0114993295,0.002410936,0.04343012
0.011403264,0.0026349085,0.036072955
0.011401207,0.0012612678,0.030695377
0.011148275,-0.027513804,0.02764159
0.0112018185,-0.027215201,0.025123483
0.010607953,0.002807919,0.031623382
0.00940954,-0.008096266,0.027126323
0.010020702,-0.014128513,0.02415752
0.011123882,-0.022928283,0.02245869
0.010709193,-0.02479622,0.023070669
0.009563978,0.0015724038,0.04440868
0.010052779,-0.019821048,0.042155914
0.009538222,0.005045034,0.04310744
0.009878575,0.006123551,0.04122797
0.005135576,-0.010017339,0.02627346
0.009023883,-0.00860647,0.04678137
0.008045407,-0.01295183,0.04597437
0.006641563,-0.002025961,0.04640461
0.0071468274,-0.01607848,0.04406145
0.01000274,0.00600697,0.038929492
0.0083501935,-0.023023106,0.037604913
0.009127612,0.0054009864,0.03379138
0.008563346,-0.026637629,0.02807033
0.009974838,-0.018099932,0.024648255
0.008222614,-0.0062100803,0.04646564
0.006097266,-0.019045467,0.038280524
0.007910727,0.0071207364,0.0394282
0.0069980854,-0.023727039,0.031656247
0.0074643437,-0.024857795,0.027615707
0.007583954,-0.0151909385,0.025162028
0.0069333836,0.0016460019,0.043721586
0.006999869,0.0068909894,0.03692777
0.007020974,0.00488515,0.031103456
0.005016894,0.0025055914,0.029529609
0.0072541577,-0.004725629,0.028265772
0.0069872756,-0.021734333,0.02719874
0.0071236095,-0.01869529,0.02709428
0.0054224953,-0.0030113445,0.04628251
0.0062164892,-0.013231971,0.044476245
0.0064489725,-0.008940498,0.044648807
0.0065387967,0.006512565,0.039824743
0.0059798397,-0.016461562,0.027499763
0.004542768,-0.005812966,0.028345443
0.0060653393,-0.01279466,0.025786094
0.0045738705,-0.0011310962,0.045186944
0.0034861723,0.0015244638,0.041044787
0.0061492356,-0.020626256,0.034357425
0.0043930598,0.006165384,0.033092685
0.005969782,-0.021845758,0.030442433
0.0057492135,-0.01873464,0.029789157
0.004051821,-0.0016757855,0.028045531
0.0033336447,-0.0050530015,0.04502152
0.003263969,-0.008185359,0.043119453
0.0029898912,-0.0116662085,0.04175258
0.0037972224,-0.015824167,0.039788328
