v1,v2,v3
0,1,2
1,2,3
4,2,5
6,7,8
9,7,6
1,5,2
3,2,4
9,10,11
7,9,11
8,7,12
13,7,11
13,12,7
14,12,13
15,4,16
5,1,10
3,4,15
11,10,0
0,10,1
17,14,11
11,14,13
0,17,11
14,8,12
9,6,18
5,16,4
3,15,1
1,15,19
6,8,20
21,17,0
0,1,21
14,20,8
18,22,9
23,6,24
22,10,9
10,25,5
26,15,16
27,15,26
1,19,21
20,24,6
20,14,28
28,14,17
5,29,16
29,26,16
6,23,18
22,30,10
25,10,30
20,28,31
27,19,15
17,21,32
24,20,31
33,18,23
34,26,35
24,33,23
30,22,36
25,37,5
27,26,34
21,25,30
27,38,19
39,28,17
17,36,39
30,36,32
32,36,17
32,21,30
19,32,21
26,29,35
40,24,31
28,39,31
41,25,21
21,32,41
42,36,22
43,36,42
44,37,25
24,40,33
35,45,34
45,38,34
34,38,27
39,46,31
32,47,41
48,47,32
18,33,49
22,18,42
43,42,50
43,50,44
44,50,37
35,29,51
37,29,5
40,52,33
44,53,43
25,53,44
41,53,25
47,53,41
48,32,19
48,19,38
42,54,50
49,33,55
56,51,57
42,18,49
45,35,51
43,53,58
40,46,52
31,46,40
45,59,38
39,60,46
61,60,39
39,36,43
47,62,53
62,47,63
48,63,47
64,50,54
64,37,50
65,37,64
51,29,57
52,55,33
37,66,29
67,51,56
51,59,45
60,52,46
68,58,53
62,68,53
69,61,39
39,43,69
59,70,38
48,38,70
48,70,71
48,71,63
72,64,54
57,73,56
73,67,56
49,74,42
54,42,74
66,57,29
75,67,76
58,69,43
77,62,63
78,71,70
63,71,79
79,71,78
73,76,67
52,80,55
65,66,37
67,81,51
81,67,82
82,67,75
80,52,60
81,59,51
83,60,61
69,83,61
62,77,68
84,78,70
63,79,85
86,65,64
65,86,87
75,76,88
58,68,69
60,83,80
81,84,59
84,70,59
85,77,63
86,64,72
89,76,73
72,54,74
89,88,76
57,66,73
80,90,55
90,91,55
55,91,49
92,66,65
91,90,93
94,82,75
93,90,83
90,80,83
78,95,79
95,78,84
65,87,92
96,88,89
94,75,88
97,81,82
98,69,68
68,77,98
81,99,84
100,92,87
101,89,73
101,73,66
74,49,91
96,102,88
103,104,82
105,94,88
105,88,102
93,83,106
106,83,69
69,98,106
97,99,81
79,107,85
107,79,95
99,95,84
86,108,87
72,109,86
74,109,72
110,89,101
96,89,110
111,92,100
92,111,66
112,82,104
103,82,94
97,82,112
77,113,98
95,99,114
108,100,87
110,115,96
66,111,101
93,116,91
74,91,116
115,102,96
105,117,94
118,99,97
85,113,77
95,114,107
114,99,118
108,109,119
86,109,108
120,74,116
93,121,116
103,94,117
106,122,93
123,117,105
106,98,124
107,125,85
110,126,127
101,128,126
101,126,110
115,110,127
111,100,128
111,128,101
129,120,116
115,127,130
109,74,120
93,122,121
131,97,112
131,118,97
85,125,113
126,132,127
128,133,126
128,100,134
108,134,100
121,129,116
102,115,130
135,105,102
123,105,135
112,136,131
112,104,137
136,112,137
113,124,98
118,131,138
139,113,125
114,138,125
138,114,118
133,132,126
127,132,140
134,108,119
129,141,120
120,141,109
130,135,102
122,142,121
143,104,103
143,137,104
143,103,117
124,122,106
107,114,125
144,140,133
133,140,132
128,145,133
134,145,128
130,127,140
145,134,146
147,129,121
130,148,135
121,142,147
143,149,137
131,136,150
137,151,136
152,138,131
152,131,150
145,144,133
144,145,140
148,130,140
146,134,119
140,145,148
147,141,129
109,141,153
109,153,119
154,146,155
146,154,145
148,145,154
147,156,141
135,148,157
150,158,159
160,158,150
154,149,143
150,136,160
136,161,160
149,151,137
157,143,117
135,117,123
159,152,150
136,151,161
124,142,122
124,113,139
152,162,138
125,162,139
162,125,138
119,158,155
119,155,146
141,156,153
149,155,161
155,149,154
148,154,157
147,142,156
159,158,153
151,149,161
143,157,154
117,135,157
142,139,156
159,156,152
156,139,152
142,124,139
139,162,152
158,119,153
158,160,155
156,159,153
160,161,155
