L,I,A
0.026680361,-0.01098826,0.02009651
0.02548418,-0.009633932,0.020892028
0.028320452,-0.0074901786,0.020585563
0.025158163,-0.0065873615,0.020689784
0.02472275,-0.0061363853,0.022202421
0.023010507,-0.007279485,0.02309193
0.023521757,-0.019015107,0.02135017
0.026126109,-0.014196845,0.020171046
0.025198545,-0.01815036,0.018351939
0.025064742,-0.013576398,0.023206579
0.023565162,-0.010583872,0.021889176
0.02598288,-0.012110985,0.020075686
0.02526336,-0.01502292,0.018749073
0.027229577,-0.013272835,0.018684471
0.024278054,-0.013184516,0.018357886
0.023981575,-0.004096177,0.020649323
0.023693576,-0.0042688665,0.02327184
0.02142599,-0.011390913,0.019198546
0.020976622,-0.015923671,0.023859004
0.019905487,-0.006253882,0.018736748
0.022909518,-0.019519614,0.018586878
0.020838639,-0.009139159,0.019308442
0.019866984,-0.013710331,0.023631675
0.021840291,-0.019926552,0.023813117
0.02101626,-0.021739092,0.01917493
0.019983808,-0.007484116,0.022151561
0.021065462,-0.002487371,0.023229415
0.021035666,-0.0022812723,0.02161682
0.021329254,-0.01577742,0.020356875
0.01747591,-0.0012424496,0.024608437
0.021145435,-0.010225433,0.020902062
0.018802091,-0.018998615,0.021409871
0.020263694,-0.009974445,0.018934537
0.018565586,-0.020156836,0.024636202
0.02071596,-0.00026278655,0.022280045
0.019463252,0.0006144365,0.023706682
0.019805811,-0.012220185,0.021569481
0.017917914,-0.0064536245,0.023026284
0.017102664,-0.0039142687,0.020106962
0.019194113,-0.013821734,0.020277778
0.018429907,-0.020363044,0.022247273
0.017985279,-0.009023552,0.019331718
0.017323276,-0.01240309,0.024553042
0.017191058,-0.0116687985,0.023042737
0.018300582,-0.0077170017,0.022935992
0.017320443,0.00042255476,0.022123834
0.016565582,-0.018683884,0.020968668
0.018070465,-0.009044497,0.017715022
0.016773833,-0.005651227,0.016271846
0.014019967,-0.014333238,0.023779491
0.017109515,-0.008653144,0.025935426
0.014845234,0.00146885,0.02395554
0.015264497,-0.019502237,0.023141451
0.017282436,-0.008716325,0.021959336
0.015469445,-0.00993495,0.026484815
0.013250131,-0.017257635,0.024069525
0.017811382,0.0036137013,0.02462852
0.014280256,0.0016774616,0.024765443
0.014185781,-0.010794084,0.022365285
0.015373658,8.5003354e-05,0.02063172
0.0144321695,-0.018669609,0.019306373
0.014705679,-0.014449048,0.019158056
0.014326424,-0.008151502,0.018497624
0.01597101,-0.008078794,0.0153982965
0.013391685,-0.007536942,0.026159825
0.013460547,-0.005689018,0.023970656
0.0093723005,0.0022790441,0.024309063
0.015244432,0.005433188,0.024014138
0.013221918,-0.009079839,0.020546256
0.011936311,-0.012548381,0.019397933
0.01424154,-0.00030972005,0.016956812
0.015326548,-0.0049523762,0.013968093
0.011492597,-0.0083204,0.026860205
0.011867728,0.006890005,0.026230652
0.00818217,-0.010860832,0.025350133
0.012877241,0.0088990815,0.023178019
0.013676642,0.008767003,0.025815288
0.010491866,-0.009140257,0.016762072
0.013885744,-0.0044803238,0.0129178865
0.012402146,-0.006953659,0.0124302665
0.010355768,-0.018938178,0.0227867
