v1,v2,v3
0,1,2
2,3,0
1,0,4
5,6,7
5,8,6
8,9,6
8,0,9
8,4,0
10,7,11
6,9,12
13,9,0
10,11,14
11,15,14
16,17,18
16,18,19
19,20,21
19,18,22
19,22,20
20,22,23
2,1,24
2,25,26
2,26,3
27,28,29
30,31,29
7,10,32
7,6,11
33,11,6
34,29,31
6,12,35
10,14,32
12,9,36
9,13,36
37,38,31
39,40,14
41,42,43
41,44,42
45,39,14
14,15,45
46,45,15
42,44,47
48,47,44
39,45,49
45,46,50
46,51,50
47,48,52
53,52,48
50,51,54
50,54,55
51,52,54
52,53,54
54,56,55
57,58,16
57,16,59
16,58,60
16,60,17
16,21,59
59,21,61
21,16,19
62,63,64
62,65,63
63,65,66
67,66,65
18,68,22
68,23,22
23,68,69
23,69,70
25,2,24
71,25,72
25,71,26
24,1,73
26,71,74
28,75,29
75,76,29
3,26,74
77,74,71
1,4,78
0,3,13
74,77,79
40,31,30
35,33,6
27,29,34
27,34,80
40,32,14
41,36,13
13,79,41
34,31,38
31,40,37
11,33,15
36,41,43
79,81,41
79,77,81
39,37,40
37,49,38
82,46,15
81,44,41
37,39,49
51,46,82
48,83,84
48,84,53
85,45,50
51,86,52
50,55,85
54,53,56
57,87,88
57,88,89
57,90,87
57,59,90
57,89,58
59,61,90
61,21,91
62,92,93
21,94,91
17,95,96
17,96,18
20,94,21
65,62,97
67,98,66
66,98,99
98,71,99
100,70,69
100,24,73
28,101,75
73,1,102
71,103,77
29,76,104
105,28,27
106,7,32
7,106,5
5,107,8
107,78,4
104,30,29
3,74,79
30,104,32
8,107,4
3,79,13
30,32,40
12,36,35
33,82,15
38,108,34
38,49,108
42,47,109
44,110,48
49,45,111
47,52,109
83,112,84
86,51,82
111,45,85
111,85,113
114,55,56
88,115,89
116,87,90
89,117,58
118,89,115
90,119,116
61,120,90
120,119,90
17,60,95
92,62,64
121,93,92
122,64,63
93,97,62
63,66,123
18,96,68
20,23,124
98,67,125
126,124,23
23,70,126
66,99,127
99,71,72
103,71,98
69,128,100
24,100,128
128,129,24
101,28,130
131,75,101
1,78,102
80,105,27
33,35,132
133,80,34
35,36,132
34,134,135
34,135,133
34,108,134
42,109,43
44,81,110
49,136,108
49,111,136
112,137,84
113,136,111
52,86,109
84,138,53
56,53,138
139,140,141
142,143,88
144,142,88
88,143,115
88,87,144
115,145,118
89,118,117
118,145,146
146,145,147
146,147,148
120,61,149
61,91,149
148,92,146
60,117,150
121,92,148
148,151,121
150,95,60
64,152,92
91,94,153
63,123,122
93,121,154
65,155,67
20,156,94
67,155,125
124,156,20
66,127,123
157,69,68
72,127,99
158,126,70
159,160,101
69,129,128
24,129,25
159,101,130
159,130,161
75,131,76
100,73,102
162,130,28
162,28,105
103,163,77
164,5,106
5,164,107
104,106,32
77,163,165
132,36,43
80,133,166
33,132,82
132,43,109
165,81,77
108,136,134
81,165,167
110,81,167
82,109,86
48,110,83
112,168,169
137,112,169
84,137,138
56,138,170
141,114,56
56,170,141
85,55,171
141,140,114
139,172,140
55,114,171
114,140,173
174,114,173
144,87,175
87,116,175
117,118,176
177,118,146
148,147,151
60,58,117
116,119,178
177,146,92
120,149,119
149,91,153
149,179,119
64,122,152
94,156,153
97,93,180
93,154,180
181,95,122
65,97,155
95,181,96
96,181,68
155,182,125
123,127,183
125,182,98
68,181,157
127,72,183
103,98,182
184,160,159
129,72,25
182,185,103
101,160,186
70,100,158
101,186,131
100,102,158
130,162,187
102,78,188
107,188,78
163,103,185
161,130,189
106,104,76
163,190,165
191,105,80
190,192,165
133,135,193
194,195,135
196,135,134
196,194,135
134,197,196
132,109,82
192,167,165
198,134,136
134,198,197
136,113,198
199,83,110
83,199,112
198,113,171
169,200,139
169,168,200
137,169,139
113,85,171
170,137,139
200,201,172
141,170,139
200,172,139
174,171,114
202,173,140
142,144,203
142,204,143
205,206,207
205,207,208
143,204,209
143,209,115
210,145,115
211,147,145
175,116,212
116,178,212
118,177,176
213,178,119
152,177,92
149,214,179
119,179,213
95,150,122
122,150,215
97,180,216
121,151,217
217,218,121
154,121,218
153,156,219
123,181,122
156,124,219
158,124,126
69,157,129
184,159,220
221,222,223
222,224,223
159,161,220
130,187,189
188,107,164
76,225,106
190,163,226
162,105,191
162,191,187
80,227,191
192,190,228
135,195,193
133,229,166
192,228,167
230,168,112
110,167,199
199,230,112
231,197,198
200,168,232
198,171,231
138,137,170
231,171,233
174,233,171
172,201,234
140,172,235
236,237,238
238,237,239
240,238,239
241,239,237
240,239,242
243,242,239
244,243,239
241,244,239
208,245,205
142,203,204
205,245,246
205,246,206
208,207,247
144,175,248
115,209,210
211,145,210
249,207,206
206,250,249
117,176,215
147,251,151
117,215,150
176,177,215
177,152,215
250,252,249
215,152,122
253,254,153
153,219,253
219,124,255
181,123,157
183,157,123
256,221,257
221,258,222
221,256,258
124,158,259
72,157,183
184,260,160
157,72,129
221,223,261
158,102,188
226,185,262
185,226,163
223,263,261
161,264,220
161,189,264
131,186,76
76,186,225
164,225,188
223,265,263
106,225,164
190,226,266
189,267,268
189,187,269
269,267,189
80,166,227
227,270,191
