L,I,A
-0.022299265,-0.086152315,0.015930228
-0.01940084,-0.085451715,0.01914067
-0.020488465,-0.08565282,0.021164067
-0.023457184,-0.08307858,0.016415024
-0.020524483,-0.0848067,0.014913724
-0.015834227,-0.085419625,0.01657463
-0.016174067,-0.085659645,0.014657736
-0.014091659,-0.086062856,0.015703602
-0.019005023,-0.085415296,0.013900244
-0.020960655,-0.086441234,0.012505658
-0.013656346,-0.08657944,0.0129114045
-0.0154070975,-0.086452566,0.011883695
-0.01912244,-0.086154886,0.011696355
-0.023502804,-0.08444423,0.012221164
-0.014735902,-0.08589327,0.009405121
-0.016608633,-0.08536157,0.008885337
-0.012782272,-0.084133856,0.034699246
-0.013601257,-0.08458939,0.03213425
-0.013020083,-0.08497621,0.028765382
-0.010999672,-0.085516505,0.029748432
-0.00914585,-0.08394476,0.027300915
-0.008690701,-0.084462255,0.029647252
-0.0128521845,-0.08544495,0.026066767
-0.011214814,-0.084566735,0.024286207
-0.018066498,-0.08465419,0.02203347
-0.023178272,-0.084070526,0.021227421
-0.025575953,-0.08400748,0.020293936
-0.0072807088,-0.08392975,0.015749564
-0.0070540886,-0.083327204,0.01921841
-0.00841318,-0.08442942,0.016454272
-0.0105058,-0.08370084,0.014496285
-0.009770956,-0.085390925,0.011390398
-0.012852045,-0.08361775,0.013068681
-0.016577626,-0.08272561,0.011366358
-0.007760959,-0.08293737,0.010037458
-0.017223785,-0.0831188,0.012602466
-0.021889579,-0.083718196,0.010932304
-0.012319248,-0.08441901,0.008256662
-0.009310688,-0.084362656,0.007966201
-0.013927757,-0.085400246,0.006021948
-0.012247942,-0.0835353,0.010624822
-0.024185771,-0.08443616,0.008332351
-0.020225367,-0.08499856,0.007847642
-0.021890292,-0.083753556,0.009865929
-0.021567293,-0.084496535,0.006572842
-0.016272414,-0.08492723,0.0043686894
-0.0170199,-0.08468137,0.0047636013
-0.019878708,-0.08481631,0.0043287617
-0.022068007,-0.08485968,0.004790581
-0.012098294,-0.08297546,0.005194527
-0.015740234,-0.084254034,0.0013828726
-0.017274017,-0.08367114,0.0008723304
