v1,v2,v3
0,1,2
3,4,5
6,2,1
7,6,1
8,9,6
10,6,7
10,7,11
8,6,10
10,12,8
13,7,14
11,7,13
11,13,15
16,12,10
17,4,18
3,18,4
19,18,3
0,2,20
3,21,19
3,5,9
0,7,1
8,22,21
9,21,3
9,8,21
0,23,7
24,25,23
25,24,26
7,23,25
5,6,9
14,25,26
14,26,27
25,14,7
28,29,30
29,28,31
32,10,11
33,31,12
33,12,16
32,16,10
33,16,34
35,36,37
38,35,37
39,35,40
40,35,41
38,42,43
42,44,45
46,45,47
48,49,50
50,40,48
40,50,39
48,40,41
51,46,47
43,42,46
45,46,42
49,52,53
53,54,55
52,49,48
54,53,52
52,48,56
56,48,57
58,56,57
59,55,18
54,18,55
60,54,52
18,54,60
61,18,19
2,56,20
62,0,20
63,19,21
64,62,65
66,4,17
66,5,4
64,0,62
21,22,63
24,0,64
6,5,2
8,67,22
26,24,68
69,67,8
27,70,14
28,69,8
30,71,28
8,12,28
29,72,30
73,72,29
15,74,11
29,75,73
32,11,74
14,70,76
31,77,29
75,29,77
78,77,31
33,78,31
76,13,14
77,78,33
34,16,32
13,76,79
13,79,15
77,33,80
35,81,36
35,82,81
44,83,45
47,84,85
45,84,47
82,35,39
47,85,86
87,82,39
35,38,41
88,89,53
53,89,49
41,57,48
47,86,51
90,51,86
53,55,91
43,57,92
93,43,46
91,55,94
51,95,46
96,57,43
94,55,59
95,96,97
56,58,20
20,58,96
98,96,95
18,61,59
18,60,17
20,99,62
62,99,100
101,59,61
65,62,100
101,19,63
0,24,23
64,102,24
103,22,104
68,24,102
68,105,26
105,106,26
67,104,22
107,27,26
30,108,67
30,72,108
109,76,70
74,15,32
15,34,32
15,110,34
15,79,110
111,77,80
80,33,112
112,33,34
81,113,114
44,115,116
44,116,84
81,114,36
117,113,82
82,113,81
115,44,42
84,83,44
85,118,119
120,121,122
115,37,123
42,37,115
37,36,124
42,38,37
45,83,84
86,122,121
119,122,86
121,120,125
89,126,49
127,86,121
88,53,91
127,90,86
90,127,128
96,43,97
43,93,97
93,46,95
129,130,90
130,51,90
129,90,131
131,90,128
132,57,96
97,98,95
133,134,135
134,133,94
95,51,130
101,134,59
59,134,94
136,17,60
137,52,56
96,98,99
100,98,95
99,20,96
100,95,130
138,130,131
56,2,139
140,65,100
134,101,63
101,61,19
65,138,64
141,64,138
22,103,63
5,66,2
102,64,141
142,106,105
106,107,26
71,69,28
107,70,27
28,143,31
143,28,12
12,31,144
145,75,77
146,110,79
116,115,147
85,148,118
36,114,149
84,116,147
122,118,150
119,118,122
151,85,119
117,82,152
120,153,125
89,154,126
86,155,119
126,156,49
49,157,50
43,158,38
125,127,121
92,57,41
94,133,89
94,89,91
92,159,43
127,160,128
159,92,57
52,161,60
159,57,132
95,98,93
96,58,132
97,132,99
98,97,99
58,137,56
162,58,56
129,131,130
128,163,131
140,100,130
103,135,63
134,63,135
65,164,138
66,139,2
106,141,165
102,141,106
142,102,106
67,108,166
166,104,67
167,105,68
69,168,67
67,168,30
72,169,108
170,30,168
171,143,12
171,172,143
171,12,173
143,144,31
70,107,109
174,73,75
109,107,175
175,107,176
177,76,109
145,174,75
77,111,145
110,178,34
179,145,111
111,80,180
181,112,34
178,112,181
110,112,178
112,110,146
182,150,118
113,183,114
184,122,150
115,123,185
84,147,186
117,183,113
36,187,124
188,152,82
151,86,85
87,188,82
189,155,86
190,39,50
91,89,88
91,156,88
156,157,49
89,133,191
159,158,43
160,127,125
191,133,135
52,137,161
192,159,132
192,132,97
193,130,129
98,192,93
194,132,58
137,58,195
58,162,194
99,196,100
163,128,197
198,140,130
138,164,130
103,199,135
56,139,162
198,65,140
136,200,17
198,164,65
17,200,66
138,164,141
165,141,201
106,165,202
106,202,203
106,203,107
204,107,203
108,169,205
206,207,208
208,209,206
210,169,72
143,172,71
170,71,30
73,210,72
144,173,12
175,211,109
178,181,34
212,79,76
111,180,179
80,112,180
118,148,213
213,182,118
183,214,114
150,182,184
215,148,186
184,216,217
123,218,185
184,217,122
186,148,85
84,186,85
217,219,120
122,217,120
220,221,222
117,221,183
149,187,36
123,223,218
222,221,152
221,117,152
120,219,153
224,154,225
123,37,223
226,227,228
188,222,152
37,124,229
228,227,230
89,231,154
154,232,126
151,189,86
155,233,119
38,124,41
229,124,38
191,231,89
156,126,232
190,87,39
234,41,124
158,229,38
232,88,156
234,92,41
234,57,92
125,235,160
57,234,195
57,195,58
97,93,192
160,235,236
60,161,237
237,136,60
100,192,98
236,128,160
99,132,194
196,192,100
238,128,236
199,239,135
198,196,99
240,162,139
164,198,130
164,138,241
131,241,138
165,201,202
201,242,202
104,243,103
102,167,68
166,108,244
69,245,168
167,246,105
246,247,105
248,205,169
71,245,69
172,245,71
72,210,249
172,144,143
250,73,174
177,109,251
176,252,175
211,251,109
253,211,175
175,254,253
179,255,145
180,256,179
180,112,257
146,79,258
259,257,112
146,259,112
260,213,148
115,261,147
262,147,263
182,216,184
149,114,214
262,186,147
264,227,226
227,264,265
224,220,154
222,154,220
266,153,219
267,227,265
230,227,267
37,229,223
232,222,188
222,232,154
233,151,119
155,268,233
190,269,87
228,230,235
156,91,157
235,125,153
270,189,193
135,239,191
161,137,271
272,273,159
192,272,159
200,271,137
271,200,136
137,195,240
197,128,238
163,274,131
99,275,198
274,241,131
103,243,199
276,66,200
141,277,201
242,201,278
279,243,104
279,166,244
168,245,280
281,167,102
280,282,168
247,142,105
246,167,283
284,170,168
285,286,204
176,107,204
207,287,208
287,209,208
171,173,287
144,288,173
173,288,289
177,251,290
76,177,290
251,211,253
174,145,291
175,252,254
290,212,76
292,255,179
259,293,257
213,260,294
295,214,183
