L,I,A
0.0674431,-0.016889077,0.02836773
0.06894362,-0.01972467,0.025969444
0.067260236,-0.02264708,0.029637923
0.06910859,-0.029379707,0.02632215
0.068793334,-0.027076378,0.030413292
0.06607837,-0.025151055,0.023857575
0.06842546,-0.023680298,0.020447586
0.06790365,-0.017404556,0.019509079
0.06779205,-0.030881973,0.017245643
0.067774154,-0.029718818,0.020335289
0.06884173,-0.02030449,0.014499237
0.06776899,-0.015187859,0.016260719
0.06696997,-0.02711525,0.012998215
0.06853238,-0.010044334,0.01189135
0.067482725,-0.005457565,0.012617035
0.067034334,-0.013411285,0.005790848
0.06747323,-0.023052147,0.009636131
0.06597371,-0.024836686,0.03244339
0.06646727,-0.030816825,0.03535238
0.06572885,-0.03203997,0.02912342
0.066039674,-0.0180718,0.03521591
0.06748511,-0.033738565,0.025654206
0.066537,-0.03908744,0.024730286
0.065222144,-0.015288528,0.023642983
0.06613692,-0.011003884,0.02424041
0.068257555,-0.009049385,0.021283356
0.06751692,-0.0017541122,0.022943344
0.06645411,0.00084959413,0.01810328
0.066085204,-0.03138441,0.014614586
0.06821083,-0.034809288,0.011741432
0.06569334,-0.0366859,0.015824288
0.066790655,-0.02953695,0.011302498
0.066186704,-0.016459564,0.0059300917
0.06776291,-0.028130379,0.0061798324
0.065623544,-0.01698443,0.0047648773
0.06694437,-0.025361108,0.052431863
0.06534125,-0.023981674,0.05588832
0.06414837,-0.020786941,0.0530269
0.06467998,-0.018784873,0.049557425
0.065127775,-0.026588326,0.048681047
0.06629363,-0.023132835,0.04786399
0.06434409,-0.019731095,0.048042703
0.06723199,-0.0154254,0.048650917
0.065696195,-0.015554367,0.04421334
0.06500654,-0.017081108,0.05504071
0.06634635,-0.010270492,0.04789431
0.06623169,-0.008429245,0.045101713
0.06686044,-0.004145401,0.04926764
0.06666658,-0.021682296,0.044549584
0.06620131,-0.032309875,0.04762086
0.063706316,-0.02621987,0.046413515
0.06600122,-0.0031607056,0.04207071
0.0667238,-0.027777923,0.038179923
0.065881744,-0.037018348,0.046466433
0.06530319,-0.032565758,0.03998519
0.0653264,-0.037258834,0.04219366
0.06536757,-0.019949554,0.03553159
0.06541197,-0.018172814,0.042261306
0.064457275,-0.019488685,0.03707779
0.06665438,-0.036799554,0.03700517
0.06490955,-0.030206466,0.039040506
0.06434947,-0.034269456,0.033052467
0.06763751,-0.012508141,0.031947397
0.06618548,-0.038278222,0.030376632
0.0665843,-0.0060917283,0.026803704
0.064554974,-0.0044005355,0.032459326
0.06288856,-0.024148446,0.028419869
0.06493306,-0.037348207,0.020043632
0.065706424,-0.0085494155,0.023713348
0.06362521,-0.035468232,0.01924134
0.06637326,-0.0026809922,0.015253456
0.06487137,-0.03274797,0.014755036
0.064815395,-0.04092742,0.01658551
0.06301071,-0.044190284,0.012045677
0.06432002,-0.0150363995,0.010421211
0.06539738,-0.036030557,0.007725174
0.06512783,-0.006889114,0.0063960645
0.0648615,-0.03275953,0.0054087983
0.06497926,-0.030366959,0.008881981
0.062502645,-0.008695404,-0.0032663879
0.06456764,-0.025759194,0.0003667984
0.065998614,-0.028000472,0.056162056
0.06509697,-0.033941954,0.051154304
0.06374253,-0.0128990095,0.052928537
0.06407329,-0.010701218,0.055917993
0.063173056,-0.009674629,0.05713382
0.06431249,-0.00054380036,0.048165154
0.06206912,-0.035261247,0.048138212
0.06340817,-0.03992559,0.04671009
0.06306727,-0.042948984,0.048208717
0.06425808,-0.0004196701,0.042794593
0.06277247,-0.03996241,0.044564888
0.0638264,-0.01802163,0.043325692
0.06227339,-0.011816948,0.041141793
0.064526014,-0.040937576,0.040569663
0.065111786,-0.008708855,0.03791993
0.06529723,-0.015426987,0.037967086
0.06380216,-0.013325668,0.040059578
0.063971885,-0.011418763,0.03757273
0.06322997,-0.012110894,0.035750236
0.063488215,-0.008744881,0.035233613
0.06402467,-0.03845932,0.03380198
0.064290285,-0.0051002502,0.0248198
0.064344086,-0.047183372,0.029759545
0.06199282,-0.044048302,0.025045745
0.06277936,-0.004197502,0.02145868
0.06346392,0.0020849458,0.024154237
0.063071586,0.0051274565,0.017342918
0.06388663,-0.046837617,0.020328155
0.0636581,-0.0037978746,0.009309105
0.06383039,-0.012519516,0.00071289827
0.063212425,-0.030214295,0.0019905244
0.0635537,-0.018175485,-0.0017757111
0.06340098,-0.029181855,0.058829702
0.06262724,-0.0265046,0.060891405
0.063189596,-0.020936241,0.062216125
0.064436875,-0.015957389,0.0602817
0.061308313,-0.032612406,0.05497802
0.065139025,-0.00716449,0.06094185
0.06295969,-0.00071391294,0.052273016
0.064185604,0.0077488706,0.05595266
0.065002576,0.0053381957,0.050512124
0.06332167,-0.0012190094,0.05745796
0.06309871,-0.022493592,0.056536835
0.061735626,-0.02100225,0.05158653
0.062884346,0.0103246,0.0454896
0.06377734,-0.03852411,0.049158104
0.06364926,0.0043550567,0.044220474
0.06493572,0.0060871886,0.037860207
0.063037366,-0.0015703506,0.039856788
0.06314387,-0.004421974,0.036853652
0.063958764,0.0022243958,0.03413784
0.06341216,-0.015363777,0.0383351
0.06433423,-0.046116684,0.04090331
0.06258159,-0.040475197,0.03463159
0.062793866,-0.047121942,0.036248032
0.061600175,-0.027837364,0.035923216
0.06285904,-0.02501831,0.036157098
0.06410859,-0.0013200531,0.03367689
0.0591191,-0.023711212,0.03218629
0.06259073,-0.006511879,0.033931687
0.06339769,0.0005451508,0.03014328
0.062245857,-0.0018617325,0.023624001
0.06226164,-0.029350784,0.014438278
0.062423933,-0.028062614,0.011892441
0.06419614,-0.037863966,0.0025494918
0.062785715,-0.014568184,-0.0025856781
0.06160476,-0.01750859,0.06475261
0.06167125,-0.012416137,0.06421803
0.058736175,-0.025958374,0.061598565
0.063217916,-0.0031619035,0.06242552
0.062242363,-0.0027246552,0.052211646
0.063456886,-0.03686423,0.052856628
0.062374588,0.009538132,0.048995476
0.06222535,-0.043258667,0.05292846
0.06224724,-0.0010209503,0.049346153
0.062433463,-0.038129225,0.04654144
0.05896286,-0.03491628,0.045409523
0.059745338,-0.017088234,0.046309654
0.062392816,-0.017191207,0.04067753
0.06272875,0.011791626,0.03897335
0.059864867,-0.030570922,0.04071583
0.06258403,-0.019507935,0.035116225
0.06270007,0.00482428,0.035027605
0.06116966,-0.0024478682,0.03294872
0.063525245,0.003965744,0.028241212
0.061806425,-0.042123854,0.023413064
0.062320475,-0.009662659,0.022173919
0.061916444,-0.03589991,0.019558571
0.062435754,-0.046844542,0.016587852
0.06049721,-0.033547167,0.015778283
0.058975786,-0.025749657,0.0146223605
0.060647376,-0.028179657,0.014962311
0.063812174,-0.025272956,0.013929001
0.062451895,-0.04266632,0.00781717
0.06345263,0.0020362397,0.0053688507
0.06322102,0.00663031,0.010603912
0.06304999,-0.005915947,0.008844933
0.05968022,-0.01735836,0.0043222504
0.061929435,-0.03481335,0.0006675186
0.0626322,-0.031200683,-0.0028334656
0.063348256,-0.017593544,0.002166481
0.059777666,-0.0069495775,0.064075805
0.06296295,-0.033839606,0.062309198
0.06224128,0.0017129974,0.06376315
0.05814395,-0.022624772,0.065712586
0.059998184,-0.01249717,0.05896462
0.062062256,-0.023547424,0.054647118
0.060233217,-0.039833635,0.05217662
0.059274748,-0.0032146377,0.048477326
0.056769982,-0.030113121,0.047963034
0.061447524,-0.047718056,0.046385415
0.059837677,-0.012516693,0.03901845
0.061294984,-0.001300438,0.04011161
0.059744667,-0.014034455,0.035871606
0.05953437,-0.02064746,0.036951378
0.06172413,-0.009843834,0.03516717
0.060618453,0.0070392,0.03627183
0.061352357,-0.0076434403,0.032616448
0.059911836,-0.05050965,0.03432932
0.059942413,-0.027430855,0.033793893
0.06071467,0.008656891,0.030418618
0.0601436,0.011228409,0.024412414
0.060693953,0.0068618776,0.02189003
0.060369752,0.012079071,0.015495209
0.05962313,-0.052690085,0.020107498
0.061851326,-0.020412987,0.018215623
0.05867286,-0.023331916,0.015633453
0.06355207,-0.022901885,0.01493557
0.06000515,-0.020776778,0.0153437955
