,x,y
EEG 001,-0.03339043646758217,0.09494068091755233
EEG 002,-0.013469957696775446,0.0981083580338278
EEG 003,0.009883491319578216,0.09668170615125105
EEG 004,-0.060306887328524884,0.07270593353908378
EEG 005,-0.041504068388298454,0.07101501076870086
EEG 006,0.01835372357990208,0.07177828800094642
EEG 007,0.03691075056431046,0.08097110161739308
EEG 008,-0.07508139277634349,0.0558759875921362
EEG 009,-0.05843787690284036,0.051358728216481186
EEG 010,-0.045189340091230476,0.05201322037015885
EEG 011,-0.027564131708893283,0.04917357489760579
EEG 012,-0.012699273873679133,0.05204783134107363
EEG 013,0.00496831685675697,0.05127848778582492
EEG 014,0.0193714581545347,0.04908448295339085
EEG 015,0.03833557701553307,0.056042308245602496
EEG 016,0.05804498950623815,0.05324798600297001
EEG 017,-0.0999703985516731,0.02300023614676315
EEG 018,-0.08447165688871902,0.02865443880543335
EEG 019,-0.06679691760701986,0.027412926524361336
EEG 020,-0.030064984298376916,0.02479921426656855
EEG 021,0.007463236274024544,0.030571549416210583
EEG 022,0.044849911819579466,0.03295337291039059
EEG 023,0.06462625965226819,0.02953754608603794
EEG 024,0.08384646539917741,0.020047835576277134
EEG 025,-0.09817525092441284,-0.01404605168436493
EEG 026,-0.08026673267033828,-0.0011246244870100307
EEG 027,-0.0654550285590953,0.006392837680019742
EEG 028,-0.05053008929055,0.009369818968839542
EEG 029,-0.03223127993516354,0.012119452011026327
EEG 030,-0.011906480113340497,0.011697885706424438
EEG 031,0.0069593353131804075,0.013343305117720514
EEG 032,0.02627194530890014,0.011238532301864074
EEG 033,0.047345321870442304,0.009673776194329717
EEG 034,0.06582806519298555,0.0029078985343465227
EEG 035,0.08124105130763709,-0.01110939608804289
EEG 036,-0.09202477707418916,-0.04515154033650175
EEG 037,-0.07444397961831847,-0.026093211102391167
EEG 038,-0.049993425432198105,-0.0063358079739428905
EEG 039,-0.03329469510943565,-0.01019526089982252
EEG 040,0.006952826066043621,-0.006254038960508357
EEG 041,0.02808956506933135,-0.008269369661043746
EEG 042,0.05614690218648651,-0.016100255690546166
EEG 043,0.07258345158387465,-0.036678243165038815
EEG 044,-0.06530961968201758,-0.045776155731351825
EEG 045,-0.052821157754573016,-0.03352807009632146
EEG 046,-0.04065023890946981,-0.028016578936556066
EEG 047,-0.028059359025131007,-0.028742487883485584
EEG 048,-0.010047570124725201,-0.026506998172801773
EEG 049,0.007612856824587325,-0.03025016231971937
EEG 050,0.02159122751997898,-0.026103509803089914
EEG 051,0.03502310863479275,-0.030482380546419854
EEG 052,0.04979041674006312,-0.036140646106658514
EEG 053,-0.050988182978607445,-0.0552298490656435
EEG 054,-0.040256704681717576,-0.05232233951491985
EEG 055,0.01929866086027531,-0.045344296041559956
EEG 056,0.035123816740094634,-0.056983125715978744
EEG 057,-0.032741091434580316,-0.06389735037996622
EEG 058,-0.00767457254240551,-0.0655712547996783
EEG 059,0.01513843378813433,-0.06135669007224995
EEG 060,-0.009397201250234233,-0.09367128224101051
