v1,v2,v3
15,1,74
13,75,0
75,74,76
74,1,76
1,12,76
75,76,0
76,12,0
15,74,3
13,2,75
14,75,2
14,3,75
3,74,75
7,33,96
60,61,90
93,112,94
40,114,39
39,120,38
33,34,121
38,122,37
34,35,123
35,36,124
118,117,125
117,124,125
124,36,125
118,125,122
36,37,125
125,37,122
35,124,123
117,116,124
124,116,123
34,123,121
116,115,123
123,115,121
118,122,119
38,120,122
122,120,119
33,121,96
115,97,121
121,97,96
119,120,113
39,114,120
120,114,113
97,115,98
113,106,119
106,105,119
98,115,102
115,116,102
119,105,118
105,104,118
102,116,103
116,117,103
118,104,117
117,104,103
106,113,107
113,114,126
94,130,95
127,131,128
131,25,132
25,26,132
95,133,27
132,26,133
26,27,133
131,132,128
95,130,133
130,129,133
128,132,129
132,133,129
25,131,6
114,40,134
40,6,134
6,131,134
114,134,126
131,127,134
134,127,126
113,126,107
94,112,130
112,111,130
107,126,108
126,127,108
130,111,129
111,110,129
108,127,109
127,128,109
129,110,128
128,110,109
98,102,99
56,137,55
136,135,138
91,143,92
111,144,110
144,140,145
140,139,145
135,146,138
145,139,146
139,138,146
144,145,110
135,108,146
108,109,146
110,145,109
145,146,109
140,144,141
92,143,147
143,142,147
144,148,141
147,142,148
142,141,148
92,147,93
144,111,148
111,112,148
93,147,112
147,148,112
141,149,140
64,10,150
55,151,10
151,138,152
138,139,152
139,150,152
151,152,10
152,150,10
138,151,136
55,137,151
151,137,136
64,150,149
139,140,150
150,140,149
64,149,63
63,153,62
61,62,154
153,142,155
142,143,155
143,154,155
153,155,62
155,154,62
61,154,90
143,91,154
154,91,90
142,153,141
63,149,153
153,149,141
108,135,107
107,159,106
102,103,160
106,161,105
160,103,162
103,104,162
161,162,105
104,105,162
160,162,156
161,157,162
162,157,156
157,161,158
106,159,161
161,159,158
102,160,99
156,100,160
160,100,99
158,159,136
107,135,159
159,135,136
100,156,101
136,137,158
158,163,157
163,57,164
57,58,164
58,101,164
163,164,157
101,156,164
164,156,157
57,163,56
158,137,163
163,137,56
58,59,101
59,171,101
101,171,100
171,170,100
100,170,99
170,169,99
98,172,97
47,174,165
174,173,175
172,176,97
176,96,97
96,175,173
96,176,175
174,175,165
172,167,176
167,166,176
165,175,166
175,176,166
96,173,7
47,48,174
7,173,49
173,174,49
174,48,49
167,172,168
169,168,177
168,172,177
172,98,177
169,177,99
177,98,99
59,8,171
8,89,171
47,165,46
171,89,170
89,88,170
170,88,169
88,87,169
169,87,168
87,86,168
168,86,167
165,85,46
165,166,85
85,167,86
85,166,167
27,28,95
182,181,184
29,30,186
186,188,187
187,188,189
188,185,189
185,184,189
187,189,180
184,181,189
189,181,180
185,188,31
186,30,188
188,30,31
180,179,187
187,190,186
186,190,191
190,94,191
94,95,191
186,191,29
95,28,191
191,28,29
94,190,93
187,179,190
190,179,93
31,32,185
32,4,192
183,194,195
4,16,198
197,198,199
198,16,199
16,17,199
197,199,196
17,18,199
199,18,196
4,198,192
197,193,198
198,193,192
193,197,194
196,195,197
197,195,194
183,195,84
18,19,196
84,195,19
195,196,19
32,192,185
183,182,194
182,184,194
185,192,184
192,193,184
193,194,184
93,179,92
84,83,183
179,180,200
201,203,202
202,204,82
82,204,83
204,182,83
182,183,83
182,204,181
202,203,204
204,203,181
181,203,180
201,200,203
203,200,180
201,202,178
82,81,202
202,81,178
179,200,92
178,90,201
90,91,201
92,200,91
200,201,91
90,178,60
81,11,178
178,11,60
46,85,45
8,50,89
50,207,89
45,85,205
85,86,205
89,207,88
207,206,88
88,206,87
205,87,206
205,86,87
50,51,207
53,80,52
52,80,208
80,79,208
208,79,209
209,210,205
205,210,45
44,45,210
44,210,79
210,209,79
52,208,51
205,206,209
208,209,211
209,206,211
206,207,211
208,211,51
211,207,51
84,19,20
66,67,77
11,81,69
67,68,212
84,214,83
69,216,68
216,215,217
215,213,217
213,212,217
216,217,68
217,212,68
215,216,82
69,81,216
216,81,82
213,215,214
82,83,215
215,83,214
67,212,77
84,20,214
77,212,78
212,213,78
213,214,218
214,20,218
20,21,218
213,218,78
218,21,78
219,80,220
53,54,221
54,71,221
71,220,221
53,221,80
221,220,80
71,70,220
42,70,41
42,219,70
219,220,70
219,42,43
44,79,43
80,219,79
43,79,219
223,23,24
71,225,70
70,5,41
70,225,5
225,224,5
224,225,222
225,9,222
225,71,9
71,54,9
5,224,24
222,223,224
224,223,24
65,66,227
66,77,227
21,22,78
22,226,78
227,77,226
77,78,226
22,23,226
23,223,226
9,65,222
65,227,222
226,223,227
223,222,227
68,67,230
231,13,234
13,0,234
231,234,232
54,53,235
243,242,244
232,234,247
0,245,248
245,246,248
246,247,248
0,248,234
248,247,234
232,247,233
246,241,247
247,241,233
241,246,242
245,244,246
246,244,242
245,0,249
0,12,249
245,249,244
244,249,250
12,238,251
238,240,251
240,250,251
12,251,249
251,250,249
244,250,243
240,239,250
250,239,243
233,241,59
239,51,243
51,50,243
59,241,8
241,242,8
243,50,242
242,50,8
51,239,52
238,237,240
52,239,252
239,240,252
240,237,252
237,236,252
52,252,53
236,235,252
252,235,53
238,12,253
12,1,253
238,253,237
66,65,254
236,259,235
65,9,260
259,258,261
258,260,261
260,9,261
259,261,235
9,54,261
261,54,235
65,260,254
258,255,260
260,255,254
255,258,256
1,257,262
259,263,258
263,262,264
262,257,264
257,256,264
263,264,258
264,256,258
1,262,253
262,263,253
263,259,265
259,236,265
236,237,265
263,265,253
265,237,253
257,1,266
1,15,266
257,266,256
228,229,267
230,67,269
66,254,270
254,268,270
268,269,270
66,270,67
270,269,67
230,269,229
268,267,269
269,267,229
254,255,268
271,266,272
266,15,272
15,228,272
228,267,272
268,271,267
272,267,271
266,271,256
268,255,271
271,255,256
59,58,233
273,14,276
14,2,276
273,276,274
233,281,232
282,280,283
280,279,283
274,286,275
283,279,284
279,278,284
275,286,277
286,285,277
284,278,285
278,277,285
274,276,286
2,13,288
13,287,288
287,283,288
283,284,288
2,288,289
288,284,289
284,285,289
2,289,276
276,289,286
289,285,286
283,287,282
13,231,287
287,231,282
280,282,281
231,232,282
282,232,281
275,277,64
233,58,281
58,57,281
64,277,10
277,278,10
281,57,280
57,56,280
10,278,55
278,279,55
280,56,279
279,56,55
64,63,275
14,273,292
273,291,292
60,294,61
292,291,293
291,290,293
61,294,290
290,294,293
3,14,295
14,292,295
292,293,295
3,295,72
293,294,296
294,73,296
73,72,296
293,296,295
296,72,295
294,60,73
73,60,11
61,290,62
273,274,291
275,63,297
63,62,297
62,290,297
275,297,274
290,291,297
297,291,274
228,15,298
15,3,298
73,300,72
72,300,302
302,301,298
302,300,301
300,299,301
72,302,3
302,298,3
298,301,228
228,301,229
301,299,229
229,299,230
68,303,69
69,73,11
73,69,300
69,303,300
300,303,299
68,230,303
303,230,299
