,x,y
MEG 0111,-0.1601120122968089,0.06054452448771859
MEG 0121,-0.11968084449526416,0.07083578179644262
MEG 0131,-0.12861838275962995,0.032461404305529885
MEG 0141,-0.1679931937892397,0.01062578120569097
MEG 0211,-0.10263875189003109,0.03224129453405139
MEG 0221,-0.08039929588204783,0.036159256265867926
MEG 0231,-0.08242138650937882,0.006848570280584661
MEG 0241,-0.1040656592977703,-0.0003691239646624843
MEG 0311,-0.08213852502220136,0.09513644273712302
MEG 0321,-0.07256129655582749,0.06534123529318211
MEG 0331,-0.051235875421074314,0.06045797567991038
MEG 0341,-0.09589663173332336,0.06382004767276192
MEG 0411,-0.058172327316354966,0.03484583762043156
MEG 0421,-0.03477421912275033,0.033093180909290344
MEG 0431,-0.03534363468811874,0.009875486748944657
MEG 0441,-0.05955221078996667,0.009422823371670866
MEG 0511,-0.059586008266183474,0.11860719207278086
MEG 0521,-0.03048682809765713,0.13015583278738307
MEG 0531,-0.027009296815041876,0.10654074289703253
MEG 0541,-0.054826703921238354,0.09248586429154082
MEG 0611,-0.025802345069647757,0.08145556481066105
MEG 0621,0.0005422665434668413,0.057827796310915856
MEG 0631,-0.011381009002583296,0.03474642366914253
MEG 0641,-0.02466377813852695,0.0570651702375557
MEG 0711,-0.011331689527588338,0.013139272333281417
MEG 0721,0.012416805755903997,0.013145729735989063
MEG 0731,0.012659282412206744,-0.009055779591073069
MEG 0741,-0.011617911338784682,-0.009363048329640553
MEG 0811,0.00021197113150317405,0.13392600343982466
MEG 0821,0.0003623881692420255,0.10934505108696771
MEG 0911,0.030619462757424325,0.1301521467166238
MEG 0921,0.05984495197742247,0.11848458623447905
MEG 0931,0.05511355845937242,0.09219503219055514
MEG 0941,0.02759835206040439,0.10632209389128247
MEG 1011,0.0004691979237595943,0.08412431100145265
MEG 1021,0.026530937462172603,0.0813411272620857
MEG 1031,0.025515388460175144,0.05689445144659943
MEG 1041,0.01238714158958543,0.034854608760152866
MEG 1111,0.03552244210166296,0.03303276455678491
MEG 1121,0.058752966410553345,0.03476172459819612
MEG 1131,0.05997175316758227,0.009394679163314892
MEG 1141,0.036021599086260625,0.010108753313141365
MEG 1211,0.0823385771692768,0.09492084877410745
MEG 1221,0.09587708203647811,0.06384542637424839
MEG 1231,0.07283252974229265,0.06517889660697063
MEG 1241,0.051545351200448175,0.060260764587079525
MEG 1311,0.0805976410593926,0.0361637143213341
MEG 1321,0.10259285529677613,0.032216853065542145
MEG 1331,0.10424421749364063,-0.00038106084964867684
MEG 1341,0.08244643449044714,0.0069050380212403555
MEG 1411,0.11999463018126923,0.07108084866481469
MEG 1421,0.15977982734902307,0.06163652212783751
MEG 1431,0.1677590804668579,0.010563551097393913
MEG 1441,0.12815400180683262,0.0323774793115583
MEG 1511,-0.13021732408008999,-0.007287989917149355
MEG 1521,-0.1206731449343783,-0.04590441436825971
MEG 1531,-0.14079474598008107,-0.08564687695137715
MEG 1541,-0.16089837219368155,-0.03966316510003425
MEG 1611,-0.09863356346232433,-0.03236168375373535
MEG 1621,-0.07863105755261247,-0.02246041223218062
MEG 1631,-0.06482743966396681,-0.04934374074985443
MEG 1641,-0.08412670516987393,-0.06170085884263705
MEG 1711,-0.11032835646912514,-0.12330324235126022
MEG 1721,-0.10151685038671442,-0.08076539936575855
MEG 1731,-0.07389022192221882,-0.10841737667943838
MEG 1741,-0.0706902663377942,-0.1501483937078602
MEG 1811,-0.05760148068768353,-0.016489857592551817
MEG 1821,-0.03494037192235151,-0.013278418030273166
MEG 1831,-0.012012331293034086,-0.031756754317237956
MEG 1841,-0.04064520430693028,-0.042003528732562724
MEG 1911,-0.04263116060806006,-0.0690154995697603
MEG 1921,-0.032447921484627454,-0.09965241234186561
MEG 1931,-0.03873285677775082,-0.12514894142877678
MEG 1941,-0.06168026479697358,-0.08526418667529187
MEG 2011,-0.013544751631838853,-0.055394836977561555
MEG 2021,0.014265729904735215,-0.05543479101192566
MEG 2031,0.014351531518943382,-0.07823466084974373
MEG 2041,-0.013968028883146999,-0.07828561048521485
MEG 2111,4.8610423870358447e-05,-0.10433526813815447
MEG 2121,-0.00023055274171191712,-0.13114698826983878
MEG 2131,0.023627158070931877,-0.16416827333119827
MEG 2141,-0.02498292144314767,-0.1640678733961326
MEG 2211,0.03566066165947057,-0.01309784038397881
MEG 2221,0.058075265806467755,-0.01609930994573598
MEG 2231,0.041372082708795666,-0.04194590128892072
MEG 2241,0.012968545968257602,-0.03171120351646864
MEG 2311,0.043039854803741256,-0.06887982784373664
MEG 2321,0.061782425867608515,-0.08512774001600693
MEG 2331,0.038161215954348335,-0.12520630754346226
MEG 2341,0.03232048951285284,-0.09967236090704054
MEG 2411,0.07881362682546743,-0.022133699122502827
MEG 2421,0.09854852616554154,-0.032176712442543644
MEG 2431,0.08412285894933579,-0.06152224872243665
MEG 2441,0.06515067855674166,-0.04926091823350696
MEG 2511,0.07323296792475446,-0.10862641411219587
MEG 2521,0.10117437322144879,-0.08104676166530633
MEG 2531,0.10943378341581579,-0.12415619460541769
MEG 2541,0.06953731738253333,-0.15073760101159722
MEG 2611,0.12983558723346653,-0.0074660948871142045
MEG 2621,0.16064349661716604,-0.040245786819833596
MEG 2631,0.14028364014524142,-0.0862867615983961
MEG 2641,0.1203811315724908,-0.046150980494707165
