L,I,A
-20.000000000000004,-60.000000000000014,-19.999999999999996
-4.3368086899420177e-16,-60.0,-20.000000000000004
19.999999999999996,-60.0,-19.99999999999999
-40.00000000000001,-40.00000000000001,-19.999999999999996
-20.0,-40.0,-19.999999999999996
0.0,-40.0,-19.999999999999996
20.0,-40.0,-20.0
40.0,-40.0,-19.999999999999996
-40.0,-20.000000000000004,-20.0
-20.0,-20.000000000000004,-20.000000000000004
-4.3368086899420177e-16,-20.000000000000004,-20.0
20.0,-20.000000000000004,-20.0
0.0,1.734723475976807e-15,-20.0
20.0,-80.0,3.469446951953614e-15
-40.0,-60.0,3.469446951953614e-15
-20.000000000000004,-60.000000000000014,6.938893903907228e-15
-8.673617379884035e-16,-60.000000000000014,0.0
20.0,-60.0,6.938893903907228e-15
40.0,-60.0,0.0
-40.0,-40.00000000000001,0.0
-20.0,-40.0,-3.469446951953614e-15
-4.3368086899420177e-16,-40.00000000000001,0.0
20.0,-40.00000000000001,0.0
40.0,-40.0,3.469446951953614e-15
-40.0,-20.000000000000004,0.0
-20.0,-20.000000000000004,0.0
4.3368086899420177e-16,-20.000000000000004,0.0
20.0,-20.000000000000004,0.0
40.00000000000001,-20.000000000000004,3.469446951953614e-15
-20.000000000000004,-1.734723475976807e-15,0.0
0.0,0.0,0.0
20.0,0.0,0.0
-40.00000000000001,20.0,0.0
-20.0,-80.00000000000001,20.000000000000004
-1.3010426069826053e-15,-80.0,19.999999999999996
20.0,-80.0,20.000000000000004
-40.0,-60.0,20.000000000000004
-19.999999999999996,-60.000000000000014,20.00000000000001
-8.673617379884035e-16,-60.000000000000014,20.000000000000004
20.000000000000004,-60.000000000000014,20.00000000000001
40.0,-60.0,20.000000000000004
-40.00000000000001,-40.00000000000001,20.000000000000004
-20.0,-40.0,19.999999999999996
-4.3368086899420177e-16,-40.00000000000001,20.000000000000004
20.000000000000004,-40.0,19.999999999999996
40.0,-40.0,20.000000000000004
59.99999999999999,-40.00000000000001,20.000000000000004
-59.99999999999999,-20.000000000000004,20.000000000000004
-40.0,-20.000000000000004,19.999999999999996
-20.0,-20.000000000000004,19.999999999999996
0.0,-20.000000000000004,19.999999999999996
20.0,-20.000000000000004,19.999999999999996
40.0,-20.000000000000004,20.000000000000004
60.0,-20.000000000000004,19.999999999999996
-59.99999999999999,-1.734723475976807e-15,19.999999999999996
-40.0,0.0,19.999999999999996
-19.999999999999996,-1.734723475976807e-15,19.999999999999996
-4.3368086899420177e-16,0.0,19.999999999999996
20.000000000000004,-5.204170427930421e-15,20.000000000000004
40.0,1.734723475976807e-15,19.999999999999996
59.99999999999999,-1.734723475976807e-15,20.000000000000004
-40.000000000000014,20.000000000000004,19.999999999999996
-19.999999999999996,19.999999999999996,19.999999999999996
0.0,20.000000000000004,20.000000000000004
20.000000000000004,20.0,19.999999999999996
40.0,20.000000000000004,19.999999999999996
-40.00000000000001,40.00000000000001,19.999999999999996
-1.3010426069826053e-15,-80.0,39.99999999999999
-40.0,-60.0,39.99999999999999
-20.0,-60.000000000000014,39.99999999999999
-8.673617379884035e-16,-60.000000000000014,39.99999999999999
20.0,-60.0,39.99999999999999
40.0,-60.000000000000014,39.99999999999999
-40.0,-40.000000000000014,40.00000000000001
-20.0,-40.00000000000001,39.99999999999999
4.3368086899420177e-16,-40.00000000000001,40.00000000000001
20.0,-40.00000000000001,39.99999999999999
40.0,-40.00000000000001,40.00000000000001
60.0,-40.000000000000014,40.00000000000001
-60.0,-20.00000000000001,40.00000000000001
-39.99999999999999,-20.000000000000004,39.99999999999999
-19.999999999999996,-20.00000000000001,39.99999999999999
8.673617379884035e-16,-20.00000000000001,40.00000000000001
20.0,-20.000000000000004,39.99999999999999
40.00000000000001,-20.00000000000001,40.00000000000001
60.0,-20.000000000000004,39.99999999999999
-40.0,-3.469446951953614e-15,39.99999999999999
-20.0,-1.0408340855860843e-14,40.00000000000001
-8.673617379884035e-16,-5.204170427930421e-15,39.99999999999999
20.000000000000004,-3.469446951953614e-15,40.00000000000001
40.00000000000001,-3.469446951953614e-15,39.99999999999999
60.0,-5.204170427930421e-15,39.99999999999999
-40.0,20.0,40.00000000000001
-20.0,20.000000000000004,39.99999999999999
-4.3368086899420177e-16,20.000000000000004,40.00000000000001
20.0,20.0,40.00000000000001
40.0,19.999999999999996,39.99999999999999
-39.99999999999999,40.00000000000001,39.99999999999999
-19.999999999999996,40.00000000000001,40.00000000000001
-4.3368086899420177e-16,40.00000000000001,40.00000000000001
20.000000000000004,39.99999999999999,39.99999999999999
40.00000000000001,40.0,39.99999999999999
-4.3368086899420177e-16,60.00000000000001,39.99999999999999
-40.00000000000001,-60.0,60.0
-20.000000000000004,-60.000000000000014,60.0
-8.673617379884035e-16,-60.000000000000014,60.0
20.0,-60.0,60.0
40.0,-60.000000000000014,60.0
-40.00000000000001,-40.00000000000001,59.999999999999986
-20.0,-40.00000000000001,60.0
-8.673617379884035e-16,-40.00000000000001,59.999999999999986
20.000000000000004,-40.00000000000001,60.0
40.0,-40.0,59.999999999999986
-40.0,-20.00000000000001,60.0
-19.999999999999996,-20.00000000000001,60.0
-4.3368086899420177e-16,-20.000000000000004,60.0
20.0,-20.00000000000001,60.0
40.0,-20.000000000000004,59.999999999999986
-40.0,-6.938893903907228e-15,60.0
-19.999999999999996,1.734723475976807e-15,60.0
0.0,-5.204170427930421e-15,60.0
20.000000000000004,-3.469446951953614e-15,59.999999999999986
39.99999999999999,-3.469446951953614e-15,60.0
-40.0,20.0,59.999999999999986
-19.999999999999996,19.999999999999996,59.999999999999986
-4.3368086899420177e-16,19.999999999999996,60.0
20.000000000000004,19.999999999999996,60.0
39.99999999999999,19.999999999999996,60.0
-40.0,39.99999999999999,59.999999999999986
-19.999999999999996,39.99999999999999,60.0
4.3368086899420177e-16,40.00000000000001,59.999999999999986
20.000000000000004,39.99999999999999,60.0
40.00000000000001,39.99999999999999,60.0
-19.999999999999996,59.99999999999999,60.0
0.0,60.00000000000001,60.0
20.000000000000004,60.0,59.999999999999986
-8.673617379884035e-16,-60.000000000000014,80.0
20.0,-60.000000000000014,80.0
-20.0,-40.00000000000001,80.0
-4.3368086899420177e-16,-40.000000000000014,80.0
20.0,-40.000000000000014,79.99999999999999
-40.00000000000001,-20.00000000000001,80.0
-20.000000000000004,-20.00000000000001,80.0
-4.3368086899420177e-16,-20.000000000000004,80.0
20.0,-20.00000000000001,80.0
40.0,-20.000000000000004,79.99999999999999
-40.00000000000001,-8.673617379884035e-15,80.0
-20.0,0.0,80.0
8.673617379884035e-16,-6.938893903907228e-15,80.0
20.0,-5.204170427930421e-15,79.99999999999999
39.99999999999999,-3.469446951953614e-15,80.0
-20.0,20.0,80.0
4.3368086899420177e-16,20.0,80.0
20.0,19.999999999999996,80.0
39.99999999999999,19.999999999999996,80.0
-20.0,39.99999999999999,80.0
-1.3010426069826053e-15,40.00000000000001,80.0
20.0,40.00000000000001,80.0
-8.673617379884035e-16,60.00000000000001,80.0
-8.673617379884035e-16,-6.938893903907228e-15,100.0
